month,planned_cost,emergency_cost
1,1882223.79017211,253027.00190785437
2,1141234.7977692948,13235.977810650538
3,1050261.345971731,67685.05514585151
4,880444.0839489462,53151.18996325337
5,891637.3761709331,29894.57575586214
6,1227519.7559296507,154745.99351001688
7,1383810.5868385243,53364.26477974953
8,1189669.6550115559,47838.82304606433
9,1036946.6435055108,73190.72161684776
10,1067966.1797600961,11962.828943315899
11,1196683.0781476947,12408.382461590958
12,1570539.3148172295,41463.01377759966
