date,start_hour,end_hour,charge_kwh,discharge_kwh
2025-03-20,0,4,7633.019092670048,113.03329231326757
2025-03-20,4,8,2110.0745406513106,6617.474047429849
2025-03-20,8,12,3212.0965184459606,2677.3194693081105
2025-03-20,12,16,5565.021914118043,70.77340970338096
2025-03-20,16,20,590.7034072308772,5330.442581118277
2025-03-20,20,24,294.9410898093877,3102.66325916062
2025-06-21,0,4,129.3774883575586,910.7301020765043
2025-06-21,4,8,1094.2403873177952,2000.6905158264958
2025-06-21,8,12,9783.173845872145,0.0
2025-06-21,12,16,0.0,0.0
2025-06-21,16,20,0.0,6403.890756955989
2025-06-21,20,24,1029.252333410161,2748.057278612865
2025-09-23,0,4,7583.787105171334,97.2930111854671
2025-09-23,4,8,1412.5872299484295,6117.091287133908
2025-09-23,8,12,5038.205951152533,1896.6157166666662
2025-09-23,12,16,4622.6210223982725,343.5494301216233
2025-09-23,16,20,0.0,5895.679922150595
2025-09-23,20,24,1339.0857592519606,3257.862957457713
2025-12-21,0,4,8799.864882071583,124.9033258246634
2025-12-21,4,8,3153.2827952027733,2578.26620331858
2025-12-21,8,12,5074.624214993457,8062.094422029341
2025-12-21,12,16,7985.189250073277,2646.4724572751293
2025-12-21,16,20,0.0,6478.293194154843
2025-12-21,20,24,345.74344525706954,2759.0104412657165
