scenario,date,month,total_cost,planned_cost,up_cost,emergency_cost,purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,initial_soc,final_soc,load_kwh
4-2,2025-02-01,2,21228.2903039741,21228.2903039741,0.0000000000,0.0000000000,51175.9680059118,0.0000000000,22788.9059031481,15367.0410107079,1390.3827463157,6811.5536604594,76305.2062833333
4-2,2025-02-02,2,64499.5120660386,53361.2676282660,0.0000000000,11138.2444377726,76397.1244564237,2137.5733126030,18516.3068748325,19411.5991779807,6811.5536604594,3916.0425913005,121705.9726500000
4-2,2025-02-03,2,58983.4538828023,58983.4538828023,0.0000000000,0.0000000000,82388.1538718183,0.0000000000,20015.1415147792,18708.5228240388,3916.0425913005,3183.5584607529,122603.7690000000
4-2,2025-02-04,2,63597.9193587794,59681.8126849195,0.0000000000,3916.1066738600,83880.5647059680,636.4473431685,21631.3494749220,19468.9640965444,3183.5584607529,3182.7683455310,121578.0988500000
4-2,2025-02-05,2,60550.5680831616,59342.7038773453,0.0000000000,1207.8642058163,83139.2429145537,288.5112799245,21298.4963080045,19200.4216430252,3182.7683455310,3149.2745906747,121991.0844333333
4-2,2025-02-06,2,61835.5205486101,61750.4041087152,0.0000000000,85.1164398949,86253.5083566258,14.6962391694,21261.3654736522,17467.8334381279,3149.2745906747,4906.8637582983,122252.1627000000
4-2,2025-02-07,2,16345.6491470689,16287.0151797803,0.0000000000,58.6339672885,37547.4003267066,11.9918125143,13871.4515083157,15405.9115562674,4906.8637582983,1827.2214743169,76168.5969333333
4-2,2025-02-08,2,18487.1697330237,15878.0161569244,0.0000000000,2609.1535760993,39767.7478231408,616.3830760404,22915.0783218357,16878.3022272678,1827.2214743169,5775.0808601421,75746.7875166667
4-2,2025-02-09,2,57216.1097265266,56626.5994559453,0.0000000000,589.5102705813,78067.3748860502,116.8352379041,16031.6564878906,18108.5478197256,5775.0808601421,1895.9602008173,121547.9035666666
4-2,2025-02-10,2,57859.3677978019,57837.2073826260,0.0000000000,22.1604151760,83029.4040045540,7.0417588738,18433.5893435612,15797.0421024866,1895.9602008173,2732.0540883649,121477.5645166667
4-2,2025-02-11,2,56068.9255461147,56068.9255461147,0.0000000000,0.0000000000,80184.0680641955,0.0000000000,19037.9893231696,17500.4522256763,2732.0540883649,2345.9802156865,121441.2816166667
4-2,2025-02-12,2,55912.2978617997,55912.2978617997,0.0000000000,0.0000000000,80603.3508590252,0.0000000000,18665.7386247577,17071.0206214554,2345.9802156865,2059.4189789365,121363.8528833333
4-2,2025-02-13,2,55872.3276671595,55852.8281882701,0.0000000000,19.4994788894,82084.9446829454,8.2088436791,21690.5433193295,16200.4678526320,2059.4189789365,5560.0826267407,121310.2837166667
4-2,2025-02-14,2,13147.8607037506,13147.8607037506,0.0000000000,0.0000000000,31041.7033548389,0.0000000000,14684.6109572276,17235.9767107390,5560.0826267407,1322.8130790480,75872.6379500000
4-2,2025-02-15,2,15195.3202560836,15117.4286587382,0.0000000000,77.8915973455,35312.6655660809,39.6650573912,18763.2927537270,17003.4741952293,1322.8130790480,1200.0000000000,76054.5522500000
4-2,2025-02-16,2,54427.3710192062,53958.2594998676,0.0000000000,469.1115193385,78592.2007592130,90.6151198279,21314.2069138706,18213.4046426529,1200.0000000000,2221.8179046924,121276.9772833333
4-2,2025-02-17,2,54021.7891253747,54021.7891253747,0.0000000000,0.0000000000,78292.9229327322,0.0000000000,18464.5582806077,15731.1201790793,2221.8179046924,3156.7793141431,120960.3728166667
4-2,2025-02-18,2,50900.5478315764,50766.9417307431,0.0000000000,133.6061008333,74764.1712204526,27.3670833333,18112.3903508159,17145.0304839150,3156.7793141431,2267.2525670034,121331.2712333333
4-2,2025-02-19,2,53125.0856492148,51793.6936449586,0.0000000000,1331.3920042562,77336.4386221029,277.6813280768,21264.6254940005,18410.2353444142,2267.2525670034,3034.5556297663,121866.7941166667
4-2,2025-02-20,2,51456.7360717374,51179.7960835123,0.0000000000,276.9399882251,74533.4029336007,54.0836295347,17864.3881523098,17219.2288646199,3034.5556297663,1831.5413784495,121105.2570333333
4-2,2025-02-21,2,14512.6332589811,14512.6332589811,0.0000000000,0.0000000000,34386.1084197942,0.0000000000,18552.9393667122,16832.0190495329,1831.5413784495,1689.8991467711,75802.0020333333
4-2,2025-02-22,2,15981.9512522455,15981.9512522455,0.0000000000,0.0000000000,38826.4838957268,0.0000000000,23191.4067631500,16834.4729204541,1689.8991467711,5946.1068555801,75682.2422666667
4-2,2025-02-23,2,49875.6176302708,49770.8020405496,0.0000000000,104.8155897212,72771.2280893441,34.8386121178,16750.4806906403,17628.0805206887,5946.1068555801,3255.3797137005,121142.1409333333
4-2,2025-02-24,2,49201.4463132802,49201.4463132802,0.0000000000,0.0000000000,72558.9203472182,0.0000000000,15943.9516194645,16044.2509306913,3255.3797137005,1469.0148892583,120628.9885500000
4-2,2025-02-25,2,48518.9240148747,48443.5699810812,0.0000000000,75.3540337935,73513.1172010314,33.0556790752,18339.6336773170,15883.5803044098,1469.0148892583,2124.7553312518,121093.3328833333
4-2,2025-02-26,2,49274.6437734988,48813.8111549111,0.0000000000,460.8326185877,73577.9198082925,90.0060189500,19377.9337370172,16754.4337196450,2124.7553312518,2847.5535981545,121060.7341166667
4-2,2025-02-27,2,47838.2774112201,46021.9199939980,0.0000000000,1816.3574172222,70616.4513772863,338.9412904136,19154.0463314084,18382.3555531715,2847.5535981545,1641.9733404918,120599.4889333333
4-2,2025-02-28,2,13829.5420224495,13829.5420224495,0.0000000000,0.0000000000,33618.3793890783,0.0000000000,17805.4084146663,16001.1461468482,1641.9733404918,1666.9779193647,75385.1079500000
4-2,2025-03-01,3,13538.5309291254,13037.7031745749,0.0000000000,500.8277545505,32028.2606194139,226.2423204775,16387.1366738319,15191.4371591084,1666.9779193647,1200.0000000000,72244.1601500000
4-2,2025-03-02,3,71499.9096888216,46375.3140633945,0.0000000000,25124.5956254271,70060.0351145332,4485.0243443222,17012.5189013376,15311.2670112039,1200.0000000000,1200.0000000000,117860.4170833333
4-2,2025-03-03,3,63585.4762703067,47486.8720173656,0.0000000000,16098.6042529411,72889.3589067339,2698.0369769386,20887.4096003090,17749.2176722338,1200.0000000000,2306.2184505629,117958.7456000000
4-2,2025-03-04,3,48825.2272218593,48773.0094050677,0.0000000000,52.2178167916,74067.5576556802,21.7619574043,19491.7361869025,17109.3175150016,2306.2184505629,2762.8988349450,118139.0249833334
4-2,2025-03-05,3,46993.5360300503,46602.7421268014,0.0000000000,390.7939032489,71600.1986217856,79.9602542752,16718.2273377223,16293.6563740944,2762.8988349450,1448.1800318341,118073.4438333333
4-2,2025-03-06,3,45388.7781398815,45082.3666494160,0.0000000000,306.4114904655,69560.9837698057,158.8633343697,18710.8441837236,17075.2040164618,1448.1800318341,1200.0000000000,117673.5985500000
4-2,2025-03-07,3,16269.1468599163,16269.1468599163,0.0000000000,0.0000000000,42052.9206094190,0.0000000000,25405.9370130666,13813.6087587736,1200.0000000000,10741.3659875610,71680.3614500000
4-2,2025-03-08,3,9542.2156691834,9381.3030961960,0.0000000000,160.9125729874,21081.1156059362,42.2302139457,10119.2885125388,17724.0170477353,10741.3659875610,1658.6116013954,72344.7115833333
4-2,2025-03-09,3,44036.2144457471,43903.5439943668,0.0000000000,132.6704513802,69102.1355578754,30.1852202938,19492.7397196936,17705.5442511091,1658.6116013954,1487.7658579129,117692.9865000000
4-2,2025-03-10,3,56646.2190527780,44707.8439679059,0.0000000000,11938.3750848721,67994.4750599564,2011.2586835872,16880.0582929880,15465.0511268404,1487.7658579129,1200.0000000000,117943.0643666667
4-2,2025-03-11,3,45781.6695721725,45641.1976158400,0.0000000000,140.4719563325,71617.5787578895,37.8675533827,20720.3191042866,17740.9942702360,1200.0000000000,2156.3707145328,117499.5529500000
4-2,2025-03-12,3,43398.1000780798,43135.6859726376,0.0000000000,262.4141054421,67933.0191907294,116.0959298275,18959.7205087766,17971.0413815208,2156.3707145328,1200.0000000000,118112.2368333333
4-2,2025-03-13,3,54820.4760036202,44123.9023538252,0.0000000000,10696.5736497950,68088.4518217485,1933.1468040904,18176.6910705617,16359.0219635055,1200.0000000000,1200.0000000000,118237.2770500000
4-2,2025-03-14,3,12305.3127460351,12305.3127460351,0.0000000000,0.0000000000,30746.5596499056,0.0000000000,15560.0156005119,13472.8359797976,1200.0000000000,1759.9108382688,72108.8689500000
4-2,2025-03-15,3,12579.6764153247,12579.6764153247,0.0000000000,0.0000000000,30548.7385125859,0.0000000000,16651.9961418065,15415.2560031649,1759.9108382688,1308.2748956740,72724.9817833333
4-2,2025-03-16,3,43600.5961114232,43212.5959315629,0.0000000000,388.0001798603,68591.5473677279,86.8135480636,19591.3959503804,17317.2417644037,1308.2748956740,1640.3294301915,117983.2159833333
4-2,2025-03-17,3,43556.6507638956,43556.6507638956,0.0000000000,0.0000000000,70875.4165573359,0.0000000000,18482.9259427007,15379.3593762227,1640.3294301915,2963.5043767594,117693.6218000000
4-2,2025-03-18,3,44081.7784687418,41590.9504302670,0.0000000000,2490.8280384748,66675.2507084987,493.7334854417,19760.3625225439,17788.9086684153,2963.5043767594,2958.6741050184,117253.4235833333
4-2,2025-03-19,3,40306.9377889312,40284.3900936720,0.0000000000,22.5476952592,64586.8210562454,4.2562898082,18071.6790674414,17178.2907701536,2958.6741050184,1995.4658232514,117281.5580000000
4-2,2025-03-20,3,42360.9142124968,41830.6525100052,0.0000000000,530.2617024917,66523.2924723608,116.1018625768,19888.8774946174,17290.3559223642,1995.4658232514,2638.0762961502,117648.3817333333
4-2,2025-03-21,3,11688.0209821353,11688.0209821353,0.0000000000,0.0000000000,28738.2901091541,0.0000000000,14557.7898630585,13925.9459783398,2638.0762961502,1769.5724410910,72593.5322166667
4-2,2025-03-22,3,13607.3525256046,13578.4403088686,0.0000000000,28.9122167359,34498.2410925041,9.2003871873,19564.2946946360,13130.6972893943,1769.5724410910,6488.9218224688,71936.9295333333
4-2,2025-03-23,3,38443.9725874121,38361.8186246676,0.0000000000,82.1539627445,59943.3174300800,34.9518272380,14053.9522517456,16624.6740819562,6488.9218224688,2297.7264429825,117739.9772666667
4-2,2025-03-24,3,40195.2399152792,39486.1973861189,0.0000000000,709.0425291603,63896.9745115554,180.6964504987,18403.9533080669,17215.3978813503,2297.7264429825,1610.6268540790,117425.1706166667
4-2,2025-03-25,3,40870.2366945557,39983.2021213021,0.0000000000,887.0345732537,64765.6018645835,180.5279853545,19308.2418632097,17401.3652884974,1610.6268540790,1585.3838550109,118053.1678166667
4-2,2025-03-26,3,40065.8698774071,40065.8698774071,0.0000000000,0.0000000000,66135.5868221517,0.0000000000,19489.2756132788,16308.0103435873,1585.3838550109,2884.3818566580,117704.6278000000
4-2,2025-03-27,3,38940.5712638636,38763.9067272890,0.0000000000,176.6645365746,63074.6651176076,44.6918709253,17236.4645357903,16733.0520508054,2884.3818566580,1598.1423169700,117952.5983666667
4-2,2025-03-28,3,12055.1196187955,12055.1196187955,0.0000000000,0.0000000000,29896.0994767808,0.0000000000,15101.1375752282,13282.7360946583,1598.1423169700,1923.1061101353,71891.7672666667
4-2,2025-03-29,3,11498.0953350243,11498.0953350243,0.0000000000,0.0000000000,29161.7345657182,0.0000000000,14931.7434024927,14072.2243412642,1923.1061101353,1255.1747991036,72118.2774666667
4-2,2025-03-30,3,38799.1001056201,38761.7534118314,0.0000000000,37.3466937887,64700.1148986364,8.4211812450,19081.1577332676,16807.7499894644,1255.1747991036,1640.2263449958,117994.7058500000
4-2,2025-03-31,3,39492.9472139234,38171.9842882517,0.0000000000,1320.9629256717,63254.6424015441,289.2118725496,19834.4237701459,16942.1369949669,1640.2263449958,2598.2324572906,117075.6656166667
4-2,2025-04-01,4,51280.2593029582,37080.6426430481,0.0000000000,14199.6166599101,58636.3979892114,2255.1897518313,14492.6199888401,14067.4994311119,2598.2324572906,1518.6925905508,117967.1463000000
4-2,2025-04-02,4,45412.9501735736,38010.0157527461,0.0000000000,7402.9344208275,62057.8634307722,1384.7300057679,19193.2027966222,17428.6998247197,1518.6925905508,1355.5008193054,117986.6294500000
4-2,2025-04-03,4,40863.0662544088,40863.0662544088,0.0000000000,0.0000000000,67822.8184087680,0.0000000000,21506.9803645504,16611.1746291835,1355.5008193054,4249.0984029804,117884.4561000000
4-2,2025-04-04,4,9878.8792561976,9878.8792561976,0.0000000000,0.0000000000,25113.7158923625,0.0000000000,11253.1538658832,12556.5751415560,4249.0984029804,1688.9851731471,71735.7518166667
4-2,2025-04-05,4,11524.5617210053,10633.3899173916,0.0000000000,891.1718036138,27043.7731616639,313.3293378580,12732.1867720932,11922.8601616429,1688.9851731471,1200.0000000000,72602.7425666667
4-2,2025-04-06,4,38110.8548835166,38110.8548835166,0.0000000000,0.0000000000,62386.5690787721,0.0000000000,18374.4708564616,16098.5231253273,1200.0000000000,1662.2202650655,117205.4305833333
4-2,2025-04-07,4,36916.5268860448,36916.5268860448,0.0000000000,0.0000000000,60861.0662102707,0.0000000000,17699.4036082857,15692.9941664625,1662.2202650655,1911.4805624488,117015.1420333334
4-2,2025-04-08,4,37707.8304643888,37581.1385779386,0.0000000000,126.6918864502,62689.8235068867,27.5300026517,20186.1462593307,17796.2852385682,1911.4805624488,2302.8086227111,117713.2902666667
4-2,2025-04-09,4,37344.1004826908,37329.8172943394,0.0000000000,14.2831883514,61111.8719247770,2.6944328148,17185.6025580858,16429.3757167012,2302.8086227111,1288.4201366889,117677.5225333333
4-2,2025-04-10,4,37481.9221974646,37419.5552803112,0.0000000000,62.3669171534,61899.2620132443,30.7411281090,18589.5600715216,16814.4867712576,1288.4201366889,1200.0000000000,117668.7006833333
4-2,2025-04-11,4,10849.1497544526,10849.1497544526,0.0000000000,0.0000000000,27586.5650396033,0.0000000000,14281.1242591476,12570.1949077682,1200.0000000000,1498.1152151048,72091.9967500000
4-2,2025-04-12,4,10281.3875346330,10281.3875346330,0.0000000000,0.0000000000,26904.7176722341,0.0000000000,12717.5593353617,11546.6022814389,1498.1152151048,1391.8638667142,71957.1757666667
4-2,2025-04-13,4,36055.3711342310,35923.7853915518,0.0000000000,131.5857426792,58607.9381142654,27.6760778299,18846.8203013617,17089.2327180801,1391.8638667142,1257.8945567077,117283.0622000000
4-2,2025-04-14,4,35377.9153823352,35338.5047575441,0.0000000000,39.4106247911,59097.1945322608,17.7277256424,19080.9420135728,16567.2682856204,1257.8945567077,1896.2314261767,117901.3726833333
4-2,2025-04-15,4,35395.9514462085,35346.3520535851,0.0000000000,49.5993926234,59236.8708496257,14.6527009227,16456.5833417394,15006.9237797024,1896.2314261767,1689.6305799937,117056.9051666667
4-2,2025-04-16,4,36097.3301299112,36079.8100026941,0.0000000000,17.5201272171,59260.3776762270,7.9044111063,18138.4248279656,16401.9637724647,1689.6305799937,1608.0633937107,117924.8850666667
4-2,2025-04-17,4,35076.8656422619,35076.8656422619,0.0000000000,0.0000000000,58369.9723825399,0.0000000000,17695.3774091327,16193.0058794611,1608.0633937107,1326.4454799236,117487.0426333333
4-2,2025-04-18,4,10169.0876533363,10100.1799018446,0.0000000000,68.9077514917,26111.2309987652,37.8661283223,13321.4279177696,11675.1580044374,1326.4454799236,1657.5645395727,71490.1693500000
4-2,2025-04-19,4,11609.7514380569,11609.7514380569,0.0000000000,0.0000000000,30436.1918219995,0.0000000000,18922.5640484491,12726.4240385272,1657.5645395727,6194.2561983394,71905.4153500000
4-2,2025-04-20,4,32321.8076342954,32311.8395811704,0.0000000000,9.9680531250,53027.8373366206,2.0062500000,14309.9178320676,17201.7944958115,6194.2561983394,1637.5527591265,117197.8163500000
4-2,2025-04-21,4,34023.2421514345,34023.2421514345,0.0000000000,0.0000000000,57762.3512705075,0.0000000000,17051.4025762996,15438.2009020851,1637.5527591265,1540.6409829791,118481.6378833333
4-2,2025-04-22,4,33899.6013624726,33781.5360087248,0.0000000000,118.0653537479,56115.1017645386,22.1748167186,18597.8741634215,16708.3766340387,1540.6409829791,1571.9581918956,117811.0010166667
4-2,2025-04-23,4,35003.3799098011,34994.8941790087,0.0000000000,8.4857307925,57580.3320259129,1.8153237335,17854.3067816574,15860.8981436427,1571.9581918956,1791.1862106415,118030.5147666667
4-2,2025-04-24,4,34768.6018361650,34768.6018361650,0.0000000000,0.0000000000,59262.0587515237,0.0000000000,20043.7871538504,15547.8946226479,1791.1862106415,4417.4723705617,117497.7796666667
4-2,2025-04-25,4,8341.1114332572,8341.1114332572,0.0000000000,0.0000000000,22132.5350199880,0.0000000000,10369.7080992189,12232.4553550410,4417.4723705617,1360.9011505320,71763.3212000000
4-2,2025-04-26,4,10841.8404915343,9415.4161672774,0.0000000000,1426.4243242568,24538.5610629155,455.9145802863,12864.3595427534,11730.5678226249,1360.9011505320,1200.0000000000,72100.9243666667
4-2,2025-04-27,4,33158.3505679308,32433.8355472200,0.0000000000,724.5150207109,54834.5936071458,171.3454338047,18373.8935318029,16485.3651325496,1200.0000000000,1253.9052876530,117032.5225333333
4-2,2025-04-28,4,54011.8471971266,33639.6079336180,0.0000000000,20372.2392635087,56194.0356009172,3454.0139054693,16276.9726119838,13535.5799883141,1253.9052876530,2427.8432759784,117537.3008000000
4-2,2025-04-29,4,33772.0348120333,33772.0348120333,0.0000000000,0.0000000000,56153.4263404603,0.0000000000,15420.0459696220,14288.9159128806,2427.8432759784,1994.7434827543,117252.7587166667
4-2,2025-04-30,4,34185.9294260614,34184.6720374886,0.0000000000,1.2573885728,59101.0390066185,0.6056785033,19287.6507842033,15218.7099310273,1994.7434827543,4250.6868298688,117682.8807166667
4-2,2025-05-01,5,45278.3693360267,31395.8164350845,0.0000000000,13882.5529009422,49976.1419941292,2819.5238470253,15178.0744508492,16554.4026488435,4250.6868298688,1200.0000000000,120364.5839166667
4-2,2025-05-02,5,22817.5307642593,13649.8593472776,0.0000000000,9167.6714169817,35105.5506798039,2180.5030579891,24308.1142011245,13727.0406487375,1200.0000000000,9791.1306218027,74761.0267333333
4-2,2025-05-03,5,11815.2160923116,10291.1680763327,0.0000000000,1524.0480159789,24887.6834647022,371.2351970619,14758.0275205314,16564.9164178803,9791.1306218027,6330.8697990943,74894.8492833333
4-2,2025-05-04,5,34923.5758221463,34514.9184139534,0.0000000000,408.6574081929,54110.6557456762,82.5227021638,12922.1450544421,16292.6093002520,6330.8697990943,1415.9748485501,120670.0842333333
4-2,2025-05-05,5,37429.7089092060,36992.8702173960,0.0000000000,436.8386918101,59438.3187223191,100.1262953781,20022.5667714685,17247.1260412901,1415.9748485501,2230.9824012500,120612.1638666667
4-2,2025-05-06,5,36278.3898717719,35932.9908817791,0.0000000000,345.3989899927,56518.3086946749,150.6603850068,18001.9807792885,17179.8584860096,2230.9824012500,1200.0000000000,121017.1901000000
4-2,2025-05-07,5,38611.7208689067,38488.3892934981,0.0000000000,123.3315754086,62178.0744186823,25.5732414427,18890.7507833246,15978.1653070914,1200.0000000000,2278.8746887439,121160.2150166667
4-2,2025-05-08,5,40387.1863869328,39869.5697616186,0.0000000000,517.6166253142,62660.7887655699,99.3095558857,18686.0101622483,14384.7610150093,2278.8746887439,4843.1109686627,120445.4773833333
