scenario,month,total_cost,planned_cost,up_cost,emergency_cost,purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,initial_soc,final_soc,load_kwh
4-2,2,1229764.8580566256,1205372.2677219242,0.0000000000,24392.5903347015,1864260.9668747119,4823.9427225976,535741.4859811334,481904.9361620270,82745.6853466480,83022.2805196970,3035354.4650166663
4-2,3,1124773.8925880112,1052295.2688697618,0.0000000000,72478.6237182495,1764688.9859064827,13289.2803538035,558532.3144366613,501795.6173666311,69745.8880069173,70677.1425448432,3240640.0525833336
4-2,4,911761.5085597880,866096.4649099647,0.0000000000,45665.0436498232,1511936.0924913983,8227.9176913720,501124.0696430557,449444.0068146946,58691.7079985543,60344.1623711325,3162943.2953166668
4-2,5,913185.5734280865,884322.6559729867,0.0000000000,28862.9174550998,1488669.5125002330,6385.1593409382,488575.2463280084,441806.6961915990,114162.2041597345,111960.2316988677,3274848.2480000001
4-2,6,1466481.9106842277,1320450.4128881011,0.0000000000,146031.4977961266,1940464.6448942504,24909.6635621698,484804.9697821974,434253.1133875960,139339.1927226522,141522.5972588532,3456268.2932000002
4-2,7,1659345.2041528090,1587212.3386730643,0.0000000000,72132.8654797449,2180486.7163976864,13534.2238217615,526852.7763535241,475831.9999937273,99971.6762498164,98217.1378501460,3970920.4401166667
4-2,8,1371107.0371829588,1318443.5686389019,0.0000000000,52663.4685440568,1882513.6458184479,9240.5770507647,524801.7843335230,472482.9766118152,60289.6894938883,60119.5898284086,3753611.7254499998
4-2,9,1120489.8862784049,1046559.8377164266,0.0000000000,73930.0485619782,1671363.0862818602,14975.0211955359,510872.3362777575,458681.4940590736,124953.7133568613,126117.0189543942,3265855.5116333333
4-2,10,1081461.3359207674,1069585.3739701794,0.0000000000,11875.9619505881,1751790.0580631257,2214.2381710899,552199.6642270926,498237.1306736880,135711.3935471215,134385.9429232004,3234182.5015500002
4-2,11,1270096.8421879325,1257269.7609257693,0.0000000000,12827.0812621631,1934600.7037020866,2709.0112172568,558688.0647835779,503716.0826026929,85594.3743896250,84649.0385759603,3123123.3696166668
4-2,12,1846063.2088972582,1792848.7322655474,0.0000000000,53214.4766317107,2518408.6342008002,9571.0073270030,641713.2723409811,577541.9451068830,97655.3371028235,97655.3371028235,3490331.5867666667
4-3,2,1221982.2417726147,1119969.0981441892,80282.1204702099,21731.0231582156,1836045.8708508618,4370.1012995472,622645.7166491568,560344.6587120051,44069.1956429837,44107.6555508485,3035354.4650166663
4-3,3,1059009.0513292586,974030.8263763279,80324.9292449398,4653.2957079909,1730895.8192498032,1078.4152775889,634737.6549044675,571040.2955442853,46627.7525421110,46863.4411751826,3240640.0525833336
4-3,4,865614.9809950935,794782.2898638675,59407.4223924886,11425.2687387373,1454716.6692001850,2645.9260422149,550943.1814633796,496415.1203006797,40888.7566386098,40291.8693688522,3162943.2953166668
4-3,5,890948.4835125098,800027.6162546976,60344.2062819151,30576.6609758972,1434005.7967466204,6941.6722322762,527090.4734237416,473816.0605799874,53853.6195694991,54449.5671344471,3274848.2480000001
4-3,6,1321578.8260936285,1164155.3754723731,131002.2915225941,26421.1590986614,1893203.6877195695,6159.6673567350,574505.0486534444,517383.5862686918,69667.2873411354,69320.4461125947,3456268.2932000002
4-3,7,1631352.2169645957,1429077.7994679138,174993.1053447189,27281.3121519629,2141881.1187538682,6297.4437393936,585608.7379926281,526714.1051281804,71167.2859710685,71519.0989163063,3970920.4401166667
4-3,8,1359487.1869036523,1217778.8530393923,106054.3700568263,35653.9638074336,1850788.0472863328,6078.7550902628,560375.4957685510,504292.2682303857,50081.3614376038,50129.5102364748,3753611.7254499998
4-3,9,1071576.1131295622,957629.8802756314,90750.2031840660,23196.0296698648,1629626.3234575398,5298.2099532051,561435.1795475719,505090.2668399604,58447.9564632051,58660.2451724805,3265855.5116333333
4-3,10,1071965.0130338671,964195.5931608394,100704.1761055270,7065.2437675007,1709264.6091283401,1280.4969064540,632656.6848561274,569416.4069897383,60762.0721989717,60735.3081363221,3234182.5015500002
4-3,11,1272972.7584801521,1165684.1771539277,104321.7992648997,2966.7820613246,1928903.6557204849,708.7612457434,635603.4694155751,572685.5898014784,48321.5572766791,47644.3372510066,3123123.3696166668
4-3,12,1813383.5927468904,1677944.5516030104,101517.2988395232,33921.7423043568,2474836.0378859267,5458.2669101246,742382.9402628212,668293.9430899922,46264.9913334801,46107.6186320106,3490331.5867666667
