model,month,rmse,mae
baseline,2,0.0633979504,0.0464106581
baseline,3,0.0541310076,0.0414547776
baseline,4,0.0552258354,0.0426757864
baseline,5,0.0578467101,0.0447135299
baseline,6,0.0674266430,0.0504140278
baseline,7,0.0720685894,0.0535657861
baseline,8,0.0604667985,0.0471406371
baseline,9,0.0770714712,0.0563120714
baseline,10,0.0531727988,0.0408054922
baseline,11,0.0498402486,0.0388209218
baseline,12,0.0652575468,0.0472885410
linked_hgb,2,0.0566860193,0.0421107077
linked_hgb,3,0.0485293529,0.0372444791
linked_hgb,4,0.0507120458,0.0394686838
linked_hgb,5,0.0524972906,0.0408884033
linked_hgb,6,0.0596903267,0.0450228819
linked_hgb,7,0.0685446195,0.0509850351
linked_hgb,8,0.0572236947,0.0447671102
linked_hgb,9,0.0663483647,0.0480141759
linked_hgb,10,0.0471594517,0.0364939034
linked_hgb,11,0.0445701272,0.0349991636
linked_hgb,12,0.0602278689,0.0436935703
