scenario,date,period,charge_kwh,discharge_kwh,initial_soc,final_soc
2,2025-02-01,0:00-4:00,2404.136293293666,43.68506759440106,8347.718047222224,2168.7327817198357
2,2025-02-01,4:00-8:00,374.5536142302828,6482.728234554515,8347.718047222224,2168.7327817198357
2,2025-02-01,8:00-12:00,5308.974283333333,677.7272833333334,8347.718047222224,2168.7327817198357
2,2025-02-01,12:00-16:00,3559.2601379330104,48.79300808105472,8347.718047222224,2168.7327817198357
2,2025-02-01,16:00-20:00,42.79315178554055,5924.336079671225,8347.718047222224,2168.7327817198357
2,2025-02-01,20:00-24:00,569.9878834309895,2314.1784105631514,8347.718047222224,2168.7327817198357
2,2025-02-02,0:00-4:00,7682.1135601767455,329.57086858723983,2168.7327817198357,1369.948484415871
2,2025-02-02,4:00-8:00,2620.2582539713544,4885.9037812588995,2168.7327817198357,1369.948484415871
2,2025-02-02,8:00-12:00,5104.254560164388,4001.3060231616787,2168.7327817198357,1369.948484415871
2,2025-02-02,12:00-16:00,5447.4502969401055,1797.8977882486975,2168.7327817198357,1369.948484415871
2,2025-02-02,16:00-20:00,0.0,6748.983146005934,2168.7327817198357,1369.948484415871
2,2025-02-02,20:00-24:00,190.0942634440105,1.022717415364582,2168.7327817198357,1369.948484415871
2,2025-02-03,0:00-4:00,9448.521404783147,12.876735611979143,1369.948484415871,3047.827912032697
2,2025-02-03,4:00-8:00,2377.2136412430873,1962.2537734781904,1369.948484415871,3047.827912032697
2,2025-02-03,8:00-12:00,5702.129756840007,6758.393061458334,1369.948484415871,3047.827912032697
2,2025-02-03,12:00-16:00,5977.560134634686,1818.8242648015341,1369.948484415871,3047.827912032697
2,2025-02-03,16:00-20:00,0.0,5032.481133333333,1369.948484415871,3047.827912032697
2,2025-02-03,20:00-24:00,1157.201280859375,2881.806783333333,1369.948484415871,3047.827912032697
2,2025-02-04,0:00-4:00,7738.955893911153,0.0,3047.827912032697,2213.5068297572266
2,2025-02-04,4:00-8:00,2037.8910495442635,2202.7345916097,3047.827912032697,2213.5068297572266
2,2025-02-04,8:00-12:00,5812.569840226237,7260.0559,3047.827912032697,2213.5068297572266
2,2025-02-04,12:00-16:00,6799.372896648342,2141.0308832031246,3047.827912032697,2213.5068297572266
2,2025-02-04,16:00-20:00,475.3149771158854,5316.132249837238,3047.827912032697,2213.5068297572266
2,2025-02-04,20:00-24:00,666.7454496744792,2890.9239361653645,3047.827912032697,2213.5068297572266
2,2025-02-05,0:00-4:00,7851.048758505425,110.40291243489571,2213.5068297572266,1208.593534423828
2,2025-02-05,4:00-8:00,2675.0017737955727,1926.2614686767583,2213.5068297572266,1208.593534423828
2,2025-02-05,8:00-12:00,5656.8219993794755,7401.592696833663,2213.5068297572266,1208.593534423828
2,2025-02-05,12:00-16:00,6890.898855564825,1536.411569913737,2213.5068297572266,1208.593534423828
2,2025-02-05,16:00-20:00,34.31351003890218,6409.649572949219,2213.5068297572266,1208.593534423828
2,2025-02-05,20:00-24:00,103.4510062174478,2321.447826828126,2213.5068297572266,1208.593534423828
2,2025-02-06,0:00-4:00,8623.676908593752,324.03535452473955,1208.593534423828,1247.8010643310547
2,2025-02-06,4:00-8:00,2582.4138926757814,2317.749128507488,1208.593534423828,1247.8010643310547
2,2025-02-06,8:00-12:00,5856.788093151856,6442.883246977545,1208.593534423828,1247.8010643310547
2,2025-02-06,12:00-16:00,6288.865885458884,2181.1720476745604,1208.593534423828,1247.8010643310547
2,2025-02-06,16:00-20:00,0.4154026367186816,6855.874710611979,1208.593534423828,1247.8010643310547
2,2025-02-06,20:00-24:00,53.11229370117189,801.2694405239014,1208.593534423828,1247.8010643310547
2,2025-02-07,0:00-4:00,9445.476742008464,28.111463867187467,1247.8010643310547,2950.2319726575124
2,2025-02-07,4:00-8:00,1325.7611079360722,5337.993075793202,1247.8010643310547,2950.2319726575124
2,2025-02-07,8:00-12:00,6595.525123266601,1115.31345,1247.8010643310547,2950.2319726575124
2,2025-02-07,12:00-16:00,1248.5420042733474,0.0,1247.8010643310547,2950.2319726575124
2,2025-02-07,16:00-20:00,0.0,5863.126383333334,1247.8010643310547,2950.2319726575124
