scenario,date,planned_kwh,final_kwh,total_cost,emergency_kwh,initial_soc,final_soc,grid_10,plan_10,grid_12,plan_12,grid_14,plan_14,grid_16,plan_16,grid_18,plan_18,grid_20,plan_20
2,2025-03-20,62008.30712145941,62008.30712145941,61519.54944064095,3990.8603170075057,1302.2218767006655,1210.6405792236328,0.0,0.0,507.93733723958337,507.93733723958337,0.0,0.0,405.060302734375,405.060302734375,480.1753540039057,480.1753540039057,0.0,0.0
2,2025-06-21,33027.05508408723,33027.05508408723,21326.08071427123,592.6213516214186,1200.0,1708.2544020663343,0.0,0.0,0.0,0.0,0.0,0.0,120.16207122802734,120.16207122802734,0.0,0.0,0.0,0.0
2,2025-09-23,64334.92546479213,64334.92546479213,58032.236414906205,2812.991376774769,1228.0286696777343,1511.836727745588,0.0,0.0,451.51302083333337,451.51302083333337,0.0,0.0,486.851806640625,486.851806640625,765.17529296875,765.17529296875,0.0,0.0
2,2025-12-21,91373.30042995847,91373.30042995847,72677.62193215583,2475.1413244684672,1285.7021857031248,1281.882303723958,0.0,0.0,888.388100941976,888.388100941976,0.0,0.0,781.5459594726562,781.5459594726562,719.5344848632812,719.5344848632812,0.0,0.0
3,2025-03-20,63335.30679628765,64923.37067853227,49203.60178475936,1779.8162311695933,1277.8429949108427,1210.6417877197266,0.0,0.0,532.5656026204427,532.5656026204427,0.0,0.0,582.5156860351562,582.5156860351562,467.193725585939,387.568603515625,0.0,0.0
3,2025-06-21,32800.444924682546,33242.37312043775,19652.691444890763,112.1200900390626,1385.8092104503046,1671.1449820562946,0.0,0.0,0.0,0.0,0.0,0.0,133.7720947265625,133.7720947265625,0.0,0.0,0.0,0.0
3,2025-09-23,66364.30547358953,66694.70170097225,45190.44224249628,637.3881100589164,1225.8269944589122,1526.9930419205734,0.0,0.0,402.61638387044275,402.61638387044275,0.0,0.0,525.4229125976562,525.4229125976562,767.327880859375,767.327880859375,0.0,0.0
3,2025-12-21,91292.17703905428,93215.7661129117,65791.65533823383,1005.2812121066079,1285.5306067236324,1306.5505835362412,0.0,0.0,905.7630208333334,902.8996556599935,0.0,0.0,800.136474609375,800.136474609375,719.6528930664062,719.6528930664062,0.0,0.0
4-2,2025-03-20,62008.30712145941,62008.30712145941,61320.01698967818,3953.184719252949,1302.2218767006655,1210.6405792236328,0.0,0.0,507.93733723958337,507.93733723958337,0.0,0.0,405.060302734375,405.060302734375,449.3087768554695,449.3087768554695,712.6472778320312,712.6472778320312
4-2,2025-06-21,33147.20133713145,33147.20133713145,18251.027324988143,705.050616254964,1200.0,1817.0682902284063,0.0,0.0,0.0,0.0,0.0,0.0,122.84549713134766,122.84549713134766,0.0,0.0,0.0,0.0
4-2,2025-09-23,64334.92546479213,64334.92546479213,59280.85509958034,2793.095045059931,1228.0286696777343,1511.836727745588,0.0,0.0,451.51302083333337,451.51302083333337,0.0,0.0,486.851806640625,486.851806640625,765.17529296875,765.17529296875,0.0,0.0
4-2,2025-12-21,91310.19174740638,91310.19174740638,85091.52477221892,2388.7860858470435,1200.0,1281.882303723958,0.0,0.0,888.388100941976,888.388100941976,0.0,0.0,781.5459594726562,781.5459594726562,719.5344848632812,719.5344848632812,0.0,0.0
4-3,2025-03-20,63279.70585336984,64754.069962192596,50468.188515806556,1779.8162311695983,1277.8429949108427,1210.6417877197266,0.0,0.0,532.5656026204427,532.5656026204427,0.0,0.0,582.5156860351562,582.5156860351562,574.9718556308677,361.9619140624986,712.6456909179688,704.6566772460938
4-3,2025-06-21,32970.88866645636,33152.615352132634,17284.15489052215,366.7562733828123,1393.545048197336,1690.9704402140273,0.0,0.0,0.0,0.0,0.0,0.0,133.7720947265625,133.7720947265625,0.0,0.0,0.0,0.0
4-3,2025-09-23,66345.97559440478,66707.75236842105,47193.56175520289,647.8183981442062,1242.3238857251856,1528.1630965809466,0.0,0.0,402.61638387044275,402.61638387044275,0.0,0.0,525.4229125976562,525.4229125976562,767.327880859375,767.327880859375,0.0,0.0
4-3,2025-12-21,91204.73742573326,93370.93657399048,76624.28768473628,811.3499786154007,1221.7262587125656,1306.5505835362412,0.0,0.0,905.7630208333334,902.8996556599935,0.0,0.0,965.644386842627,800.136474609375,719.6528930664062,719.6528930664062,0.0,0.0
