n,mae,rmse,wape_pct,bias,absolute_error_sum,squared_error_sum,actual_abs_sum,variant,seed,month,target,lead,population,unit
16128,143.8754912578401,181.17644637118093,3.187643276384581,37.32187628715152,2320423.923006445,529400063.3191506,72794341.2049,mlp,42,2,load,all,all,千瓦
4032,143.56126420816088,180.4034121476914,3.1783164259649124,37.09369224974618,578839.0172873046,131223016.9737842,18212126.7901,mlp,42,2,load,0–6h,all,千瓦
4032,143.6251402630518,180.66144327737007,3.181267540170828,37.35818195955791,579096.5655406249,131598662.17503563,18203328.0203,mlp,42,2,load,6–12h,all,千瓦
4032,144.15105124376086,181.78079073674073,3.195034863849643,37.6605966694181,581217.0386148437,133234439.71168691,18191258.104599997,mlp,42,2,load,12–18h,all,千瓦
4032,144.16450931638684,181.8554777736724,3.1959708671111606,37.1750342698839,581271.3015636718,133343944.4586439,18187628.2899,mlp,42,2,load,18–24h,all,千瓦
16128,134.22545500065044,277.5380993397426,6.8145253468255556,-5.295106194560572,2164788.13825049,1242297852.124764,31767262.253399998,mlp,42,2,pv,all,all,千瓦
8150,263.85776617672053,390.3780848374167,6.76936141738218,-12.238873204428241,2150440.7943402724,1242019650.3388338,31767262.253399998,mlp,42,2,pv,all,generating,千瓦
4032,132.29073704020826,272.5631384595852,6.727284982301104,-5.949895209508094,533396.2517461197,299539959.0500581,7928848.7577,mlp,42,2,pv,0–6h,all,千瓦
2036,260.3268448790957,383.5259529534301,6.684771930592211,-13.43849364293591,530025.4561738388,299479630.81487143,7928848.7577,mlp,42,2,pv,0–6h,generating,千瓦
4032,132.5270084327357,273.0062018487059,6.739298086560005,-9.867088157279149,534348.8980007904,300514581.3513568,7928850.914999999,mlp,42,2,pv,6–12h,all,千瓦
2036,260.4206436505143,384.13072755440146,6.687178711726946,-21.57002307391588,530216.4304724472,300424862.6736007,7928850.915,mlp,42,2,pv,6–12h,generating,千瓦
4032,136.3321805830137,282.21484571523683,6.9223973258734475,-2.6406780369827674,549691.3521107113,321129523.5808461,7940765.6948,mlp,42,2,pv,12–18h,all,千瓦
2038,267.83453315319383,396.90329691144603,6.873981673123236,-7.1107887093310955,545846.778566209,321050678.8281197,7940765.694800001,mlp,42,2,pv,12–18h,generating,千瓦
