scenario,role,target,population,metric,previous,current,relative_change_pct,comparison
2,primary,load,all,mae,180.2667006048378,163.71456242661552,-9.182027586174218,同口径正式预测；保留旧月度选择
2,primary,load,all,rmse,247.33508256370445,221.4438396092041,-10.468083494718831,同口径正式预测；保留旧月度选择
2,primary,load,all,wape_pct,3.9033194508380684,3.544915582085613,-9.182027586174216,同口径正式预测；保留旧月度选择
2,primary,pv,all,mae,180.87663293622444,172.52778714841213,-4.615768025025123,同口径正式预测；保留旧月度选择
2,primary,pv,all,rmse,341.71269213408294,344.1314275743098,0.7078272173975219,同口径正式预测；保留旧月度选择
2,primary,pv,all,wape_pct,7.601319521691779,7.250460245729536,-4.61576802502514,同口径正式预测；保留旧月度选择
2,primary,pv,generating,mae,307.2031325270561,307.4009636487566,0.06439749493215004,同口径正式预测；保留旧月度选择
2,primary,pv,generating,rmse,456.26699264942573,460.26158814914953,0.8754951736763175,同口径正式预测；保留旧月度选择
2,primary,pv,generating,wape_pct,7.216189669535698,7.220836714912432,0.06439749493215262,同口径正式预测；保留旧月度选择
3,primary,load,all,mae,179.3211497697124,163.71456242661552,-8.703149273322841,同口径正式预测；保留旧月度选择
3,primary,load,all,rmse,244.76032344704282,221.4438396092041,-9.526251440374303,同口径正式预测；保留旧月度选择
3,primary,load,all,wape_pct,3.8828454145678215,3.544915582085613,-8.703149273322836,同口径正式预测；保留旧月度选择
3,primary,pv_corrected,all,mae,167.83456549403127,158.24157221397832,-5.7157435071943565,同评价区间与单位的历史重算；旧光伏十分钟点积分
3,primary,pv_corrected,all,rmse,308.3541159272446,298.6576201730524,-3.1445974784653314,同评价区间与单位的历史重算；旧光伏十分钟点积分
3,primary,pv_corrected,all,wape_pct,7.053228150007971,6.650083719976286,-5.715743507194354,同评价区间与单位的历史重算；旧光伏十分钟点积分
3,primary,pv_corrected,generating,mae,283.0068135363997,277.0229157545337,-2.11440060650567,同评价区间与单位的历史重算；旧光伏十分钟点积分
3,primary,pv_corrected,generating,rmse,410.89586611437613,397.9422511589976,-3.1525298801066093,同评价区间与单位的历史重算；旧光伏十分钟点积分
3,primary,pv_corrected,generating,wape_pct,6.647819074793187,6.507257547956362,-2.1144006065056398,同评价区间与单位的历史重算；旧光伏十分钟点积分
4-2,primary,load,all,mae,180.976868591427,163.71456242661552,-9.538404713910062,同口径正式预测；保留旧月度选择
4-2,primary,load,all,rmse,248.60762602543195,221.4438396092041,-10.926368933448993,同口径正式预测；保留旧月度选择
4-2,primary,load,all,wape_pct,3.9186967363051863,3.544915582085613,-9.538404713910053,同口径正式预测；保留旧月度选择
4-2,primary,pv,all,mae,179.9092214423041,172.52778714841213,-4.102866009155154,同口径正式预测；保留旧月度选择
4-2,primary,pv,all,rmse,340.2955755745752,344.1314275743098,1.1272118343760147,同口径正式预测；保留旧月度选择
4-2,primary,pv,all,wape_pct,7.560664165856852,7.250460245729536,-4.102866009155171,同口径正式预测；保留旧月度选择
4-2,primary,pv,generating,mae,306.1521554531254,307.4009636487566,0.4079044270594498,同口径正式预测；保留旧月度选择
4-2,primary,pv,generating,rmse,454.4038743975175,460.26158814914953,1.2890985490382627,同口径正式预测；保留旧月度选择
4-2,primary,pv,generating,wape_pct,7.191502258826598,7.220836714912432,0.4079044270594427,同口径正式预测；保留旧月度选择
4-2,primary,price,all,mae,0.04267287659149212,0.041630622791006794,-2.442426861593677,同口径正式预测；保留旧月度选择
4-2,primary,price,all,rmse,0.05726033302333649,0.05635663961481992,-1.578218918405995,同口径正式预测；保留旧月度选择
4-2,primary,price,all,wape_pct,5.63149971207504,5.493954450396749,-2.442426861593668,同口径正式预测；保留旧月度选择
4-3,primary,load,all,mae,180.38541452976898,163.71456242661552,-9.241796043550005,同口径正式预测；保留旧月度选择
4-3,primary,load,all,rmse,247.29306214611728,221.4438396092041,-10.452870093718895,同口径正式预测；保留旧月度选择
4-3,primary,load,all,wape_pct,3.9058899664724835,3.544915582085613,-9.241796043550002,同口径正式预测；保留旧月度选择
4-3,primary,pv_corrected,all,mae,168.80174865339444,158.24157221397832,-6.255963888798121,同评价区间与单位的历史重算；旧光伏十分钟点积分
4-3,primary,pv_corrected,all,rmse,309.7319128901003,298.6576201730524,-3.575444523528098,同评价区间与单位的历史重算；旧光伏十分钟点积分
4-3,primary,pv_corrected,all,wape_pct,7.0938739101096155,6.650083719976286,-6.25596388879813,同评价区间与单位的历史重算；旧光伏十分钟点积分
4-3,primary,pv_corrected,generating,mae,284.2746919406638,277.0229157545337,-2.5509749519467384,同评价区间与单位的历史重算；旧光伏十分钟点积分
4-3,primary,pv_corrected,generating,rmse,412.7281931535896,397.9422511589976,-3.5824889697054636,同评价区间与单位的历史重算；旧光伏十分钟点积分
4-3,primary,pv_corrected,generating,wape_pct,6.677601489340254,6.507257547956362,-2.5509749519467295,同评价区间与单位的历史重算；旧光伏十分钟点积分
4-3,primary,price,all,mae,0.04280608958572491,0.041630622791006794,-2.7460270398306026,同口径正式预测；保留旧月度选择
4-3,primary,price,all,rmse,0.05746732045272877,0.05635663961481992,-1.9327172889894446,同口径正式预测；保留旧月度选择
4-3,primary,price,all,wape_pct,5.649079706642742,5.493954450396749,-2.746027039830608,同口径正式预测；保留旧月度选择
