predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
exp001_mlp,2,0,0,annual,load,all,kW,48096,23001470.88467969,17799603601.275333,-8507842.137648437,222048476.9355,478.2408284406123,608.3460406841958,10.358760934604875,-176.8929253503085
exp001_mlp,2,0,0,annual,load,pv_generating,kW,26880,14170911.827448633,12115743105.702538,-4498939.647583008,142806829.5625,527.191660247345,671.3676269671698,9.923133137863463,-167.37126665115358
exp001_mlp,2,0,0,annual,pv,all,kW,48096,24987873.98738726,20616640389.85296,3617474.321886019,114413339.9657,519.541624820926,654.7182824669532,21.84000047099261,75.21362113036466
exp001_mlp,2,0,0,annual,pv,pv_generating,kW,26880,14526393.255744463,13471056616.56426,-6844006.40975678,114413339.9657,540.4164157643029,707.9232868613065,12.696415697766827,-254.61333369630876
exp001_mlp,2,0,0,annual,net_load,all,kW,48096,35811804.67141235,40726087665.86328,-12125316.459534455,144333055.96420002,744.590083820117,920.1992319343566,24.81192158800754,-252.10654648067313
exp001_mlp,2,0,0,annual,net_load,pv_generating,kW,26880,20099162.963692978,23957558306.34738,2345066.7621737714,65091408.59120001,747.7367173992924,944.0753205129419,30.87836536143154,87.24206704515518
exp001_gru,2,0,0,annual,load,all,kW,48096,8740500.251390625,3025722192.385437,-522606.1518085937,222048476.9355,181.73029464800865,250.8187769889835,3.9363027263319355,-10.865896369939158
exp001_gru,2,0,0,annual,load,pv_generating,kW,26880,4962106.328764062,1790488609.7724526,-497258.09619140625,142806829.5625,184.60216996890114,258.0899830517522,3.47469819473331,-18.49918512616839
exp001_gru,2,0,0,annual,pv,all,kW,48096,8703801.224188859,5685102116.9516325,893275.3637320618,114413339.9657,180.96725765529064,343.8069530921435,7.607330776986471,18.572757895294032
exp001_gru,2,0,0,annual,pv,pv_generating,kW,26880,8321130.390020892,5670302846.509108,510604.52956409415,114413339.9657,309.56586272399153,459.2915921407684,7.27286730071466,18.99570422485469
exp001_gru,2,0,0,annual,net_load,all,kW,48096,14257167.723065834,8851320212.332453,-1415881.5155406552,144333055.96420002,296.4314646346023,428.99234906054886,9.877964287406305,-29.438654265233183
exp001_gru,2,0,0,annual,net_load,pv_generating,kW,26880,10465942.496397477,7609109293.847902,-1007862.6257555004,65091408.59120001,389.3579797766918,532.0497934009862,16.07883854861364,-37.49488935102308
