day,date,month,scenario,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,initial_soc,final_soc,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,max_balance_error,max_state_error,solve_execute_seconds,solver_calls,timeout_count,fallback_count,incumbent_count,gap_certified_count,weight,updates,candidate_id,alpha_load,alpha_pv
24,2025-01-25,1,2,42497.545498957574,42497.545498957574,4.754205598733961,20,20276.677965728915,18276.75392293858,2062.800195099304,1422.1353484698725,1392.890864204615,22032.307235579654,0.0,0.0,17.333070458015676,22049.640306037665,0,0.0,9.025002967177898e-13,0.030295667005702853,1,0,0,0,1,0.0,0,load_0_pv_0,0.0,0.0
25,2025-01-26,1,2,86325.80587154778,86325.80587154778,3763.3823280323413,140,23390.394087793327,21152.00839264029,151.81247109375045,1392.890864204615,1286.792534200134,53956.64953555396,0.0,0.0,24243.588440006148,78200.2379755601,0,0.0,9.094947017729282e-13,0.015857707941904664,1,0,0,0,1,0.0,0,load_0_pv_0,0.0,0.0
26,2025-01-27,1,2,90410.14731759793,90410.14731759793,191.33656224315874,90,25025.356247591102,22562.25021491533,3943.46106383198,1286.792534200134,1245.230094801909,56500.80568449055,0.0,0.0,434.4371548348921,56935.24283932543,0,0.0,9.094947017729282e-13,0.011472458951175213,1,0,0,0,1,0.0,0,load_0_pv_0,0.0,0.0
27,2025-01-28,1,2,86817.03105701867,86817.03105701867,3057.3994572077045,110,25317.22684193835,22807.68610101925,384.4904066406257,1245.230094801909,1221.8482735762989,53932.368733492905,0.0,0.0,18326.72744478917,72259.09617828208,0,0.0,9.094947017729282e-13,0.012161624967120588,1,0,0,0,1,0.0,0,load_0_pv_0,0.0,0.0
28,2025-01-29,1,2,89707.98547677271,89707.98547677271,27.04830159505218,10,23334.499261950277,20424.789960916696,5440.123427334167,1221.8482735762989,1829.2789894144862,56201.87823608318,0.0,0.0,157.1100598148606,56358.98829589806,0,0.0,9.094947017729282e-13,0.0100584999890998,1,0,0,0,1,0.0,0,load_0_pv_0,0.0,0.0
29,2025-01-30,1,2,84062.79601787357,84062.79601787357,2161.372859364179,120,24065.744818678857,22096.882187307074,512.7234625326362,1829.2789894144862,1367.8901872762178,52198.61745319714,0.0,0.0,11840.036365764605,64038.65381896173,0,0.0,9.094947017729282e-13,0.011897958000190556,1,0,0,0,1,0.0,0,load_0_pv_0,0.0,0.0
30,2025-01-31,1,2,39875.55425366126,39875.55425366126,1057.7543918300998,50,19271.88116663225,17293.55051443517,190.65494329427077,1367.8901872762178,1421.7991531439097,20448.04526455994,0.0,0.0,5891.781321828722,26339.826586388677,0,0.0,9.023892744153272e-13,0.04498624999541789,1,0,0,0,1,0.0,0,load_0_pv_0,0.0,0.0
24,2025-01-25,1,2,42315.87838484105,42315.87838484105,11.31837587982508,20,20276.67796572892,18276.75392293858,1887.697251263868,1422.1353484698725,1392.890864204615,21934.074688161825,0.0,0.0,42.815179489211395,21976.889867651036,0,0.0,9.025002967177898e-13,0.02923195797484368,1,0,0,0,1,0.0,0,load_0_pv_0.5,0.0,0.5
25,2025-01-26,1,2,86125.16618206695,86125.16618206695,3951.90591510026,140,23298.50359817976,21069.30695198808,148.88541764221236,1392.890864204615,1286.792534200134,53798.7040855494,0.0,0.0,25339.810268189845,79138.51435373923,0,0.0,9.094947017729282e-13,0.015834833029657602,1,0,0,0,1,0.0,0,load_0_pv_0.5,0.0,0.5
26,2025-01-27,1,2,90235.05199986332,90235.05199986332,203.53016893769828,90,25078.723995498396,22610.281188031884,3775.222578001177,1286.792534200134,1245.230094801909,56364.04424462324,0.0,0.0,464.37688390714527,56828.421128530375,0,0.0,9.094947017729282e-13,0.010645292000845075,1,0,0,0,1,0.0,0,load_0_pv_0.5,0.0,0.5
27,2025-01-28,1,2,86744.30071935918,86744.30071935918,3118.3430056416805,110,25293.031432650343,22785.910232660048,375.1231583438879,1245.230094801909,1221.8482735762989,53871.33522828211,0.0,0.0,18683.998788366185,72555.33401664828,0,0.0,9.094947017729282e-13,0.012535458081401885,1,0,0,0,1,0.0,0,load_0_pv_0.5,0.0,0.5
28,2025-01-29,1,2,89722.64446555646,89722.64446555646,27.918303467432793,10,23338.22120843276,20429.554685018476,5456.695195609598,1221.8482735762989,1827.7874776840126,56206.00095123009,0.0,0.0,162.1634656905834,56368.16441692067,0,0.0,9.094947017729282e-13,0.011911457986570895,1,0,0,0,1,0.0,0,load_0_pv_0.5,0.0,0.5
29,2025-01-30,1,2,84098.33361063154,84098.33361063154,2144.1951373605425,120,24078.481997719155,22106.930676175794,528.3946431154014,1827.7874776840126,1367.8901872762178,52217.4485221091,0.0,0.0,11711.096390196493,63928.54491230559,0,0.0,9.094947017729282e-13,0.012028042110614479,1,0,0,0,1,0.0,0,load_0_pv_0.5,0.0,0.5
30,2025-01-31,1,2,39791.46377047317,39791.46377047317,1133.867644095854,50,19200.591964498988,17229.39023251523,189.80663258527113,1367.8901872762178,1421.7991531439097,20402.040213090913,0.0,0.0,6412.837644756229,26814.87785784714,0,0.0,8.810729923425242e-13,0.03919508308172226,1,0,0,0,1,0.0,0,load_0_pv_0.5,0.0,0.5
24,2025-01-25,1,2,42134.45999866426,42134.45999866426,17.882546160919674,30,20278.5188150399,18278.41068731846,1712.6589504370795,1422.1353484698725,1392.890864204615,21836.49161914027,0.0,0.0,73.12215583366428,21909.613774973925,0,0.0,9.025002967177898e-13,0.02436341706197709,1,0,0,0,1,0.0,0,load_0_pv_1,0.0,1.0
