scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,name,seed,case_id,alpha_load,alpha_pv,predictor_id
2,0,2,monthly,load,all,kW,4032,590437.7006,137074832.36561263,210066.31960000002,18212126.7901,146.43792177579365,184.38203333747532,3.2420030203224712,52.0997816468254,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,2,monthly,load,pv_generating,kW,2036,319368.0591,77584117.48460378,120745.8419,11041710.0541,156.8605398330059,195.2079611002517,2.892378603814293,59.305423330058936,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,2,monthly,pv,all,kW,4032,532550.6814,304586953.4576601,-65081.5048,7928848.7577,132.08102217261904,274.8497756430713,6.716620504115686,-16.141246230158732,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,2,monthly,pv,pv_generating,kW,2036,532548.1466,304586951.83019733,-65084.039600000004,7928848.7577,261.5658873280943,386.78245043402774,6.716588534783472,-31.966620628683696,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,2,monthly,net_load,all,kW,4032,938382.0358,454939425.2037866,275147.8244,11949435.2218,232.7336398313492,335.9050441884679,7.8529404811372086,68.24102787698412,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,2,monthly,net_load,pv_generating,kW,2036,667312.8004999999,395448752.5919928,185829.8815,4779018.4858,327.75677824165024,440.7133620408308,13.96338604847001,91.27204395874263,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,3,monthly,load,all,kW,4464,630450.8313,145886602.001159,136807.3527,19443840.3155,141.2300249327957,180.7780141843748,3.2424193012808535,30.646808400537633,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,3,monthly,load,pv_generating,kW,2426,361337.1727,90606003.06750885,101676.85829999999,12447297.5511,148.94359962901896,193.2560452833092,2.9029367315804837,41.911318342951354,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,3,monthly,pv,all,kW,4464,832116.1699999999,661721359.2045276,-48190.570400000004,10285934.3167,186.4059520609319,385.01307965625085,8.089845262272343,-10.795378673835126,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,3,monthly,pv,pv_generating,kW,2426,832111.8984000001,661721354.7675836,-48194.842000000004,10285934.3167,342.9974849134378,522.2665087574113,8.089803733716273,-19.865969497114595,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,3,monthly,net_load,all,kW,4464,1228037.1313,812024056.8177228,184997.9231,12562015.0946,275.0979236783154,426.5032598341207,9.775797290897167,41.44218707437276,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,3,monthly,net_load,pv_generating,kW,2426,958922.8541000001,756743437.4794049,149871.70030000003,5565472.3302,395.2691072135203,558.5074022199366,17.22985574641318,61.777287840065966,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,4,monthly,load,all,kW,4320,542257.8247,106363425.12465473,11539.933100000004,18977659.7719,125.52264460648148,156.91132280144637,2.8573482253218327,2.671280810185186,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,4,monthly,load,pv_generating,kW,2526,316567.2212,62830385.249150634,8641.532200000001,12832349.4944,125.3235238321457,157.71325249179358,2.466946690768897,3.4210341250989713,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,4,monthly,pv,all,kW,4320,966578.8279,813555909.4181197,-55810.500899999985,11671282.177900001,223.74509905092594,433.96212643515366,8.281685021121778,-12.919097430555553,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,4,monthly,pv,pv_generating,kW,2526,966576.7757,813555908.3216661,-55812.55309999999,11671282.177900001,382.6511384402217,567.5145867242188,8.281667437792295,-22.095230839271572,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,4,monthly,net_load,all,kW,4320,1296654.0860000001,933128030.8078,67350.434,12041832.4582,300.1514087962963,464.76000148817354,10.767913359540485,15.590378240740739,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,4,monthly,net_load,pv_generating,kW,2526,1070964.2626999998,889595097.6103281,64454.085299999984,5896522.1807,423.97635102929524,593.4436912891816,18.162642823686642,25.51626496437054,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,5,monthly,load,all,kW,4464,716377.7682,194916909.54336852,-111953.42919999998,19649089.487999998,160.47889072580645,208.9597622638824,3.645857324012408,-25.0791732078853,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,5,monthly,load,pv_generating,kW,2747,401338.43240000005,97894758.80053625,-41981.83119999999,13593091.3839,146.10063065161998,188.77756965463144,2.9525177243739815,-15.28279257371678,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,5,monthly,pv,all,kW,4464,1045281.4868999999,864267474.9129665,18221.251499999995,12528226.6982,234.1580391801075,440.00943775337873,8.343411338894285,4.081821572580644,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,5,monthly,pv,pv_generating,kW,2747,1045280.5854,864267474.4941885,18220.350000000002,12528226.698199999,380.51714066254095,560.9120305074885,8.34340414314327,6.632817619220969,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,5,monthly,net_load,all,kW,4464,1512600.6955,1075190804.5140285,-130174.68069999998,12329827.192200001,338.8442418234767,490.7730179350439,12.267817479687707,-29.160994780465945,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,5,monthly,net_load,pv_generating,kW,2747,1197562.1661999999,978168719.861306,-60202.18119999998,6273829.088099999,435.9527361485256,596.7295651779954,19.088217887087456,-21.91561019293774,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,6,monthly,load,all,kW,4320,908684.8706999999,356151870.8230815,-258907.57830000005,20737609.7592,210.3437200694444,287.1281293961428,4.381820669071431,-59.932309791666675,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,6,monthly,load,pv_generating,kW,2765,523441.0325999999,187069563.9630071,-114492.8694,14541332.1321,189.30959587703433,260.10817332622526,3.5996773049733424,-41.40790936708861,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,6,monthly,pv,all,kW,4320,1054681.874,962169042.2712013,61917.086600000024,10237650.7621,244.1393226851852,471.9367704900264,10.301991135548937,14.33265893518519,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,6,monthly,pv,pv_generating,kW,2765,1054681.8716,962169042.2711985,61917.08420000001,10237650.7621,381.44009822784807,589.8996274296696,10.301991112106057,22.393158842676314,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,6,monthly,net_load,all,kW,4320,1673829.6354999999,1350884885.736164,-320824.6649,12512603.2655,387.4605637731481,559.2001740532178,13.377149422735366,-74.26496872685185,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,6,monthly,net_load,pv_generating,kW,2765,1288585.795,1181802577.327073,-176409.9536,6316325.6384,466.03464556962024,653.7698654786583,20.400876534389923,-63.80106820976492,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,7,monthly,load,all,kW,4464,1286828.5363,657254678.7110405,-500198.95010000013,23825522.6407,288.2680412858423,383.71144241137694,5.401050611589827,-112.05173613351258,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,7,monthly,load,pv_generating,kW,2784,791394.9633,393453287.6899443,-302715.6608999999,16157122.530900002,284.2654322198276,375.9343186749448,4.898118224866349,-108.7340735991379,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,7,monthly,pv,all,kW,4464,1021320.0644999999,783512666.1028953,-39952.08510000002,12156607.0836,228.79033702956986,418.9487681847887,8.401357858129861,-8.949839852150541,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,7,monthly,pv,pv_generating,kW,2784,1021313.4346,783512643.2964904,-39958.71500000001,12156607.0836,366.85109001436786,530.5036655058273,8.401303320708735,-14.35298670977012,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,7,monthly,net_load,all,kW,4464,1821191.3684,1359627406.6570866,-460246.86500000005,14558102.5933,407.9729767921147,551.8840747450797,12.50981270895946,-103.10189628136202,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,7,monthly,net_load,pv_generating,kW,2784,1325760.3169,1095825789.576625,-262756.94589999993,6889702.4835,476.20701038074714,627.3879065908359,19.242635223727508,-94.3810868893678,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,8,monthly,load,all,kW,4464,820386.5745,239343353.3271637,168675.5477,22521670.3527,183.77835450268816,231.55202998723743,3.642654215483837,37.78574097222222,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,8,monthly,load,pv_generating,kW,2668,481003.84849999996,137148929.05793464,99576.9049,14745514.286899999,180.28630003748125,226.72702931898874,3.262035078202234,37.322677998500744,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,8,monthly,pv,all,kW,4464,969644.8714,762027886.3923292,-23942.51580000001,13016993.167100001,217.21435291218637,413.1648238692029,7.449069527444662,-5.363466801075271,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,8,monthly,pv,pv_generating,kW,2668,969621.0145999999,762027678.8439449,-23966.37260000001,13016993.167100001,363.4261673913043,534.4320076315497,7.4488862531685385,-8.982898275862073,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,8,monthly,net_load,all,kW,4464,1482757.6911,994723531.55284,192618.06350000002,14763437.7052,332.15898098118276,472.05119673305114,10.043444627925247,43.1492077732975,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,8,monthly,net_load,pv_generating,kW,2668,1143376.6571,892530654.361242,123543.2775,6987281.6394,428.55197042728634,578.3871795957319,16.36368356261337,46.30557627436282,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,9,monthly,load,all,kW,4320,1044994.5966,518400395.91664094,562880.405,19595133.0698,241.89689736111112,346.4102937953354,5.332929319120291,130.2963900462963,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,9,monthly,load,pv_generating,kW,2415,517244.27430000005,233010330.428886,261708.06290000002,12617957.8663,214.1798237267081,310.61971745728687,4.0992708945514424,108.3677279089027,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,9,monthly,pv,all,kW,4320,870243.3983,711626862.417038,67346.7387,11264829.8663,201.44523108796295,405.8675157909467,7.725313285941677,15.589522847222222,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,9,monthly,pv,pv_generating,kW,2415,870212.8674,711626688.8624136,67316.2078,11264829.8663,360.3365910559006,542.83463078727,7.725042257436477,27.874206128364392,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,9,monthly,net_load,all,kW,4320,1646846.8753,1249465534.2918224,495533.6663,12992757.2159,381.21455446759256,537.799342634334,12.675114665304887,114.70686719907407,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,9,monthly,net_load,pv_generating,kW,2415,1119107.4099,964083334.4879054,194391.8551,6015582.0124,463.3985134161491,631.8277848309876,18.603476897051173,80.4935217805383,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,10,monthly,load,all,kW,4464,613507.4685999999,149277164.81906193,137769.84540000002,19405095.0093,137.4344687724014,182.86668667057944,3.1615793084546766,30.862420564516132,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,10,monthly,load,pv_generating,kW,2321,297008.7365,62275757.36860685,41270.49909999999,11964408.5436,127.96584941835415,163.80303291660542,2.482435595689148,17.781343860404995,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,10,monthly,pv,all,kW,4464,695119.8357999999,461331845.43233633,45897.50000000001,10554293.4631,155.71680909498204,321.47308978121384,6.586133294760876,10.281698028673837,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,10,monthly,pv,pv_generating,kW,2321,695100.7637,461331759.22816145,45878.427899999995,10554293.463100001,299.48331051271003,445.8298128046404,6.585952590101995,19.76666432572167,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,10,monthly,net_load,all,kW,4464,1126507.4638,626490490.4558502,91872.34540000002,13205688.988400001,252.3538225358423,374.62361351712195,8.530470956793959,20.5807225358423,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,10,monthly,net_load,pv_generating,kW,2321,809998.9308,539489273.0226973,-4607.928800000009,5765002.5227,348.98704472210255,482.11854437752163,14.050278861294279,-1.9853204653166776,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,11,monthly,load,all,kW,4320,543434.1235999999,105914660.77205756,-10741.196599999977,18738740.217699997,125.7949360185185,156.5799558887549,2.9000568730158816,-2.4863881018518468,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,11,monthly,load,pv_generating,kW,2095,266998.48589999997,52254282.54563077,-9522.424299999984,10922633.644900002,127.44557799522671,157.9315620875185,2.4444515359596166,-4.545309928400947,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,11,monthly,pv,all,kW,4320,481829.0209,237605096.18951255,60484.143899999995,8010905.7698,111.5344955787037,234.5233030500344,6.014663444381388,14.00095923611111,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,11,monthly,pv,pv_generating,kW,2095,481815.27249999996,237605050.07896996,60470.39550000001,8010905.7698,229.98342362768494,336.77187882459856,6.014491823338836,28.864150596658718,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,11,monthly,net_load,all,kW,4320,856500.4171,342422189.6990557,-71225.34049999998,12694137.6827,198.2639854398148,281.5393325339646,6.747212284196882,-16.48734733796296,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
2,0,11,monthly,net_load,pv_generating,kW,2095,580058.3544000001,288758471.73497045,-69992.8198,4878031.1099,276.87749613365156,371.2576007016487,11.891239340863724,-33.409460525059664,periodic,42,periodic_seed_42,0.0,0.0,periodic_seed_42
