scenario,date,period,original,final
2,2025-03-20,10:00-10:10,0.0,0.0
2,2025-03-20,12:00-12:10,480.28792317708337,480.28792317708337
2,2025-03-20,14:00-14:10,0.0,0.0
2,2025-03-20,16:00-16:10,428.9967854817708,428.9967854817708
2,2025-03-20,18:00-18:10,419.7271617622487,419.7271617622487
2,2025-03-20,20:00-20:10,0.0,0.0
2,2025-06-21,10:00-10:10,0.0,0.0
2,2025-06-21,12:00-12:10,0.0,0.0
2,2025-06-21,14:00-14:10,0.0,0.0
2,2025-06-21,16:00-16:10,118.1229248046875,118.1229248046875
2,2025-06-21,18:00-18:10,0.0,0.0
2,2025-06-21,20:00-20:10,0.0,0.0
2,2025-09-23,10:00-10:10,0.0,0.0
2,2025-09-23,12:00-12:10,422.5404459635417,422.5404459635417
2,2025-09-23,14:00-14:10,0.0,0.0
2,2025-09-23,16:00-16:10,548.0608723958334,548.0608723958334
2,2025-09-23,18:00-18:10,764.1748860677084,764.1748860677084
2,2025-09-23,20:00-20:10,0.0,0.0
2,2025-12-21,10:00-10:10,0.0,0.0
2,2025-12-21,12:00-12:10,886.9195963541667,886.9195963541667
2,2025-12-21,14:00-14:10,0.0,0.0
2,2025-12-21,16:00-16:10,781.0101928710938,781.0101928710938
2,2025-12-21,18:00-18:10,364.07533949630835,364.07533949630835
2,2025-12-21,20:00-20:10,0.0,0.0
