scenario,date,period,emergency_kwh
2,2025-02-01,无,0.0
2,2025-02-02,无,0.0
2,2025-02-03,无,0.0
2,2025-02-04,无,0.0
2,2025-02-05,无,0.0
2,2025-02-06,无,0.0
2,2025-02-07,无,0.0
2,2025-02-08,无,0.0
2,2025-02-09,无,0.0
2,2025-02-10,05:50-06:00,1.4381555094768146
2,2025-02-11,无,0.0
2,2025-02-12,无,0.0
2,2025-02-13,无,0.0
2,2025-02-14,无,0.0
2,2025-02-15,无,0.0
2,2025-02-16,05:50-06:00,22.001849402508924
2,2025-02-17,无,0.0
2,2025-02-18,05:50-06:00,22.6064367158491
2,2025-02-19,05:50-06:00,16.93055550589588
2,2025-02-19,06:20-06:30,28.201493797580042
2,2025-02-20,06:00-06:10,24.879819455981874
2,2025-02-21,无,0.0
2,2025-02-22,无,0.0
2,2025-02-23,无,0.0
2,2025-02-24,06:00-06:20,38.4757306278932
2,2025-02-25,06:20-06:30,13.638093784612465
2,2025-02-26,无,0.0
2,2025-02-27,无,0.0
2,2025-02-28,无,0.0
2,2025-03-01,无,0.0
2,2025-03-02,20:20-21:00,1189.7879048961277
2,2025-03-02,21:20-21:40,36.24544598381935
2,2025-03-03,无,0.0
2,2025-03-04,无,0.0
2,2025-03-05,无,0.0
2,2025-03-06,20:40-21:10,30.252714128324357
2,2025-03-07,无,0.0
2,2025-03-08,无,0.0
2,2025-03-09,无,0.0
2,2025-03-10,20:20-20:40,992.8452345224717
2,2025-03-11,无,0.0
2,2025-03-12,无,0.0
2,2025-03-13,09:50-10:50,802.0233428155989
2,2025-03-13,20:20-20:50,1257.5770200950233
2,2025-03-14,无,0.0
2,2025-03-15,无,0.0
2,2025-03-16,05:50-06:00,1.6399999999999864
2,2025-03-17,无,0.0
2,2025-03-18,08:40-10:00,1205.9381384435587
2,2025-03-19,无,0.0
2,2025-03-20,20:30-20:40,153.68715109969787
2,2025-03-21,无,0.0
2,2025-03-22,无,0.0
2,2025-03-23,20:30-20:40,17.82421316683542
2,2025-03-23,20:50-21:10,5.705273269389572
2,2025-03-24,20:30-20:40,282.51549912544476
2,2025-03-25,无,0.0
2,2025-03-26,无,0.0
2,2025-03-27,20:30-20:40,25.678207782876143
2,2025-03-27,21:40-21:50,8.264424221831383
2,2025-03-27,23:10-23:20,15.116231886801074
2,2025-03-28,无,0.0
2,2025-03-29,无,0.0
2,2025-03-30,无,0.0
2,2025-03-31,20:30-20:40,53.433230345601714
2,2025-04-01,无,0.0
2,2025-04-02,09:10-10:20,879.7373665939687
2,2025-04-03,20:30-20:40,53.486505097652866
2,2025-04-04,无,0.0
2,2025-04-05,无,0.0
2,2025-04-06,无,0.0
2,2025-04-07,无,0.0
2,2025-04-08,08:50-09:40,296.6547887150683
2,2025-04-08,20:30-20:40,38.31528430042681
2,2025-04-09,无,0.0
2,2025-04-10,无,0.0
2,2025-04-11,无,0.0
2,2025-04-12,无,0.0
2,2025-04-13,无,0.0
2,2025-04-14,无,0.0
2,2025-04-15,无,0.0
2,2025-04-16,无,0.0
2,2025-04-17,无,0.0
2,2025-04-18,无,0.0
2,2025-04-19,无,0.0
2,2025-04-20,无,0.0
2,2025-04-21,无,0.0
2,2025-04-22,无,0.0
2,2025-04-23,无,0.0
2,2025-04-24,无,0.0
2,2025-04-25,无,0.0
2,2025-04-26,无,0.0
2,2025-04-27,20:30-20:40,47.964418267472524
2,2025-04-28,20:20-21:00,1305.1013601649388
2,2025-04-29,无,0.0
2,2025-04-30,无,0.0
2,2025-05-01,20:10-21:30,2184.9097443394976
2,2025-05-01,21:40-22:00,85.02382949148497
2,2025-05-01,22:10-23:50,536.3840773733318
2,2025-05-02,20:30-22:00,1672.6063874662118
2,2025-05-02,22:10-22:40,227.4749657008972
2,2025-05-02,23:00-23:20,57.131054748561766
2,2025-05-02,23:40-24:00,83.02278250563414
2,2025-05-03,20:40-22:00,1213.8723230291912
2,2025-05-03,22:10-22:30,66.93411643469136
2,2025-05-03,23:10-23:30,62.63550764910259
2,2025-05-03,23:50-24:00,19.152584974019646
2,2025-05-04,18:40-18:50,5.99694999999997
2,2025-05-04,20:20-22:00,1675.0912351711659
2,2025-05-04,22:10-22:50,200.62104310389384
2,2025-05-04,23:00-23:50,105.62134342177626
2,2025-05-05,20:10-22:00,1784.560284858488
2,2025-05-05,22:10-22:50,160.72456234304673
2,2025-05-05,23:00-23:50,188.43554269151855
2,2025-05-06,20:20-22:00,1528.8957752382044
2,2025-05-06,22:10-23:30,440.33128275943966
2,2025-05-06,23:50-24:00,24.723343120196596
2,2025-05-07,20:10-22:00,2305.44180166717
2,2025-05-07,22:10-23:20,335.6609355609975
2,2025-05-08,20:00-20:20,82.43748333333326
2,2025-05-09,无,0.0
2,2025-05-10,无,0.0
2,2025-05-11,19:10-19:30,41.18071666666651
2,2025-05-11,20:30-20:40,80.38399066548311
2,2025-05-12,20:30-21:00,79.5493700159202
2,2025-05-13,无,0.0
2,2025-05-14,无,0.0
2,2025-05-15,无,0.0
2,2025-05-16,无,0.0
2,2025-05-17,20:40-20:50,113.07279747476167
2,2025-05-18,20:20-20:30,5.236666666666679
2,2025-05-19,20:10-20:30,79.23649999999998
2,2025-05-20,20:30-20:50,45.89831293206623
2,2025-05-21,无,0.0
2,2025-05-22,20:20-20:40,82.71530002600514
2,2025-05-23,无,0.0
2,2025-05-24,无,0.0
2,2025-05-25,20:40-21:00,146.07606871072332
2,2025-05-26,20:20-20:40,808.1906607130813
2,2025-05-27,无,0.0
2,2025-05-28,无,0.0
2,2025-05-29,19:10-19:20,17.81743333333327
2,2025-05-29,20:30-20:40,17.94911401563661
2,2025-05-29,21:10-21:40,86.31157764724546
2,2025-05-30,无,0.0
2,2025-05-31,无,0.0
2,2025-06-01,09:40-11:00,949.5465847461973
2,2025-06-01,18:50-22:00,8979.660834912751
2,2025-06-01,22:10-24:00,967.4172282086386
2,2025-06-02,18:50-22:00,4435.98383767314
2,2025-06-02,22:10-24:00,891.8416499230719
2,2025-06-03,10:00-10:20,96.77269359622099
2,2025-06-03,18:50-20:00,351.2516978150776
2,2025-06-03,20:10-22:00,1843.4573316742226
2,2025-06-03,22:10-22:20,129.59084479982653
2,2025-06-03,22:40-24:00,499.63830267242196
2,2025-06-04,18:50-19:20,119.05231666666657
2,2025-06-04,19:30-22:00,3521.9639604339222
2,2025-06-04,22:10-24:00,944.6908589078922
2,2025-06-05,09:00-10:00,619.409069797353
2,2025-06-05,18:50-22:00,3540.709932007425
2,2025-06-05,22:10-24:00,1076.943200783409
