scenario,date,period,original,final
2,2025-03-20,10:00-10:10,0.0,0.0
2,2025-03-20,12:00-12:10,568.0497472394726,568.0497472394726
2,2025-03-20,14:00-14:10,0.0,0.0
2,2025-03-20,16:00-16:10,456.4665158489213,456.4665158489213
2,2025-03-20,18:00-18:10,566.4153032976712,566.4153032976712
2,2025-03-20,20:00-20:10,0.0,0.0
2,2025-06-21,10:00-10:10,0.0,0.0
2,2025-06-21,12:00-12:10,0.0,0.0
2,2025-06-21,14:00-14:10,0.0,0.0
2,2025-06-21,16:00-16:10,169.5077615383052,169.5077615383052
2,2025-06-21,18:00-18:10,0.0,0.0
2,2025-06-21,20:00-20:10,0.0,0.0
2,2025-09-23,10:00-10:10,0.0,0.0
2,2025-09-23,12:00-12:10,544.6478644459405,544.6478644459405
2,2025-09-23,14:00-14:10,0.0,0.0
2,2025-09-23,16:00-16:10,589.2065648466407,589.2065648466407
2,2025-09-23,18:00-18:10,776.1457563629712,776.1457563629712
2,2025-09-23,20:00-20:10,0.0,0.0
2,2025-12-21,10:00-10:10,0.0,0.0
2,2025-12-21,12:00-12:10,946.3337156087141,946.3337156087141
2,2025-12-21,14:00-14:10,0.0,0.0
2,2025-12-21,16:00-16:10,812.2962309515701,812.2962309515701
2,2025-12-21,18:00-18:10,584.2926737294014,584.2926737294014
2,2025-12-21,20:00-20:10,0.0,0.0
