scenario,date,period,charge_kwh,discharge_kwh,initial_soc,final_soc
2,2025-02-01,0:00-4:00,8949.522179786542,0.0,1421.7991105135516,2678.4146720689496
2,2025-02-01,4:00-8:00,935.9695420115276,6628.931233333333,1421.7991105135516,2678.4146720689496
2,2025-02-01,8:00-12:00,6027.588080290921,677.7272833333334,1421.7991105135516,2678.4146720689496
2,2025-02-01,12:00-16:00,2119.0230921451594,25.291538525808164,1421.7991105135516,2678.4146720689496
2,2025-02-01,16:00-20:00,0.0,6059.574416711869,1421.7991105135516,2678.4146720689496
2,2025-02-01,20:00-24:00,1111.234049440657,2645.348582085011,1421.7991105135516,2678.4146720689496
2,2025-02-02,0:00-4:00,7305.084377431929,53.5770510085307,2678.4146720689496,2455.833940198012
2,2025-02-02,4:00-8:00,2624.15610489772,1905.7747920682043,2678.4146720689496,2455.833940198012
2,2025-02-02,8:00-12:00,5960.911462437905,6591.570906126832,2678.4146720689496,2455.833940198012
2,2025-02-02,12:00-16:00,3804.8721667239815,1469.7865968385245,2678.4146720689496,2455.833940198012
2,2025-02-02,16:00-20:00,30.400819702284707,5885.502756729224,2678.4146720689496,2455.833940198012
2,2025-02-02,20:00-24:00,1452.7508613737677,3365.304733333333,2678.4146720689496,2455.833940198012
2,2025-02-03,0:00-4:00,7877.767259437853,16.708893431676188,2455.833940198012,2458.846755958589
2,2025-02-03,4:00-8:00,2666.234874679505,2226.905056403316,2455.833940198012,2458.846755958589
2,2025-02-03,8:00-12:00,5850.642679796885,6676.5922154630425,2455.833940198012,2458.846755958589
2,2025-02-03,12:00-16:00,4566.32815911406,2028.6985333333334,2455.833940198012,2458.846755958589
2,2025-02-03,16:00-20:00,27.063354853502183,5921.549987931418,2455.833940198012,2458.846755958589
2,2025-02-03,20:00-24:00,1560.168999401464,3420.0719,2455.833940198012,2458.846755958589
2,2025-02-04,0:00-4:00,8162.543947710434,0.0,2458.846755958589,2552.8545790500543
2,2025-02-04,4:00-8:00,2177.2459568809713,2176.3114874930984,2458.846755958589,2552.8545790500543
2,2025-02-04,8:00-12:00,5962.231281038763,7260.0559,2458.846755958589,2552.8545790500543
2,2025-02-04,12:00-16:00,5857.374819761005,2593.9762482570072,2458.846755958589,2552.8545790500543
2,2025-02-04,16:00-20:00,46.25256757622268,5756.557965989174,2458.846755958589,2552.8545790500543
2,2025-02-04,20:00-24:00,872.3427128037549,2894.1069038017918,2458.846755958589,2552.8545790500543
2,2025-02-05,0:00-4:00,7278.890183696128,0.0,2552.8545790500543,2279.4735114532964
2,2025-02-05,4:00-8:00,3180.5368835731433,2348.249920463195,2552.8545790500543,2279.4735114532964
2,2025-02-05,8:00-12:00,6044.25595665774,6792.638461946408,2552.8545790500543,2279.4735114532964
2,2025-02-05,12:00-16:00,4222.6938648047535,1688.9216999999999,2552.8545790500543,2279.4735114532964
2,2025-02-05,16:00-20:00,51.76281773324031,6085.185815776111,2552.8545790500543,2279.4735114532964
2,2025-02-05,20:00-24:00,1508.5781602051084,3402.402234649656,2552.8545790500543,2279.4735114532964
2,2025-02-06,0:00-4:00,8075.501891981361,0.0,2279.4735114532964,2357.7781023425073
2,2025-02-06,4:00-8:00,2457.018843973425,2213.458236379077,2279.4735114532964,2357.7781023425073
2,2025-02-06,8:00-12:00,6144.193570968637,6265.780594387303,2279.4735114532964,2357.7781023425073
2,2025-02-06,12:00-16:00,4137.717194240609,2170.46835,2279.4735114532964,2357.7781023425073
2,2025-02-06,16:00-20:00,76.89136048447467,5720.410507769361,2279.4735114532964,2357.7781023425073
2,2025-02-06,20:00-24:00,667.6620127540489,2958.682440889289,2279.4735114532964,2357.7781023425073
2,2025-02-07,0:00-4:00,8061.684020782586,3.045217639985026,2357.7781023425073,2088.3348335082683
2,2025-02-07,4:00-8:00,840.5827907551532,6288.497333333333,2357.7781023425073,2088.3348335082683
2,2025-02-07,8:00-12:00,5250.20072271744,1115.31345,2357.7781023425073,2088.3348335082683
2,2025-02-07,12:00-16:00,2976.2557032084883,0.0,2357.7781023425073,2088.3348335082683
2,2025-02-07,16:00-20:00,0.0,6283.2725666666665,2357.7781023425073,2088.3348335082683
2,2025-02-07,20:00-24:00,970.166279045981,2854.488326133871,2357.7781023425073,2088.3348335082683
2,2025-02-08,0:00-4:00,7284.892629991011,33.96829798183143,2088.3348335082683,2105.570588300229
2,2025-02-08,4:00-8:00,1762.656234483094,6262.061299999999,2088.3348335082683,2105.570588300229
2,2025-02-08,8:00-12:00,6006.262766666667,376.8593166666667,2088.3348335082683,2105.570588300229
2,2025-02-08,12:00-16:00,1543.410764756623,0.0,2088.3348335082683,2105.570588300229
2,2025-02-08,16:00-20:00,7.313211992051538,6294.310674126179,2088.3348335082683,2105.570588300229
2,2025-02-08,20:00-24:00,1125.645955466293,2973.612545545057,2088.3348335082683,2105.570588300229
2,2025-02-09,0:00-4:00,7918.462154900566,15.71404923512614,2105.570588300229,1749.9170734066963
2,2025-02-09,4:00-8:00,3117.2931190105674,3662.2365392928327,2105.570588300229,1749.9170734066963
2,2025-02-09,8:00-12:00,5159.42194261783,7061.720972549223,2105.570588300229,1749.9170734066963
2,2025-02-09,12:00-16:00,7255.660691955637,2117.822587600227,2105.570588300229,1749.9170734066963
2,2025-02-09,16:00-20:00,105.9811362746212,6140.529624397848,2105.570588300229,1749.9170734066963
2,2025-02-09,20:00-24:00,939.2266816648662,3385.8199301788736,2105.570588300229,1749.9170734066963
2,2025-02-10,0:00-4:00,8355.278452628008,1.8158042905346292,1749.9170734066963,1822.0074945780962
2,2025-02-10,4:00-8:00,3210.4692566634812,2573.6221156406245,1749.9170734066963,1822.0074945780962
2,2025-02-10,8:00-12:00,6067.959985832766,4989.050950000001,1749.9170734066963,1822.0074945780962
