scenario,date,period,original,final
2,2025-03-20,10:00-10:10,0.0,0.0
2,2025-03-20,12:00-12:10,570.7112944937248,570.7112944937248
2,2025-03-20,14:00-14:10,0.0,0.0
2,2025-03-20,16:00-16:10,456.25074821182756,456.25074821182756
2,2025-03-20,18:00-18:10,554.008050380918,554.008050380918
2,2025-03-20,20:00-20:10,0.0,0.0
2,2025-06-21,10:00-10:10,0.0,0.0
2,2025-06-21,12:00-12:10,0.0,0.0
2,2025-06-21,14:00-14:10,0.0,0.0
2,2025-06-21,16:00-16:10,163.2592780653115,163.2592780653115
2,2025-06-21,18:00-18:10,0.0,0.0
2,2025-06-21,20:00-20:10,0.0,0.0
2,2025-09-23,10:00-10:10,0.0,0.0
2,2025-09-23,12:00-12:10,534.1156064811024,534.1156064811024
2,2025-09-23,14:00-14:10,0.0,0.0
2,2025-09-23,16:00-16:10,607.6627176990638,607.6627176990638
2,2025-09-23,18:00-18:10,784.9695974217587,784.9695974217587
2,2025-09-23,20:00-20:10,0.0,0.0
2,2025-12-21,10:00-10:10,0.0,0.0
2,2025-12-21,12:00-12:10,967.1977767989682,967.1977767989682
2,2025-12-21,14:00-14:10,0.0,0.0
2,2025-12-21,16:00-16:10,813.5887510444223,813.5887510444223
2,2025-12-21,18:00-18:10,577.5566497324171,577.5566497324171
2,2025-12-21,20:00-20:10,0.0,0.0
