scenario,date,period,charge_kwh,discharge_kwh,initial_soc,final_soc
2,2025-02-01,0:00-4:00,8907.270191228872,0.0,1421.7991105135516,2653.2147823997607
2,2025-02-01,4:00-8:00,978.2215305691991,6628.931233333333,1421.7991105135516,2653.2147823997607
2,2025-02-01,8:00-12:00,5754.380987281386,677.7272833333334,1421.7991105135516,2653.2147823997607
2,2025-02-01,12:00-16:00,2402.2848089912895,34.34069997874394,1421.7991105135516,2653.2147823997607
2,2025-02-01,16:00-20:00,0.0,6062.436663494105,1421.7991105135516,2653.2147823997607
2,2025-02-01,20:00-24:00,1091.2858407818762,2648.4396619517483,1421.7991105135516,2653.2147823997607
2,2025-02-02,0:00-4:00,7256.512722927268,60.31735710757596,2653.2147823997607,2415.9257437238834
2,2025-02-02,4:00-8:00,2714.1578799068475,1919.1219430980573,2653.2147823997607,2415.9257437238834
2,2025-02-02,8:00-12:00,5954.033281655302,6672.043595647965,2653.2147823997607,2415.9257437238834
2,2025-02-02,12:00-16:00,3928.362261357733,1487.5575666666668,2653.2147823997607,2415.9257437238834
2,2025-02-02,16:00-20:00,30.81136183500314,5892.833550906753,2653.2147823997607,2415.9257437238834
2,2025-02-02,20:00-24:00,1418.4187133823857,3365.304733333333,2653.2147823997607,2415.9257437238834
2,2025-02-03,0:00-4:00,7866.09738217833,24.333396729805372,2415.9257437238834,2410.3171274078495
2,2025-02-03,4:00-8:00,2809.659498789527,2307.771027855448,2415.9257437238834,2410.3171274078495
2,2025-02-03,8:00-12:00,5837.472982385487,6684.3292560789105,2415.9257437238834,2410.3171274078495
2,2025-02-03,12:00-16:00,4596.729503915465,2028.6985333333334,2415.9257437238834,2410.3171274078495
2,2025-02-03,16:00-20:00,39.66519381816934,5943.3514311875515,2415.9257437238834,2410.3171274078495
2,2025-02-03,20:00-24:00,1520.6362662028523,3420.0719,2415.9257437238834,2410.3171274078495
2,2025-02-04,0:00-4:00,8144.041694481932,0.0,2410.3171274078495,2512.4915158501767
2,2025-02-04,4:00-8:00,2393.8353458550973,2324.241559873986,2410.3171274078495,2512.4915158501767
2,2025-02-04,8:00-12:00,5954.361021871795,7260.0559,2410.3171274078495,2512.4915158501767
2,2025-02-04,12:00-16:00,5903.821675467631,2613.0042868661926,2410.3171274078495,2512.4915158501767
2,2025-02-04,16:00-20:00,68.23804700510716,5777.920307433162,2410.3171274078495,2512.4915158501767
2,2025-02-04,20:00-24:00,837.5461426312584,2899.506344604434,2410.3171274078495,2512.4915158501767
2,2025-02-05,0:00-4:00,7201.975096372846,0.0,2512.4915158501767,2209.2133499738957
2,2025-02-05,4:00-8:00,3318.8730571953356,2373.6287181128173,2512.4915158501767,2209.2133499738957
2,2025-02-05,8:00-12:00,6027.3510822890275,6915.633809757304,2512.4915158501767,2209.2133499738957
2,2025-02-05,12:00-16:00,4385.584218848334,1688.9216999999999,2512.4915158501767,2209.2133499738957
