scenario,date,period,emergency_kwh
2,2025-02-01,无,0.0
2,2025-02-02,无,0.0
2,2025-02-03,无,0.0
2,2025-02-04,无,0.0
2,2025-02-05,无,0.0
2,2025-02-06,无,0.0
2,2025-02-07,无,0.0
2,2025-02-08,无,0.0
2,2025-02-09,10:40-10:50,96.69517602241979
2,2025-02-10,05:50-06:00,6.194787016776331
2,2025-02-11,无,0.0
2,2025-02-12,无,0.0
2,2025-02-13,无,0.0
2,2025-02-14,无,0.0
2,2025-02-15,无,0.0
2,2025-02-16,05:50-06:00,25.750784561160458
2,2025-02-17,无,0.0
2,2025-02-18,05:50-06:00,28.8887562997038
2,2025-02-19,05:50-06:00,23.767689507424507
2,2025-02-19,06:20-06:30,34.584115761621774
2,2025-02-20,06:00-06:10,31.813290973398352
2,2025-02-21,无,0.0
2,2025-02-22,无,0.0
2,2025-02-23,06:00-06:10,1.6718846192952697
2,2025-02-24,06:00-06:20,46.564790651477324
2,2025-02-25,05:50-06:00,6.598280039895599
2,2025-02-25,06:20-06:30,18.496083659581586
2,2025-02-26,无,0.0
2,2025-02-27,09:40-10:20,398.9616699687597
2,2025-02-28,无,0.0
2,2025-03-01,无,0.0
2,2025-03-02,20:20-21:00,883.2470136970187
2,2025-03-02,21:20-21:40,32.28357823753542
2,2025-03-03,无,0.0
2,2025-03-04,无,0.0
2,2025-03-05,无,0.0
2,2025-03-06,无,0.0
2,2025-03-07,无,0.0
2,2025-03-08,无,0.0
2,2025-03-09,无,0.0
2,2025-03-10,20:30-20:40,210.95929962945934
2,2025-03-11,无,0.0
2,2025-03-12,无,0.0
2,2025-03-13,09:50-10:50,688.8758307921554
2,2025-03-13,20:20-20:40,1116.8425819957101
2,2025-03-14,无,0.0
2,2025-03-15,无,0.0
2,2025-03-16,05:50-06:00,1.6399999999999864
2,2025-03-17,无,0.0
2,2025-03-18,08:50-10:00,946.7807310909292
2,2025-03-19,无,0.0
2,2025-03-20,20:30-20:40,30.37773590509778
2,2025-03-21,无,0.0
2,2025-03-22,无,0.0
2,2025-03-23,无,0.0
2,2025-03-24,无,0.0
2,2025-03-25,无,0.0
2,2025-03-26,无,0.0
2,2025-03-27,无,0.0
2,2025-03-28,无,0.0
2,2025-03-29,无,0.0
2,2025-03-30,无,0.0
2,2025-03-31,无,0.0
2,2025-04-01,无,0.0
2,2025-04-02,09:10-10:20,797.7284686124933
2,2025-04-03,无,0.0
2,2025-04-04,无,0.0
2,2025-04-05,无,0.0
2,2025-04-06,无,0.0
2,2025-04-07,无,0.0
2,2025-04-08,08:50-09:40,296.6547887150683
2,2025-04-09,无,0.0
2,2025-04-10,无,0.0
2,2025-04-11,无,0.0
2,2025-04-12,无,0.0
2,2025-04-13,无,0.0
2,2025-04-14,无,0.0
2,2025-04-15,无,0.0
2,2025-04-16,无,0.0
2,2025-04-17,无,0.0
2,2025-04-18,无,0.0
2,2025-04-19,无,0.0
2,2025-04-20,无,0.0
2,2025-04-21,无,0.0
2,2025-04-22,无,0.0
2,2025-04-23,无,0.0
2,2025-04-24,无,0.0
2,2025-04-25,无,0.0
2,2025-04-26,无,0.0
2,2025-04-27,无,0.0
2,2025-04-28,20:30-20:40,580.6978789758746
2,2025-04-28,20:50-21:00,9.248163348932918
2,2025-04-29,无,0.0
2,2025-04-30,无,0.0
2,2025-05-01,20:20-21:10,1668.9161374105133
2,2025-05-01,21:20-21:30,5.03550335661471
2,2025-05-01,21:50-22:00,43.34166365566186
2,2025-05-01,22:10-23:40,401.36028846447186
2,2025-05-02,20:30-21:20,807.4532601798132
2,2025-05-02,21:30-22:00,357.2947409616532
2,2025-05-02,22:10-22:40,168.62468067452937
2,2025-05-02,23:10-23:20,1.8164870020095742
2,2025-05-02,23:50-24:00,31.450556323249074
2,2025-05-03,20:40-22:00,829.0619682409687
2,2025-05-03,22:10-22:30,27.795658702586195
2,2025-05-04,18:40-18:50,5.99694999999997
2,2025-05-04,20:30-22:00,1229.2612014838028
2,2025-05-04,22:10-22:20,79.38080846964874
2,2025-05-04,22:30-22:50,44.42982843965309
2,2025-05-04,23:30-23:50,24.019692090612658
2,2025-05-05,20:20-20:40,1179.798254331758
2,2025-05-05,21:00-21:30,122.62759999592097
2,2025-05-05,22:10-22:50,70.347302122516
2,2025-05-05,23:10-23:50,114.62305383112755
2,2025-05-06,20:30-22:00,1155.0104003202746
2,2025-05-06,22:10-23:30,337.92924457480615
2,2025-05-07,20:20-20:50,1467.8067826045246
2,2025-05-07,21:00-22:00,224.46455068951047
2,2025-05-07,22:10-23:20,228.88403216105564
2,2025-05-08,20:00-20:20,82.43748333333326
2,2025-05-09,无,0.0
2,2025-05-10,无,0.0
2,2025-05-11,19:10-19:30,41.18071666666651
2,2025-05-12,无,0.0
2,2025-05-13,无,0.0
2,2025-05-14,无,0.0
2,2025-05-15,无,0.0
2,2025-05-16,无,0.0
2,2025-05-17,无,0.0
2,2025-05-18,无,0.0
2,2025-05-19,20:10-20:30,79.23649999999998
2,2025-05-20,无,0.0
2,2025-05-21,无,0.0
2,2025-05-22,20:20-20:30,2.5699999999999363
2,2025-05-23,无,0.0
2,2025-05-24,无,0.0
2,2025-05-25,无,0.0
2,2025-05-26,无,0.0
2,2025-05-27,无,0.0
2,2025-05-28,无,0.0
2,2025-05-29,19:10-19:20,17.81743333333327
2,2025-05-30,无,0.0
2,2025-05-31,无,0.0
2,2025-06-01,10:10-11:00,583.664043019095
2,2025-06-01,18:50-22:00,8053.900272754774
2,2025-06-01,22:10-22:40,229.9418167303013
2,2025-06-01,23:00-24:00,560.3742813026003
2,2025-06-02,19:00-22:00,3616.6716483997684
2,2025-06-02,22:10-24:00,746.5780238676626
2,2025-06-03,09:40-10:20,237.94967696957877
2,2025-06-03,18:50-20:00,327.66857065327724
2,2025-06-03,20:10-22:00,1571.8087061302635
2,2025-06-03,22:10-22:20,109.06197764636181
2,2025-06-03,22:50-24:00,384.71310109661033
2,2025-06-04,18:50-19:20,119.05231666666657
2,2025-06-04,19:30-21:40,2828.979643314302
2,2025-06-04,22:10-24:00,773.0117754258732
2,2025-06-05,09:00-10:00,357.7540072938123
2,2025-06-05,18:50-21:00,2651.9066898712117
2,2025-06-05,21:10-22:00,325.35389410984277
2,2025-06-05,22:10-24:00,952.0766764281789
2,2025-06-06,06:20-07:40,732.4482844263039
2,2025-06-06,19:40-22:00,4167.924677771184
2,2025-06-06,22:10-22:30,168.0668608777574
2,2025-06-06,22:50-24:00,615.6470218965917
2,2025-06-07,06:30-07:40,531.0786234116893
2,2025-06-07,20:10-22:00,1993.2001352824532
