scenario,date,period,original,final
2,2025-03-20,10:00-10:10,0.0,0.0
2,2025-03-20,12:00-12:10,563.2831912689253,563.2831912689253
2,2025-03-20,14:00-14:10,0.0,0.0
2,2025-03-20,16:00-16:10,461.64286563817967,461.64286563817967
2,2025-03-20,18:00-18:10,617.0217681782062,617.0217681782062
2,2025-03-20,20:00-20:10,0.0,0.0
2,2025-06-21,10:00-10:10,0.0,0.0
2,2025-06-21,12:00-12:10,0.0,0.0
2,2025-06-21,14:00-14:10,0.0,0.0
2,2025-06-21,16:00-16:10,172.7169105639115,172.7169105639115
2,2025-06-21,18:00-18:10,0.0,0.0
2,2025-06-21,20:00-20:10,0.0,0.0
2,2025-09-23,10:00-10:10,0.0,0.0
2,2025-09-23,12:00-12:10,543.1616574196767,543.1616574196767
2,2025-09-23,14:00-14:10,0.0,0.0
2,2025-09-23,16:00-16:10,579.6290241626865,579.6290241626865
2,2025-09-23,18:00-18:10,790.8874889844093,790.8874889844093
2,2025-09-23,20:00-20:10,0.0,0.0
2,2025-12-21,10:00-10:10,0.0,0.0
2,2025-12-21,12:00-12:10,946.3959695519441,946.3959695519441
2,2025-12-21,14:00-14:10,0.0,0.0
2,2025-12-21,16:00-16:10,812.2836691130691,812.2836691130691
2,2025-12-21,18:00-18:10,582.7732819083994,582.7732819083994
2,2025-12-21,20:00-20:10,0.0,0.0
