window,beta,success,nodes,overlap_nodes,max_overlap_kwh,expected_overlap_kwh,current_overlap_kwh,expected_throughput_kwh,wall_seconds
2025-02-10-000,0.0,True,324,0,0.0,-3.0274471341663514e-13,0.0,41401.58568461373,0.08801945904269814
2025-02-10-000,0.001,True,324,0,0.0,-1.5546350148421804e-13,0.0,41403.23432363248,0.08498241601046175
2025-02-10-000,0.01,True,324,0,0.0,0.0,0.0,41401.58568461373,0.07850270892959088
2025-02-10-000,0.1,True,324,0,0.0,-3.0274471341663504e-13,0.0,41366.18722450452,0.07659895799588412
2025-02-10-000,1.0,True,324,0,0.0,0.0,0.0,40810.53687368405,0.06535941699985415
2025-03-03-000,0.0,True,360,0,0.0,0.0,0.0,41299.47579017627,0.10888650000561029
2025-03-03-000,0.001,True,360,0,0.0,0.0,0.0,41298.434497532675,0.10486604191828519
2025-03-03-000,0.01,True,360,0,0.0,0.0,0.0,41299.47579017627,0.0954915420152247
2025-03-03-000,0.1,True,360,0,0.0,0.0,0.0,41278.823662761795,0.09074787504505366
2025-03-03-000,1.0,True,360,0,0.0,0.0,0.0,40707.007562283165,0.07671116595156491
2025-03-13-000,0.0,True,468,0,0.0,-2.7454241153561285e-15,0.0,39084.07036573333,0.16189495800063014
2025-03-13-000,0.001,True,468,0,0.0,0.0,0.0,39091.3250410529,0.1544109999667853
2025-03-13-000,0.01,True,468,0,0.0,0.0,0.0,39084.82769498433,0.14429558406118304
2025-03-13-000,0.1,True,468,0,0.0,0.0,0.0,39024.47798916069,0.13580237503629178
2025-03-13-000,1.0,True,468,0,0.0,0.0,0.0,38800.85606524949,0.10662104201037437
2025-02-06-111,0.0,True,34,0,0.0,0.0,0.0,8836.703874252153,0.005006665945984423
2025-02-06-111,0.001,True,34,0,0.0,0.0,0.0,8836.703874252153,0.004461082979105413
2025-02-06-111,0.01,True,34,0,0.0,0.0,0.0,8836.703874252153,0.004097166005522013
2025-02-06-111,0.1,True,34,0,0.0,0.0,0.0,8836.703874252153,0.0039517919067293406
2025-02-06-111,1.0,True,34,0,0.0,0.0,0.0,8836.703874252153,0.0047199169639497995
