No supported GPU was found.
BLOCK_DONE regularized_42 days=14/334 iterations=218 elapsed=14.42s
BLOCK_DONE regularized_42 days=28/334 iterations=262 elapsed=17.65s
BLOCK_DONE regularized_42 days=42/334 iterations=306 elapsed=20.85s
BLOCK_DONE regularized_42 days=56/334 iterations=350 elapsed=24.08s
BLOCK_DONE regularized_42 days=70/334 iterations=394 elapsed=27.28s
BLOCK_DONE regularized_42 days=84/334 iterations=438 elapsed=30.47s
BLOCK_DONE regularized_42 days=98/334 iterations=482 elapsed=33.68s
BLOCK_DONE regularized_42 days=112/334 iterations=526 elapsed=37.13s
BLOCK_DONE regularized_42 days=126/334 iterations=570 elapsed=40.33s
BLOCK_DONE regularized_42 days=140/334 iterations=614 elapsed=43.52s
BLOCK_DONE regularized_42 days=154/334 iterations=658 elapsed=46.71s
BLOCK_DONE regularized_42 days=168/334 iterations=702 elapsed=49.91s
BLOCK_DONE regularized_42 days=182/334 iterations=746 elapsed=53.10s
BLOCK_DONE regularized_42 days=196/334 iterations=790 elapsed=56.33s
BLOCK_DONE regularized_42 days=210/334 iterations=834 elapsed=59.52s
BLOCK_DONE regularized_42 days=224/334 iterations=878 elapsed=62.71s
BLOCK_DONE regularized_42 days=238/334 iterations=922 elapsed=65.91s
BLOCK_DONE regularized_42 days=252/334 iterations=966 elapsed=69.16s
BLOCK_DONE regularized_42 days=266/334 iterations=1010 elapsed=72.36s
BLOCK_DONE regularized_42 days=280/334 iterations=1054 elapsed=75.54s
BLOCK_DONE regularized_42 days=294/334 iterations=1098 elapsed=78.73s
BLOCK_DONE regularized_42 days=308/334 iterations=1142 elapsed=81.92s
BLOCK_DONE regularized_42 days=322/334 iterations=1186 elapsed=85.13s
BLOCK_DONE regularized_42 days=334/334 iterations=1230 elapsed=88.27s
CASE_DONE regularized_42 cost=17925755.584411 wall=88.36s
BLOCK_DONE regularized_2026 days=14/334 iterations=218 elapsed=14.64s
BLOCK_DONE regularized_2026 days=28/334 iterations=262 elapsed=17.92s
BLOCK_DONE regularized_2026 days=42/334 iterations=306 elapsed=21.24s
BLOCK_DONE regularized_2026 days=56/334 iterations=350 elapsed=24.51s
BLOCK_DONE regularized_2026 days=70/334 iterations=394 elapsed=27.80s
BLOCK_DONE regularized_2026 days=84/334 iterations=438 elapsed=31.10s
BLOCK_DONE regularized_2026 days=98/334 iterations=482 elapsed=34.42s
BLOCK_DONE regularized_2026 days=112/334 iterations=526 elapsed=37.78s
BLOCK_DONE regularized_2026 days=126/334 iterations=570 elapsed=41.06s
BLOCK_DONE regularized_2026 days=140/334 iterations=614 elapsed=44.30s
BLOCK_DONE regularized_2026 days=154/334 iterations=658 elapsed=47.59s
BLOCK_DONE regularized_2026 days=168/334 iterations=702 elapsed=50.90s
BLOCK_DONE regularized_2026 days=182/334 iterations=746 elapsed=54.27s
BLOCK_DONE regularized_2026 days=196/334 iterations=790 elapsed=57.65s
BLOCK_DONE regularized_2026 days=210/334 iterations=834 elapsed=60.92s
BLOCK_DONE regularized_2026 days=224/334 iterations=878 elapsed=64.17s
BLOCK_DONE regularized_2026 days=238/334 iterations=922 elapsed=67.41s
BLOCK_DONE regularized_2026 days=252/334 iterations=966 elapsed=70.70s
BLOCK_DONE regularized_2026 days=266/334 iterations=1010 elapsed=73.99s
BLOCK_DONE regularized_2026 days=280/334 iterations=1054 elapsed=77.26s
BLOCK_DONE regularized_2026 days=294/334 iterations=1098 elapsed=80.64s
BLOCK_DONE regularized_2026 days=308/334 iterations=1142 elapsed=84.05s
BLOCK_DONE regularized_2026 days=322/334 iterations=1186 elapsed=87.22s
BLOCK_DONE regularized_2026 days=334/334 iterations=1230 elapsed=90.33s
CASE_DONE regularized_2026 cost=17558286.554426 wall=90.43s
BLOCK_DONE regularized_3407 days=14/334 iterations=218 elapsed=14.74s
BLOCK_DONE regularized_3407 days=28/334 iterations=262 elapsed=17.85s
BLOCK_DONE regularized_3407 days=42/334 iterations=306 elapsed=21.14s
BLOCK_DONE regularized_3407 days=56/334 iterations=350 elapsed=24.36s
BLOCK_DONE regularized_3407 days=70/334 iterations=394 elapsed=27.64s
BLOCK_DONE regularized_3407 days=84/334 iterations=438 elapsed=30.85s
BLOCK_DONE regularized_3407 days=98/334 iterations=482 elapsed=34.06s
BLOCK_DONE regularized_3407 days=112/334 iterations=526 elapsed=37.36s
BLOCK_DONE regularized_3407 days=126/334 iterations=570 elapsed=40.59s
BLOCK_DONE regularized_3407 days=140/334 iterations=614 elapsed=43.81s
BLOCK_DONE regularized_3407 days=154/334 iterations=658 elapsed=47.02s
BLOCK_DONE regularized_3407 days=168/334 iterations=702 elapsed=50.24s
BLOCK_DONE regularized_3407 days=182/334 iterations=746 elapsed=53.48s
BLOCK_DONE regularized_3407 days=196/334 iterations=790 elapsed=56.71s
BLOCK_DONE regularized_3407 days=210/334 iterations=834 elapsed=60.03s
BLOCK_DONE regularized_3407 days=224/334 iterations=878 elapsed=63.22s
BLOCK_DONE regularized_3407 days=238/334 iterations=922 elapsed=66.46s
BLOCK_DONE regularized_3407 days=252/334 iterations=966 elapsed=69.69s
BLOCK_DONE regularized_3407 days=266/334 iterations=1010 elapsed=72.91s
BLOCK_DONE regularized_3407 days=280/334 iterations=1054 elapsed=76.16s
BLOCK_DONE regularized_3407 days=294/334 iterations=1098 elapsed=79.43s
BLOCK_DONE regularized_3407 days=308/334 iterations=1142 elapsed=82.89s
BLOCK_DONE regularized_3407 days=322/334 iterations=1186 elapsed=86.15s
BLOCK_DONE regularized_3407 days=334/334 iterations=1230 elapsed=89.39s
CASE_DONE regularized_3407 cost=17682555.253241 wall=89.49s
BLOCK_DONE cost_only_42 days=14/334 iterations=218 elapsed=15.29s
BLOCK_DONE cost_only_42 days=28/334 iterations=262 elapsed=18.80s
BLOCK_DONE cost_only_42 days=42/334 iterations=306 elapsed=22.21s
BLOCK_DONE cost_only_42 days=56/334 iterations=350 elapsed=25.74s
BLOCK_DONE cost_only_42 days=70/334 iterations=394 elapsed=29.17s
BLOCK_DONE cost_only_42 days=84/334 iterations=438 elapsed=32.66s
BLOCK_DONE cost_only_42 days=98/334 iterations=482 elapsed=36.23s
BLOCK_DONE cost_only_42 days=112/334 iterations=526 elapsed=39.76s
BLOCK_DONE cost_only_42 days=126/334 iterations=570 elapsed=43.32s
BLOCK_DONE cost_only_42 days=140/334 iterations=614 elapsed=46.83s
