run,scenario,days,passed,full_comparable_q2,eligible_for_selection,total_cost,planned_cost,up_cost,down_cost,emergency_cost,direction_reversals,active_slots,throughput_kwh,equivalent_full_cycles,power_ramp_total_kw,simultaneous_slots,realized_physics_only,known_initializer_emergency_charging_relaxation,goal_passed,archive,archive_sha256,cost_reduction_vs_exp006_pct
absolute_hgb_update_dispatch/full334/3,3,334,True,False,True,12826263.074326914,11618817.810945397,1005681.0249849696,0.0,201764.2383964864,5693,39548,11726491.269743094,487.92727164350316,24229597.551264893,0,True,False,False,data/results/exp008/absolute_hgb_update_dispatch/full334/3/dispatch_3.npz,793c9b872814c0b157f34b43fa93cc3aa6649164a4c0d2c6b17684632051ca1e,
absolute_hgb_update_dispatch/full334/4-3,4-3,334,True,False,True,13579870.464961825,12265276.060812254,1089701.9227077062,0.0,224892.48144194594,6625,39696,12593476.88442285,524.0016369111237,36753201.456022985,0,True,False,False,data/results/exp008/absolute_hgb_update_dispatch/full334/4-3/dispatch_4-3.npz,be922b20ea385882362607373083211d8a854f8f15617060bb7448ffda30a437,
analog_risk/analog90_n21_half42_30days,2,30,True,False,True,1307354.7319352538,1206041.5282987645,0.0,0.0,101313.20363648825,734,3671,1173858.0703919341,48.84292852268776,3226456.4130007317,0,True,False,False,data/results/exp008/analog_risk/analog90_n21_half42_30days/dispatch_2.npz,d3fb9ce54203c75fb85ec75a367eabcdac41155b7b38379154bb29eeae14ae6c,
analog_risk/analog90_n21_half42_warm21_60days,2,60,True,False,True,2308045.315827538,2255080.676253798,0.0,0.0,52964.63957373104,1370,7388,2270449.6451908886,94.46950379186275,6218796.898485209,0,True,False,False,data/results/exp008/analog_risk/analog90_n21_half42_warm21_60days/dispatch_2.npz,0c6a32ff1d6050de1a2674fda63590792c5e85837cc51d82a95a806a62f5db69,
analog_risk/tree28_60days,2,60,True,False,True,2307809.1367585324,2251538.785352126,0.0,0.0,56270.35140640799,1346,7419,2268763.117112475,94.39967665546622,6099500.529394535,0,True,False,False,data/results/exp008/analog_risk/tree28_60days/dispatch_2.npz,ba437afa5e135385ee08ab08f890618bdcfaeeb5a86944bedd38b812c75edf55,
block_purchase/base_fixed_blocks_blocks24_pilot30,2,30,True,False,True,1290369.5318173007,1218057.6108080174,0.0,0.0,72311.9210092829,120,3252,1042527.4257118359,43.378062486183346,2430054.552061148,0,True,False,False,data/results/exp008/block_purchase/base_fixed_blocks_blocks24_pilot30/dispatch_2.npz,0d25dd51527ed826d337e6dd678f939696d85619a5c088783d6d684bd0f774d6,
block_purchase/base_fixed_blocks_blocks4_pilot30,2,30,True,False,True,1300263.5127008564,1221396.2491417048,0.0,0.0,78867.263559154,120,2779,1048290.9597075314,43.618351660894085,2376733.109296835,0,True,False,False,data/results/exp008/block_purchase/base_fixed_blocks_blocks4_pilot30/dispatch_2.npz,d9179184de7a94fab0f692d439d1eca23e6b2011827800a1cc31e9da2b60931f,
block_purchase/base_fixed_blocks_blocks8_pilot30,2,30,True,False,True,1295232.9972779849,1220313.9886232251,0.0,0.0,74919.00865475807,120,2818,1051298.389545179,43.74332187974847,2395207.665784063,0,True,False,False,data/results/exp008/block_purchase/base_fixed_blocks_blocks8_pilot30/dispatch_2.npz,7c8e82d71682304f958ad648840186ac0032298c7d2d4ef24647fee0ca0c35cf,
block_purchase/base_greedy_blocks24_pilot30,2,30,True,False,True,1274889.8599292254,1206604.6166994716,0.0,0.0,68285.24322974925,797,3850,1194544.0189582189,49.704168838917745,3321881.141072565,0,True,False,False,data/results/exp008/block_purchase/base_greedy_blocks24_pilot30/dispatch_2.npz,c1192fa950ce2a1b517f9765a40ff2ef7dde5720ded74327fcf36f792b4ca4a4,
block_purchase/base_greedy_blocks4_pilot30,2,30,True,False,True,1269767.4026327406,1204799.578320602,0.0,0.0,64967.824312141,805,3846,1199399.0771805006,49.90613915960159,3299184.5406451337,0,True,False,False,data/results/exp008/block_purchase/base_greedy_blocks4_pilot30/dispatch_2.npz,f399f58e6b0b531b20d6d9b100931d52529c2981e1706ed7482ba7b3b263e7e2,
block_purchase/base_greedy_blocks8_pilot30,2,30,True,False,True,1270095.537518821,1204632.61911182,0.0,0.0,65462.91840700068,801,3825,1196455.487026738,49.7837029543283,3305201.5557062556,0,True,False,False,data/results/exp008/block_purchase/base_greedy_blocks8_pilot30/dispatch_2.npz,9f6a33662231e4885990f9bdac149b68d673b62a75d93cf83a477bd4def04980,
block_purchase/base_impulse100_blocks4_rounds0_step50_pilot30,2,30,True,False,True,1265383.3266702928,1216683.8138695797,0.0,0.0,48699.51280070999,275,3077,1188035.0533939567,49.43312993516215,3432997.355092649,0,True,False,False,data/results/exp008/block_purchase/base_impulse100_blocks4_rounds0_step50_pilot30/dispatch_2.npz,c964e1e2addd9f5497df7c18200f5657c97d7f2297573e20629b102dda69734c,
block_purchase/base_impulse100_blocks4_rounds2_step50_pilot30,2,30,True,False,True,1270727.1255402842,1196806.8079633242,0.0,0.0,73920.31757695627,277,3167,1193266.5867710211,49.65080837103999,3365352.340615333,0,True,False,False,data/results/exp008/block_purchase/base_impulse100_blocks4_rounds2_step50_pilot30/dispatch_2.npz,932e0da1b6f1290f07d507802b0b188841cc24502690eff2a8b282eeec6d0694,
block_purchase/base_impulse300_blocks4_rounds0_step50_pilot30,2,30,True,False,True,1271935.262866799,1218639.2228521018,0.0,0.0,53296.04001469415,247,2999,1184409.2688889392,49.28226497015161,3310299.531394367,0,True,False,False,data/results/exp008/block_purchase/base_impulse300_blocks4_rounds0_step50_pilot30/dispatch_2.npz,96a8d0b3e1d1a68d23ae0465e1fac282b8264c3864f02e0c7aa4d5338f555348,
block_purchase/base_impulse300_blocks4_rounds2_step50_pilot30,2,30,True,False,True,1277787.579278683,1203966.448187116,0.0,0.0,73821.13109156377,247,3060,1186769.764852764,49.38048264980057,3266830.051861665,0,True,False,False,data/results/exp008/block_purchase/base_impulse300_blocks4_rounds2_step50_pilot30/dispatch_2.npz,8f546f7f2c0bc4c8cc90efad5ddf853230edbcba7ec6beecb4e2611dba9595c8,
block_purchase/base_markov300_blocks4_rounds0_step50_pilot30,2,30,True,False,True,1269098.835902076,1217556.5522996408,0.0,0.0,51542.28360243256,249,3046,1185006.7795993527,49.30712674345755,3282219.8725834694,0,True,False,False,data/results/exp008/block_purchase/base_markov300_blocks4_rounds0_step50_pilot30/dispatch_2.npz,3822fef7a4e917c71d7247f711c02d550225c4a920df78f0f7fe9ba84dec38cc,
block_purchase/base_markov300_blocks4_rounds1_step50_pilot30,2,30,True,False,True,1279094.527639957,1210759.0186443406,0.0,0.0,68335.50899561452,247,3045,1182623.5047703767,49.2079612599087,3297832.528065749,0,True,False,False,data/results/exp008/block_purchase/base_markov300_blocks4_rounds1_step50_pilot30/dispatch_2.npz,0ff248c26bda6c848bd38fbf95a699c0761efe6f676c27d7b79252fed918311c,
block_purchase/calendar90_markov300_blocks8_rounds0_step50_pilot30,2,30,True,False,True,1275801.4538917814,1235926.6997807687,0.0,0.0,39874.754111014794,237,2959,1168631.027072888,48.62541669169691,3109486.3774414537,0,True,False,False,data/results/exp008/block_purchase/calendar90_markov300_blocks8_rounds0_step50_pilot30/dispatch_2.npz,180979d7f580916b2686f0fe383a75285e83f31063805ece5f59327ab36ff974,
block_purchase/calendar90_markov300_blocks8_rounds1_step50_pilot30,2,30,True,False,True,1265886.2183452286,1230081.5387133064,0.0,0.0,35804.67963192456,231,2982,1163841.6404332272,48.42613550253232,3120541.411611098,0,True,False,False,data/results/exp008/block_purchase/calendar90_markov300_blocks8_rounds1_step50_pilot30/dispatch_2.npz,bab66be44f4f317b251f7118c38d1f1d192bf22c4f94dbdf337bafd85d56570d,
block_purchase/ridge28_dp_blocks4_step50_pilot30,2,30,True,False,True,1269756.9475915527,1204973.0830571668,0.0,0.0,64783.86453438673,654,3790,1184010.5532487193,49.26515337225002,3301839.7182949814,0,True,False,False,data/results/exp008/block_purchase/ridge28_dp_blocks4_step50_pilot30/dispatch_2.npz,e663d17a1dec960467291aea28d65b43399b1c49a14d8b47de2665c575ccf130,
block_purchase/ridge28_impulse100_blocks4_step100_pilot30,2,30,True,False,True,1293446.27479399,1216764.1364031115,0.0,0.0,76682.13839087969,265,3007,1171660.7690347112,48.751522294681635,3298923.4093288165,0,True,False,False,data/results/exp008/block_purchase/ridge28_impulse100_blocks4_step100_pilot30/dispatch_2.npz,f22710b4ec3c3a77e3d1693cbd3d1aefdfd3bf4b7c791af6cf46515bd0ab60c9,
block_purchase/ridge28_impulse100_blocks4_step50_pilot30,2,30,True,False,True,1285188.2598431539,1211589.7890818347,0.0,0.0,73598.47076132022,269,3057,1175989.310435817,48.93162821275836,3299864.0856083343,0,True,False,False,data/results/exp008/block_purchase/ridge28_impulse100_blocks4_step50_pilot30/dispatch_2.npz,c3ac61d65572dc99f609f54c52ec13e9f805cbf12330ba55bcd0a93de0be3f88,
block_purchase/ridge28_impulse300_blocks4_step100_pilot30,2,30,True,False,True,1299582.2625297923,1222439.280929954,0.0,0.0,77142.9815998398,241,2929,1165970.9958383315,48.51477699638773,3180988.4634739673,0,True,False,False,data/results/exp008/block_purchase/ridge28_impulse300_blocks4_step100_pilot30/dispatch_2.npz,2140514adca8f297fdb24b1d6cee763dec766f27354cd9c4ca8ba0d09505ff04,
block_purchase/ridge28_impulse300_blocks4_step50_pilot30,2,30,True,False,True,1287724.690995861,1217640.6691917554,0.0,0.0,70084.02180410668,245,2964,1174511.50254747,48.87013822760914,3194484.4430999123,0,True,False,False,data/results/exp008/block_purchase/ridge28_impulse300_blocks4_step50_pilot30/dispatch_2.npz,7fd9f37d71b7d0c67706bd7a9feda220122e2c797dfd3fafc2c212768458fda2,
block_purchase/ridge28_markov100_blocks4_rounds0_step50_pilot30,2,30,True,False,True,1266797.579069791,1224977.6927966806,0.0,0.0,41819.88627311241,274,3159,1174338.3012750852,48.862601854500966,3342545.7550112284,0,True,False,False,data/results/exp008/block_purchase/ridge28_markov100_blocks4_rounds0_step50_pilot30/dispatch_2.npz,025130ba70952373ced40ff8620ced50a7399f2595942ba78e949c2b9fa43aaa,
