name,channel,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
original_HGB_raw,load,218.7909625929173,158.47382159300312,13.033998280141159,221.53573301872618,228.2805262386406,12.873030299137863,3120.0768348927795,1778.4486007711998,1748.5627186720992,16900.832388254425,30968.65292408093,150481.15467316192
original_HGB_raw,pv,368.79051937601713,181.89541260829287,-38.49998362282397,359.85014575433775,301.7032514656362,-4.638597847683047,3653.3926394563764,2833.8872348668915,2507.566253124791,23172.3572535313,112834.08992810114,164724.53286475284
original_HGB_raw,net,433.74011596820435,286.8808471105204,51.53398190296513,426.697409245675,379.8404143756936,17.511628146820897,5279.607304924999,3898.613278436667,3275.5063688162645,48392.800858016344,139737.68734209504,248857.87006444755
original_HGB_full,load,192.85525876759698,144.7735784301409,-3.22756038304155,195.1269435032755,200.3207865171937,-1.8501146383688853,2073.3358000951544,1219.1742863115521,1195.1683291534823,7463.057881868428,29730.09295244836,151179.3824496338
original_HGB_full,pv,307.5828489793913,153.66067269402419,7.559976711400568,307.99511431446916,283.49363147764154,16.123960806603705,2886.879179361182,2056.1482382175486,1976.1388473065556,14468.873951786616,80138.33503449244,129755.16479512997
original_HGB_full,net,362.89918485267737,247.98163997237435,-10.787537094442119,364.9505724131582,348.1840276970736,-17.974075444972588,3610.6328106863552,2556.9038598497486,2285.936944822583,22633.10641250842,109062.71195422925,261349.35828637684
best_fixed_channel_composite_full,load,191.36478823548765,143.55633261934355,-3.1131729927373994,193.73159984104495,199.10126094462862,-1.1413725871979539,2054.9467207873718,1206.1540227964747,1187.2470055777583,7331.260460546481,29289.221715866537,149354.71574775214
best_fixed_channel_composite_full,pv,305.9367949891768,153.7611361256044,9.270302703551627,306.44426625035237,280.89153406796356,5.001973161735679,2875.794708159323,2068.488099204047,1968.1834064292796,14357.977783814524,79239.34474443506,141519.7858219359
best_fixed_channel_composite_full,net,359.41242095610505,246.38157575395044,-12.383475696289025,361.61664323934014,344.2175894419878,-6.1433457489336325,3510.222091457499,2501.2165593152026,2236.669614650253,21391.76932527128,107785.5190122572,247573.44096367247
absolute_extra_trees_raw,load,210.21650956596767,151.1805924835776,10.539932283771234,213.80757834463807,220.72483488643883,5.22171448215085,3098.185545492376,1820.2333290401712,1730.3865161893873,16664.50290676717,27526.477987331407,151457.7975728592
absolute_extra_trees_raw,pv,358.09172157112016,173.69084731237473,-23.266468007264375,348.5911788649588,293.09829248805966,7.006835652429589,3541.5907730630374,2726.11014638966,2431.9784699453403,21775.80764556466,106453.87341220396,142864.42660648795
absolute_extra_trees_raw,net,421.4789168841849,277.4346532191336,33.8064002910356,414.4701609982843,370.29805378605613,-1.7851211702787404,5126.550452111435,3765.8747929405627,3191.2753867315573,45627.63808688188,132016.83929098374,260914.0385120199
absolute_extra_trees_ridge28,load,195.90394424846792,143.7608671817779,-7.334201356092414,199.0066852742202,206.39365263455295,-3.572489383732665,2675.8764280869486,1594.2442631022388,1496.1181504436208,12431.10183748501,25947.25353462181,153552.10965891054
absolute_extra_trees_ridge28,pv,307.73492157464614,153.6037277906207,3.86612165820398,307.60048929330543,282.1745609588001,13.11563342576887,2896.353534450926,2076.2721419908644,1984.6313367284736,14563.999646747172,80136.78230980645,131513.91400537282
absolute_extra_trees_ridge28,net,363.906445569561,248.046371802472,-11.200323014296396,366.1086149142918,350.1051915937301,-16.688122809501532,3944.201025890983,2768.4211477154927,2436.0598012491514,27008.197452499102,105419.70367457275,262525.46989739547
absolute_extra_trees_ridge28_memory_half,load,182.42169032115788,135.99525683948173,-3.670964599200182,185.22327893961548,191.53597305902363,0.09074737315957078,2054.8288662182576,1137.481849773197,1177.7573095153534,7330.419565006615,25947.25353462181,141623.81295894764
absolute_extra_trees_ridge28_memory_half,pv,307.73492157464614,153.6037277906207,3.86612165820398,307.60048929330543,282.1745609588001,13.11563342576887,2896.353534450926,2076.2721419908644,1984.6313367284736,14563.999646747172,80136.78230980645,131513.91400537282
absolute_extra_trees_ridge28_memory_half,net,357.4383426253771,241.5676388483594,-7.537086257404164,359.52895616170076,343.07788262962004,-13.024886052609295,3587.3750709984797,2498.2249624772285,2281.066059388908,22342.465104203726,105419.70367457275,251305.92124209387
