scenario,issue_hour,target,n,unit,mae,rmse,bias_predicted_minus_actual,absolute_error_sum,squared_error_sum,lead_hour_end,target_hour_end
2,0,load,2004,kW,199.67769286325932,266.63106180486136,106.28112179755617,400154.0964979717,142468614.73085234,1,1
2,0,load,2004,kW,198.0370570462497,262.90581987900447,102.31292852802791,396866.26232068444,138515418.13300806,2,2
2,0,load,2004,kW,190.87468881320657,252.88327113389744,100.24446748730423,382512.876381666,128155697.4340381,3,3
2,0,load,2004,kW,185.23526499114055,240.29532676226708,100.12514294652017,371211.4710422457,115714655.50382458,4,4
2,0,load,2004,kW,188.1504192451598,239.42662845279446,103.17622295539083,377053.4401673003,114879521.26619406,5,5
2,0,load,2004,kW,184.99793035295605,233.242742749114,105.48141833757036,370735.85242732393,109021962.79843928,6,6
2,0,load,2004,kW,173.10064730709226,219.45975047442073,90.0990784531692,346893.6972034129,96517814.4849032,7,7
2,0,load,2004,kW,178.90392184320274,229.06332513278187,90.20024561578985,358523.4593737783,105149893.86945662,8,8
2,0,load,2004,kW,177.19163857969008,227.34137816362198,91.11455464363196,355092.0437136989,103574940.8595713,9,9
2,0,load,2004,kW,174.49410369662775,221.4004400194039,89.10586049224464,349686.183808042,98232382.30093446,10,10
2,0,load,2004,kW,175.75644674957786,225.16868646059464,92.96134743669376,352215.91928615404,101604678.47422871,11,11
2,0,load,2004,kW,187.60843502620352,239.94101981254173,97.25234018111088,375967.30379251187,115373672.74931982,12,12
2,0,load,2004,kW,192.03268738887863,251.3770769931837,99.88453597638745,384833.50552731275,126633631.41462456,13,13
2,0,load,2004,kW,191.7966186003759,252.9709703167429,101.94705249580483,384360.4236751533,128244600.8932808,14,14
2,0,load,2004,kW,197.96168952462486,266.7821404269108,101.09212976576805,396715.2258073482,142630111.74333102,15,15
2,0,load,2004,kW,198.0299136207537,267.99085456178136,98.7222640578016,396851.9468959904,143925472.65002275,16,16
2,0,load,2004,kW,204.64005291118767,279.22829497124764,95.6915104182399,410098.6660340201,156248755.18795037,17,17
2,0,load,2004,kW,218.17175020758097,290.9382100623558,105.54367049420229,437216.18741599226,169628664.3168721,18,18
2,0,load,2004,kW,216.09034579001602,288.94720871960624,118.6460280100216,433045.0529631921,167314940.81141078,19,19
2,0,load,2004,kW,206.78475047829326,278.53835156725427,108.99858176606683,414396.6399584997,155477561.04078186,20,20
2,0,load,2004,kW,208.76508310847152,285.16487064725584,98.1135893393075,418365.2265493769,162963282.91633737,21,21
2,0,load,2004,kW,210.97094021426503,286.11697647873115,97.46730119989697,422785.7641893871,164053300.15557888,22,22
2,0,load,2004,kW,220.3953645146848,289.3487233486796,120.70540149229335,441672.31048742833,167780258.14183545,23,23
2,0,load,2004,kW,211.3140754063781,278.19498297680616,112.74207218444336,423473.4071143817,155094466.9011448,24,24
2,0,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,1,1
2,0,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,2,2
2,0,pv,2004,kW,0.009049962315725805,0.2355686198234172,0.009049962315725805,18.136124480714514,111.20711958960138,3,3
2,0,pv,2004,kW,0.3707712251500888,2.24923979761042,0.36923709341356176,743.025535200778,10138.395652977746,4,4
2,0,pv,2004,kW,1.9873513507741178,6.196724627826657,1.6473956216704957,3982.6521069513324,76952.3898106793,5,5
2,0,pv,2004,kW,32.00246224442699,64.70070941343258,-17.775786961861552,64132.934337831684,8389108.324397292,6,6
2,0,pv,2004,kW,125.74878986546824,181.47340777979633,-72.94100037381428,252000.57489039836,65996925.85334934,7,7
2,0,pv,2004,kW,249.81230571556978,339.2980202028215,-141.52526645107122,500623.8606540018,230706785.61316276,8,8
2,0,pv,2004,kW,379.5695394052272,497.2935967440322,-241.59988972336367,760657.3569680753,495591046.4106827,9,9
2,0,pv,2004,kW,528.9249935889611,684.7903824537732,-343.08891922320424,1059965.6871522781,939751487.2739747,10,10
2,0,pv,2004,kW,639.9799454876575,814.1887132093274,-418.2815630601458,1282519.8107572657,1328458134.4777904,11,11
2,0,pv,2004,kW,693.5290796474792,879.4744181172719,-455.2095989203673,1389832.2756135482,1550044405.2539184,12,12
2,0,pv,2004,kW,699.9922683530024,869.7953469482218,-449.1692559598551,1402784.5057794168,1516114066.927846,13,13
2,0,pv,2004,kW,591.2325354036956,750.0157794768451,-397.9949243937162,1184830.0009490058,1127297433.606376,14,14
2,0,pv,2004,kW,470.02552686322264,605.2136734245738,-317.2453576246527,941931.1558338981,734032315.3621335,15,15
2,0,pv,2004,kW,352.48240577113495,464.08778470743596,-219.83762042382102,706374.7411653544,431616453.7169695,16,16
2,0,pv,2004,kW,216.21865115406536,294.28429425280217,-125.84948136305202,433302.176912747,173552904.6711152,17,17
2,0,pv,2004,kW,92.68247223616662,143.44583350809117,-51.900852862168406,185735.6743612779,41235721.13026534,18,18
2,0,pv,2004,kW,19.441739426080385,41.37277075009332,-7.747403743862298,38961.24580986509,3430259.1437177146,19,19
2,0,pv,2004,kW,3.3016191602139555,8.510426051055399,3.076348376384327,6616.444797068767,145144.4125472467,20,20
2,0,pv,2004,kW,0.734011983851022,3.2554919440259087,0.7327366345496246,1470.960015637448,21238.848506425653,21,21
2,0,pv,2004,kW,0.029343560848747847,0.5252383177117825,0.029343560848747847,58.80449594089069,552.8540819469775,22,22
2,0,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,23,23
2,0,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,24,24
2,0,net_load,2004,kW,199.67769286325932,266.63106180486136,106.28112179755617,400154.0964979717,142468614.73085234,1,1
2,0,net_load,2004,kW,198.0370570462497,262.90581987900447,102.31292852802791,396866.26232068444,138515418.13300806,2,2
2,0,net_load,2004,kW,190.87129268391786,252.88144403207804,100.2354175249885,382506.0705385714,128153845.57044104,3,3
2,0,net_load,2004,kW,185.0336273547128,240.1156737215116,99.75590585310661,370807.3892188444,115541695.68053779,4,4
2,0,net_load,2004,kW,187.6034234298333,238.82774106901314,101.52882733372034,375957.26055338595,114305534.56787169,5,5
2,0,net_load,2004,kW,196.92570237848878,248.223359990276,123.2572052994319,394639.1075664915,123476132.23550376,6,6
2,0,net_load,2004,kW,244.56615558314346,310.3222697438815,163.04007882698343,490110.57578861946,192985021.8423847,7,7
2,0,net_load,2004,kW,346.5770394032665,442.7108808638479,231.72551206686109,694540.386964146,392769819.7666292,8,8
2,0,net_load,2004,kW,464.26009888899955,592.3509166938518,332.7144443669957,930377.2381735551,703162735.4501251,9,9
2,0,net_load,2004,kW,596.1700156596099,762.329482953327,432.1947797154489,1194724.7113818582,1164617066.1220932,10,10
2,0,net_load,2004,kW,719.5886035123536,898.5254441209183,511.24291049683956,1442055.5614387568,1617925339.360318,11,11
2,0,net_load,2004,kW,769.0261222280005,965.0576651636453,552.4619391014783,1541128.3489449131,1866397939.3705778,12,12
2,0,net_load,2004,kW,769.4065493462156,953.2916997486468,549.0537919362426,1541890.724889816,1821165189.8785672,13,13
2,0,net_load,2004,kW,669.1038655729534,844.2048269254511,499.9419768895211,1340884.1466081985,1428214306.7676787,14,14
2,0,net_load,2004,kW,570.1276254924416,713.1670715285802,418.33748739042073,1142535.7614868528,1019248972.9129527,15,15
2,0,net_load,2004,kW,446.92786687508317,580.0644356348593,318.55988448162253,895643.4452176667,674295397.974729,16,16
2,0,net_load,2004,kW,332.39977207115095,439.6580671566487,221.54099178129192,666129.1432305865,387371628.8959042,17,17
2,0,net_load,2004,kW,258.8985931350283,345.333657994021,157.4445233563707,518832.7806425968,238987692.02843708,18,18
2,0,net_load,2004,kW,220.88523298392926,294.6954144514005,126.39343175388389,442654.0068997942,174038156.14656013,19,19
2,0,net_load,2004,kW,206.11169871215063,278.0509544952452,105.92223338968253,413047.84421914985,154933915.92461672,20,20
2,0,net_load,2004,kW,208.60772447206563,285.0347374338628,97.38085270475787,418049.8798420195,162814582.2941582,21,21
2,0,net_load,2004,kW,210.95294631360883,286.09601677157696,97.4379576390482,422749.7044124721,164029265.34837514,22,22
2,0,net_load,2004,kW,220.3953645146848,289.3487233486796,120.70540149229335,441672.31048742833,167780258.14183545,23,23
2,0,net_load,2004,kW,211.3140754063781,278.19498297680616,112.74207218444336,423473.4071143817,155094466.9011448,24,24
3,0,load,2004,kW,199.67769286325932,266.63106180486136,106.28112179755617,400154.0964979717,142468614.73085234,1,1
3,0,load,2004,kW,198.0370570462497,262.90581987900447,102.31292852802791,396866.26232068444,138515418.13300806,2,2
3,0,load,2004,kW,190.87468881320657,252.88327113389744,100.24446748730423,382512.876381666,128155697.4340381,3,3
3,0,load,2004,kW,185.23526499114055,240.29532676226708,100.12514294652017,371211.4710422457,115714655.50382458,4,4
3,0,load,2004,kW,188.1504192451598,239.42662845279446,103.17622295539083,377053.4401673003,114879521.26619406,5,5
3,0,load,2004,kW,184.99793035295605,233.242742749114,105.48141833757036,370735.85242732393,109021962.79843928,6,6
3,0,load,2004,kW,173.10064730709226,219.45975047442073,90.0990784531692,346893.6972034129,96517814.4849032,7,7
3,0,load,2004,kW,178.90392184320274,229.06332513278187,90.20024561578985,358523.4593737783,105149893.86945662,8,8
3,0,load,2004,kW,177.19163857969008,227.34137816362198,91.11455464363196,355092.0437136989,103574940.8595713,9,9
3,0,load,2004,kW,174.49410369662775,221.4004400194039,89.10586049224464,349686.183808042,98232382.30093446,10,10
3,0,load,2004,kW,175.75644674957786,225.16868646059464,92.96134743669376,352215.91928615404,101604678.47422871,11,11
3,0,load,2004,kW,187.60843502620352,239.94101981254173,97.25234018111088,375967.30379251187,115373672.74931982,12,12
3,0,load,2004,kW,192.03268738887863,251.3770769931837,99.88453597638745,384833.50552731275,126633631.41462456,13,13
3,0,load,2004,kW,191.7966186003759,252.9709703167429,101.94705249580483,384360.4236751533,128244600.8932808,14,14
3,0,load,2004,kW,197.96168952462486,266.7821404269108,101.09212976576805,396715.2258073482,142630111.74333102,15,15
3,0,load,2004,kW,198.0299136207537,267.99085456178136,98.7222640578016,396851.9468959904,143925472.65002275,16,16
3,0,load,2004,kW,204.64005291118767,279.22829497124764,95.6915104182399,410098.6660340201,156248755.18795037,17,17
3,0,load,2004,kW,218.17175020758097,290.9382100623558,105.54367049420229,437216.18741599226,169628664.3168721,18,18
3,0,load,2004,kW,216.09034579001602,288.94720871960624,118.6460280100216,433045.0529631921,167314940.81141078,19,19
3,0,load,2004,kW,206.78475047829326,278.53835156725427,108.99858176606683,414396.6399584997,155477561.04078186,20,20
3,0,load,2004,kW,208.76508310847152,285.16487064725584,98.1135893393075,418365.2265493769,162963282.91633737,21,21
3,0,load,2004,kW,210.97094021426503,286.11697647873115,97.46730119989697,422785.7641893871,164053300.15557888,22,22
3,0,load,2004,kW,220.3953645146848,289.3487233486796,120.70540149229335,441672.31048742833,167780258.14183545,23,23
3,0,load,2004,kW,211.3140754063781,278.19498297680616,112.74207218444336,423473.4071143817,155094466.9011448,24,24
3,0,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,1,1
3,0,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,2,2
3,0,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,3,3
3,0,pv,2004,kW,0.0008103293413173654,0.0036067115581195366,-0.0008103293413173654,1.6239000000000001,0.02606877,4,4
3,0,pv,2004,kW,0.8010989766753098,3.2629691787046533,0.5615713319647311,1605.4023492573208,21336.52359379775,5,5
3,0,pv,2004,kW,45.972392654699874,82.89020280843765,33.74658521202853,92128.67488001855,13769054.586134344,6,6
3,0,pv,2004,kW,102.65576511326422,134.6045730161349,-0.19614542941866614,205722.1532869815,36309255.71801941,7,7
3,0,pv,2004,kW,166.71821550145944,220.69502010949296,-80.88977252168178,334103.3038649247,97607408.96986352,8,8
3,0,pv,2004,kW,284.6234743641238,359.90054512719695,-85.71690988464172,570385.4426257041,259574918.37523848,9,9
3,0,pv,2004,kW,400.834213612351,506.3177253166506,-97.1038816003648,803271.7640791514,513740708.4955337,10,10
3,0,pv,2004,kW,496.2799060825904,625.7977280570216,-69.94616750719885,994544.9317895111,784812084.0684252,11,11
3,0,pv,2004,kW,570.2531771754294,715.8791546675329,-46.8804002494985,1142787.3670595605,1027015860.0313531,12,12
3,0,pv,2004,kW,615.8786374764221,773.4436130052854,-53.100685487841005,1234220.78950275,1198822905.0873342,13,13
3,0,pv,2004,kW,587.7134038091056,738.0023970004236,-25.25797675299856,1177777.6612334475,1091473666.108655,14,14
3,0,pv,2004,kW,549.5404396246951,685.188897924487,-17.230190874588953,1101279.041007889,940845586.981302,15,15
3,0,pv,2004,kW,423.92674274900764,536.5360715869341,9.83268014594221,849549.1924690113,576893396.052335,16,16
3,0,pv,2004,kW,275.4766072235124,351.6136543041664,52.095250312171984,552055.1208759189,247758852.43383217,17,17
3,0,pv,2004,kW,174.24309925617519,226.75917902420127,108.15819410962503,349183.17090937507,103045129.44454645,18,18
3,0,pv,2004,kW,78.1755474921134,130.4471361890974,73.72456202032917,156663.79717419524,34100976.50123359,19,19
3,0,pv,2004,kW,0.16207470059880238,0.6976709973790169,-0.16207470059880238,324.79769999999996,975.43662045,20,20
3,0,pv,2004,kW,0.0008088822355289421,0.003593990326512562,-0.0008088822355289421,1.621,0.025885200000000004,21,21
3,0,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,22,22
3,0,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,23,23
3,0,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,24,24
3,0,net_load,2004,kW,199.67769286325932,266.63106180486136,106.28112179755617,400154.0964979717,142468614.73085234,1,1
3,0,net_load,2004,kW,198.0370570462497,262.90581987900447,102.31292852802791,396866.26232068444,138515418.13300806,2,2
3,0,net_load,2004,kW,190.87468881320657,252.88327113389744,100.24446748730423,382512.876381666,128155697.4340381,3,3
3,0,net_load,2004,kW,185.2354823065098,240.29543573912304,100.1259532758615,371211.90654224565,115714760.45985824,4,4
3,0,net_load,2004,kW,188.00905830135648,239.28457583696832,102.6146516234261,376770.15283591836,114743244.89988959,5,5
3,0,net_load,2004,kW,181.4671641264243,228.3719678622761,71.73483312554184,363660.1969093543,104516126.43339808,6,6
3,0,net_load,2004,kW,194.50606434672113,244.89374946020345,90.29522388258786,389790.1529508291,120185788.8434525,7,7
3,0,net_load,2004,kW,268.66377318000474,337.9848926779003,171.09001813747162,538402.2014527295,228924510.50769755,8,8
3,0,net_load,2004,kW,353.8679622377094,444.7137777805312,176.8314645282737,709151.3963243696,396331769.6722547,9,9
3,0,net_load,2004,kW,439.4691614345981,559.2137352286675,186.20974209260947,880696.1995149346,626690883.3434701,10,10
3,0,net_load,2004,kW,543.5754194653003,688.8659618729412,162.90751494389258,1089325.1406084618,950970772.1079733,11,11
3,0,net_load,2004,kW,607.8535753675063,769.4479584862216,144.1327404306094,1218138.5650364826,1186468522.2805028,12,12
3,0,net_load,2004,kW,653.4621368035597,829.4980106888794,152.98522146422843,1309538.1221543336,1378886167.272564,13,13
3,0,net_load,2004,kW,619.3253541583241,788.9048127314851,127.20502924880341,1241128.0097332816,1247231090.3160028,14,14
3,0,net_load,2004,kW,585.6059366138927,736.3834654795038,118.32232064035698,1173554.296974241,1086690258.8961334,15,15
3,0,net_load,2004,kW,456.2702835824925,592.5264517166497,88.88958391185936,914365.6482993149,703579542.3517821,16,16
3,0,net_load,2004,kW,327.5275912012004,430.29570174485394,43.596260106067916,656365.2927672055,371049399.44395304,17,17
3,0,net_load,2004,kW,240.4294448551756,324.8997754309957,-2.6145236154227383,481820.6074897719,211541967.60652333,18,18
3,0,net_load,2004,kW,218.6531736600603,293.8216309983285,44.92146598969244,438180.96001476084,173007626.2884059,19,19
3,0,net_load,2004,kW,206.79928915094794,278.54805598260873,109.16065646666563,414425.7754584997,155488395.0613478,20,20
3,0,net_load,2004,kW,208.76521464539763,285.16485400589164,98.114398221543,418365.49014937686,162963263.8962438,21,21
