scenario,issue_hour,target,n,unit,mae,rmse,bias_predicted_minus_actual,absolute_error_sum,squared_error_sum
2,0,load,48096,kW,195.4575632616615,258.3117746935212,101.16286941980181,9400726.962632872,3209204298.777941
2,0,pv,48096,kW,212.41978593355464,423.9991342452028,-135.59595040982387,10216542.024260243,8646471185.873417
2,0,net_load,48096,kW,359.3111727469802,524.8382547955927,236.7588198296257,17281430.16443876,13248292996.045303
3,0,load,48096,kW,195.4575632616615,258.3117746935212,101.16286941980181,9400726.962632872,3209204298.777941
3,0,pv,48096,kW,198.885683959325,379.47244570886824,-8.265290878681117,9565605.855707696,6925792114.865975
3,0,net_load,48096,kW,321.28149601230103,461.2173787924801,109.42816029848294,15452354.83220763,10231051845.17791
3,6,load,36072,kW,184.5375503367617,246.30833401138088,80.63823341187742,6656638.515747668,2188408715.79368
3,6,pv,36072,kW,164.05222486204764,274.3490635796596,0.8562434519752166,5917691.855223782,2715045966.158767
3,6,net_load,36072,kW,271.44196648531124,367.4420053670633,79.7819899599022,9791454.615058146,4870211564.260271
3,12,load,24048,kW,190.95021678058671,256.0025144303,79.97311051722126,4591970.813139549,1576040687.2662053
3,12,pv,24048,kW,82.83751476447769,147.64140466837034,27.22452803268132,1992076.5550561596,524197928.1886653
3,12,net_load,24048,kW,218.0210428188889,288.09113123365074,52.74858248453994,5242970.03770864,1995899829.4866128
3,18,load,12024,kW,178.37300306231973,233.03612100223907,70.00610299271871,2144756.9888213323,652973344.309845
3,18,pv,12024,kW,15.83468358283433,60.018932568363205,15.748755671989356,190396.23539999998,43313721.73414825
3,18,net_load,12024,kW,182.1160072156276,238.18902342904997,54.257347320729345,2189762.8707607063,682169746.8461843
4-2,0,load,48096,kW,195.4575632616615,258.3117746935212,101.16286941980181,9400726.962632872,3209204298.777941
4-2,0,pv,48096,kW,212.41978593355464,423.9991342452028,-135.59595040982387,10216542.024260243,8646471185.873417
4-2,0,price,48096,yuan/kWh,0.046318006975575025,0.061947789175901255,2.1122205309000837e-05,2227.7108634972565,184.56977476557466
4-2,0,net_load,48096,kW,359.3111727469802,524.8382547955927,236.7588198296257,17281430.16443876,13248292996.045303
4-3,0,load,48096,kW,195.4575632616615,258.3117746935212,101.16286941980181,9400726.962632872,3209204298.777941
4-3,0,pv,48096,kW,198.885683959325,379.47244570886824,-8.265290878681117,9565605.855707696,6925792114.865975
4-3,0,price,48096,yuan/kWh,0.046318006975575025,0.061947789175901255,2.1122205309000837e-05,2227.7108634972565,184.56977476557466
4-3,0,net_load,48096,kW,321.28149601230103,461.2173787924801,109.42816029848294,15452354.83220763,10231051845.17791
4-3,6,load,36072,kW,184.5375503367617,246.30833401138088,80.63823341187742,6656638.515747668,2188408715.79368
4-3,6,pv,36072,kW,164.05222486204764,274.3490635796596,0.8562434519752166,5917691.855223782,2715045966.158767
4-3,6,price,36072,yuan/kWh,0.05013739944248316,0.06685181827976559,5.416096044502024e-06,1808.5562726892526,161.21174178691518
4-3,6,net_load,36072,kW,271.44196648531124,367.4420053670633,79.7819899599022,9791454.615058146,4870211564.260271
4-3,12,load,24048,kW,190.95021678058671,256.0025144303,79.97311051722126,4591970.813139549,1576040687.2662053
4-3,12,pv,24048,kW,82.83751476447769,147.64140466837034,27.22452803268132,1992076.5550561596,524197928.1886653
4-3,12,price,24048,yuan/kWh,0.04755219080822021,0.06415993358729666,4.1625380640257504e-07,1143.5350845560795,98.99352172997209
4-3,12,net_load,24048,kW,218.0210428188889,288.09113123365074,52.74858248453994,5242970.03770864,1995899829.4866128
4-3,18,load,12024,kW,178.37300306231973,233.03612100223907,70.00610299271871,2144756.9888213323,652973344.309845
4-3,18,pv,12024,kW,15.83468358283433,60.018932568363205,15.748755671989356,190396.23539999998,43313721.73414825
4-3,18,price,12024,yuan/kWh,0.03986717411188117,0.055279164584652485,0.00022467686055369304,479.3629015212592,36.74277131101742
4-3,18,net_load,12024,kW,182.1160072156276,238.18902342904997,54.257347320729345,2189762.8707607063,682169746.8461843
