scenario,issue_hour,target,n,unit,mae,rmse,bias_predicted_minus_actual,absolute_error_sum,squared_error_sum,month
2,0,load,4032,kW,194.8705883349267,240.8236201152557,164.51533334569413,785718.2121664245,233839936.53384128,2
2,0,load,4464,kW,163.94214219883804,209.85868705527454,114.77903150677628,731837.722775613,196597544.32936418,3
2,0,load,4320,kW,142.35822178253517,177.22978205912975,86.67229808610256,614987.5181005519,135692909.20249906,4
2,0,load,4464,kW,166.31954457885635,210.4923887494169,55.30810585411176,742450.4470000147,197786652.10048878,5
2,0,load,4320,kW,209.58505116763405,270.91164504861547,34.870512372361034,905407.4210441791,317058275.9071311,6
2,0,load,4464,kW,290.5917430007221,359.9921587815121,24.336664839332848,1297201.5407552235,578509197.9709501,7
2,0,load,4464,kW,203.9809989833409,254.99046749043902,113.35907670028328,910571.1794616338,290249898.31307113,8
2,0,load,4320,kW,287.4667851113561,396.6724765362663,243.81926637252855,1241856.5116810584,679747911.7309116,9
2,0,load,4464,kW,196.4208185194376,248.28941482906143,173.55614727109682,876822.5338707694,275195036.0161282,10
2,0,load,4320,kW,135.32872939417726,168.8280500460455,72.32713195895931,584620.1109828458,123132573.28375219,11
2,0,load,4464,kW,158.88301182673814,201.58109543146728,36.44461217794188,709253.7647945591,181394363.38980383,12
2,0,pv,4032,kW,159.9420752645173,331.7027492632831,-114.08278713979128,644886.4474665339,443627710.3190842,2
2,0,pv,4464,kW,213.5031527703486,423.61374079368943,-125.05124454081954,953078.0739668362,801058556.6014919,3
2,0,pv,4320,kW,262.2033020383912,498.81477373000337,-178.34759075890733,1132718.26480585,1074885891.0824785,4
2,0,pv,4464,kW,253.10239021517876,475.14777161928856,-152.67608957370533,1129849.069920558,1007816767.3609984,5
2,0,pv,4320,kW,240.22986538143385,460.8761592169307,-101.2868826831081,1037793.0184477943,917597523.4612545,6
2,0,pv,4464,kW,273.29601677310853,508.02939752934407,-194.08094412731538,1219993.4188751564,1152131030.1179824,7
2,0,pv,4464,kW,277.3970574941797,502.98002796730657,-207.7223060261635,1238300.4646540182,1129342487.6957424,8
2,0,pv,4320,kW,242.36813268843872,469.8267046001559,-161.8972011716357,1047030.3332140553,953584411.77551,9
2,0,pv,4464,kW,197.8851536920375,409.0689701168143,-160.99404385596299,883359.3260812555,746994253.2026924,10
2,0,pv,4320,kW,114.19034086665647,231.70924233091134,-44.1403298386924,493302.27254395594,231937227.28036076,11
2,0,pv,4464,kW,97.72207309234548,204.94301975825024,-47.36470295334679,436231.33428423025,187495326.97582275,12
2,0,net_load,4032,kW,322.95567742549355,453.9291750437113,278.5981204854854,1302157.29137959,830800438.0940449,2
2,0,net_load,4464,kW,336.14031699502243,503.18209235661186,239.83027604759582,1500530.3750657802,1130250061.4572387,3
2,0,net_load,4320,kW,362.6902860029488,558.1550011301979,265.0198888450099,1566822.035532739,1345839862.8383331,4
2,0,net_load,4464,kW,370.91919751776544,543.3008961152798,207.98419542781707,1655783.297719305,1317665055.6445894,5
2,0,net_load,4320,kW,385.5721635339131,551.412844044674,136.15739505546915,1665671.7464665046,1313522458.1745234,6
2,0,net_load,4464,kW,457.1973891840589,615.5267990852632,218.41760896664826,2040929.145317639,1691290145.110557,7
2,0,net_load,4464,kW,427.50741634720663,606.5190708087599,321.08138272644675,1908393.1065739305,1642151070.8490767,8
2,0,net_load,4320,kW,489.2416227631592,675.9042883144099,405.7164675441642,2113523.810336848,1973577342.0750148,9
2,0,net_load,4464,kW,369.1900413911724,527.9253342433067,334.55019112705986,1648064.3447701936,1244139827.704289,10
2,0,net_load,4320,kW,211.17689717062987,295.87803527504815,116.46746179765172,912284.195777121,378189266.7955218,11
2,0,net_load,4464,kW,216.68253035374332,292.09548634163184,83.80931513128867,967270.8154991101,380867467.30211335,12
3,0,load,4032,kW,194.8705883349267,240.8236201152557,164.51533334569413,785718.2121664245,233839936.53384128,2
3,0,load,4464,kW,163.94214219883804,209.85868705527454,114.77903150677628,731837.722775613,196597544.32936418,3
3,0,load,4320,kW,142.35822178253517,177.22978205912975,86.67229808610256,614987.5181005519,135692909.20249906,4
3,0,load,4464,kW,166.31954457885635,210.4923887494169,55.30810585411176,742450.4470000147,197786652.10048878,5
3,0,load,4320,kW,209.58505116763405,270.91164504861547,34.870512372361034,905407.4210441791,317058275.9071311,6
