name,month,total_cost,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,direction_reversals_including_warmup_boundary,charging_slots,discharging_slots,active_slots,simultaneous_slots,max_overlap_kwh,charge_starts,discharge_starts,power_changes_count,power_ramp_total_kw,power_ramp_total_kw_including_warmup_boundary,power_ramp_max_kw_per_10min,power_ramp_p95_kw_per_10min,mean_absolute_power_kw,max_charge_kw,max_discharge_kw,initial_soc,final_soc,minimum_soc,maximum_soc,initial_mode,final_mode,initial_power_kw,final_power_kw,degradation_interpretation,planned_mode_segments,planned_mode_segments_1slots,planned_mode_segments_2slots,planned_mode_segments_3slots,planned_mode_segments_under3slots,planned_mode_median_slots,planned_mode_minimum_slots,actual_contiguous_active_segments,actual_contiguous_active_segments_1slots,actual_contiguous_active_segments_2slots,actual_contiguous_active_segments_3slots,actual_contiguous_active_segments_under3slots,actual_contiguous_active_median_slots,actual_contiguous_active_minimum_slots
exp006,2,1243519.028793889,564721.7368032075,507941.132560144,1072662.8693633517,44.63162688096406,251,251,899,1128,2027,0,0.0,192,164,1940,2844591.425868917,2849340.440444809,7883.084194545981,4743.416490252569,1596.224507981178,4992.928515435221,4838.28482005762,1421.7991105135516,1746.9134699383453,1255.077781645955,10800.0,1,-1,172.76,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,,,,,,,,356,122,77,7,199,2.0,1
exp006,3,1162130.4326789503,565264.1937938305,508940.57422064396,1074204.7680144745,44.69696537674718,267,268,1008,1139,2147,0,0.0,198,173,1938,2811083.8593186317,2815721.240918092,7606.590590252569,4729.422821003617,1443.8236129226807,4989.320651921336,4838.28482005762,1746.9134699383453,1533.1437043977003,1361.1191381506212,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,,,,,,,,371,153,57,6,210,2.0,1
exp006,4,977869.5132367302,502490.9448966972,452271.6523685304,954762.5972652275,39.7267061548305,211,212,972,1040,2012,0,0.0,171,145,1746,2379882.3166088574,2384732.3416731427,8363.62879025257,4269.0748412273115,1326.0591628683717,4993.270070550168,4553.679830642466,1533.1437043977003,1501.7296787010164,1375.2978120769376,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,,,,,,,,316,130,58,7,188,2.0,1
exp006,5,1033541.6870055172,478815.3603059314,429911.83706151776,908727.1973674492,37.80879171803353,193,194,1093,1010,2103,0,0.0,157,112,1730,2321649.571877341,2326382.0489189625,8124.808578235032,4110.960958218893,1221.4075233433457,4982.891245554039,4838.28482005762,1501.7296787010164,2578.9987904484974,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,,,,,,,,269,97,52,4,149,2.0,1
exp006,6,1434185.5180029792,517149.07643003715,466192.84697020403,983341.9234002413,40.91754582692287,257,258,901,1183,2084,0,0.0,204,151,1999,2792149.4787012236,2796498.192780585,8858.922199748764,4743.416490252569,1365.752671389224,4996.854834085413,4838.28482005762,2578.9987904484974,1779.2817671493092,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,,,,,,,,355,122,66,10,188,2.0,1
exp006,7,1620008.1210935588,522043.17622956244,470068.3098835792,992111.4861131416,41.2812144659532,271,272,897,1080,1977,0,0.0,202,147,1841,2859314.669852145,2863511.236791681,9012.49133147988,4743.416490252569,1333.4831802595988,4998.856040655339,4838.28482005762,1779.2817671493092,1537.418884726244,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,,,,,,,,349,116,65,10,181,2.0,1
exp006,8,1332531.113855313,506017.49802463024,455387.0761347278,961404.5741593582,40.002936448362135,221,222,1043,986,2029,0,0.0,172,129,1729,2568735.825613969,2573558.812063762,9013.795739914454,4433.808426450228,1292.210449138922,4986.333210461422,4838.28482005762,1537.418884726244,1567.6419185862246,1319.0051988527975,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,,,,,,,,301,115,52,12,167,2.0,1
exp006,9,1168821.4843668377,508457.930838731,457404.7183535398,965862.6491922708,40.1880189270707,227,228,998,974,1972,0,0.0,182,127,1780,2605714.21651337,2610662.283479584,8724.561049399894,4667.800287395813,1341.4759016559317,4991.873516339373,4838.28482005762,1567.6419185862246,1786.2811649439075,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,,,,,,,,309,118,52,8,170,2.0,1
exp006,10,1142625.703312907,566137.7208646231,509473.5931878928,1075611.314052516,44.754905037857526,265,266,1047,1080,2127,0,0.0,205,155,1921,2812916.915146075,2817747.0971675706,7810.0765273969655,4721.517333987365,1445.7141317910161,4990.937855018361,4838.28482005762,1786.2811649439075,1839.3606176669398,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,,,,,,,,360,145,60,2,205,2.0,1
exp006,11,1274520.3347542752,613702.5249967804,552676.8250195906,1166379.350016371,48.532577546664726,265,266,1032,1239,2271,0,0.0,202,167,2132,2968945.267816293,2973740.212630529,7839.284003660985,4743.416490252569,1619.971319467182,4999.122762255147,4838.28482005762,1839.3606176669398,1476.1703694605462,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,,,,,,,,369,124,73,9,197,2.0,1
exp006,12,1676504.5401558294,697775.2734853156,628003.0373940464,1325778.3108793623,55.16421137379896,291,292,1017,1262,2279,0,0.0,213,223,2201,3439186.149219551,3443894.2511723735,7778.602192072093,4743.416490252569,1781.9600952679598,4993.319547592201,4838.28482005762,1476.1703694605462,1470.5928945820604,1200.0,10800.0,-1,-1,0.0,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,,,,,,,,436,129,91,28,220,2.0,1
original_HGB_hold1_cap8_kappa0,2,1161814.7822306058,558133.9269702542,501361.8739012751,1059495.8008715296,44.082256351031035,219,219,1596,1689,3285,0,0.0,154,179,3384,2620267.140073929,2624696.0978753185,8103.228782578657,4172.531301929628,1576.6306560588234,5000.0,5000.0,1421.7991105135516,2432.315869819444,1200.0,10800.0,1,-1,172.76,-169.5991273972254,operating intensity proxies; not calibrated battery ageing or lifetime,222.0,3.0,17.0,7.0,20.0,15.5,1.0,333,27,53,34,80,6.0,1
original_HGB_hold1_cap8_kappa0,3,1117289.1654584184,554423.1624982769,499179.7144320025,1053602.8769302792,43.839733920846335,233,234,1819,1662,3481,0,0.0,145,193,3580,2559717.7140844264,2563934.138714376,7761.793024831012,4013.170828005925,1416.132899099838,5000.0,5000.0,2432.315869819444,2222.6903984298056,1200.0,10800.0,-1,-1,-169.5991273972254,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,242.0,16.0,19.0,5.0,35.0,15.5,1.0,338,52,50,21,102,6.0,1
original_HGB_hold1_cap8_kappa0,4,929096.7327823293,503099.8527324414,453605.85298663756,956705.7057190791,39.809374139417876,215,216,1699,1581,3280,0,0.0,127,188,3418,2364840.4994255723,2369292.466998081,8305.616979609651,4022.661493788149,1328.7579246098321,5000.0,4730.4775,2222.6903984298056,1362.5661302813778,1200.0,10800.0,-1,-1,0.0,-623.7791939477811,operating intensity proxies; not calibrated battery ageing or lifetime,230.0,14.0,18.0,14.0,32.0,18.0,1.0,315,55,38,39,93,6.0,1
original_HGB_hold1_cap8_kappa0,5,925021.6958086988,479152.0525230522,429560.4168949571,908712.4694180093,37.80666608896202,229,230,1690,1640,3330,0,0.0,147,203,3532,2314735.226350835,2319935.3431117446,8244.8276,3898.291179174146,1221.387727712378,5000.0,5000.0,1362.5661302813778,3129.6789056773932,1200.0,10800.0,-1,-1,-623.7791939477811,-1041.7923133709394,operating intensity proxies; not calibrated battery ageing or lifetime,246.0,11.0,17.0,15.0,28.0,15.5,1.0,350,53,52,33,105,6.0,1
original_HGB_hold1_cap8_kappa0,6,1381644.4714685457,493465.84581939655,442597.61234996794,936063.4581693646,38.94506889222031,224,225,1647,1598,3245,0,0.0,153,200,3424,2443539.326428869,2448153.062332491,7979.891846995966,3695.4569923367744,1300.0881363463395,5000.0,5000.0,3129.6789056773932,4733.637666852818,1200.0,10800.0,-1,1,-1041.7923133709394,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,229.0,10.0,17.0,7.0,27.0,14.0,1.0,353,61,57,21,118,7.0,1
