month,total_cost,emergency_cost,direction_reversals,active_slots,throughput_kwh,power_ramp_total_kw,final_soc
2,-4076.144485641038,-5467.255448670141,2,3,2207.7795016253367,-50742.12033586856,-155.3816892330974
3,-948.6236284796614,-571.4697523368377,-1,15,1220.6675827596337,-37215.29860875802,624.8724160613915
4,4703.556278120959,4535.164291739478,12,2,-2321.918490824057,6174.582727782894,204.29358459455398
5,-4560.677149794763,-5422.580389521758,-2,-6,2908.652882413822,5507.810498709325,-135.22681075358378
6,-995.4578404075,6181.398170941247,6,8,18263.538600630825,48168.59581475891,-1285.4525374053637
7,-14367.043996197637,-9872.188138815713,0,-8,-3376.9465339403832,-1659.2224851809442,49.32877794781871
8,6133.852161794901,-256.0543358821669,0,-65,-13365.539117508102,-69612.36821824126,335.43112585144627
9,234.27856213785708,-991.0176079344528,-4,-27,-5547.819185494329,-7864.878086943645,-202.35921645872077
10,-1266.438087728573,2428.145706264915,-4,52,6135.393237274722,1328.9283764008433,-210.29904211499297
11,428.0737723223865,2788.787053398366,4,-27,9556.046712451382,5579.195140448399,0.0
12,-2991.427462793188,687.7695220826936,0,47,1057.976417849306,-27084.786257348955,0.0
