label,month,planned_cost,emergency_cost,total_cost
prior_ridge28_original_price,2,1204065.6370662886,48185.83553061409,1252251.4725969026
prior_ridge28_original_price,3,1057656.905297976,43355.01880134057,1101011.9240993164
prior_ridge28_original_price,4,869151.3528617844,42108.842490174065,911260.1953519585
prior_ridge28_original_price,5,898142.6716966045,40251.80285703941,938394.4745536438
prior_ridge28_original_price,6,1346263.5509100242,171331.9389243109,1517595.489834335
prior_ridge28_original_price,7,1651092.699931216,119489.52030932925,1770582.220240545
prior_ridge28_original_price,8,1314560.380590648,92970.07890059456,1407530.459491243
prior_ridge28_original_price,9,1074009.2705705485,87377.81846555404,1161387.0890361026
prior_ridge28_original_price,10,1075206.3895871227,18508.236486279675,1093714.6260734024
prior_ridge28_original_price,11,1252672.2958990305,11853.116261267178,1264525.4121602972
prior_ridge28_original_price,12,1800699.9091980958,53679.5243118327,1854379.4335099284
absolute_HGB_original_price,2,1206699.401502619,23836.14689685288,1230535.5483994721
absolute_HGB_original_price,3,1051435.2665764946,71858.33015753425,1123293.5967340288
absolute_HGB_original_price,4,867913.8783800944,53939.71438254005,921853.5927626343
absolute_HGB_original_price,5,883630.7174826933,31657.842316684513,915288.5597993777
absolute_HGB_original_price,6,1322328.2912479055,148151.68100468995,1470479.9722525955
absolute_HGB_original_price,7,1588785.8337336772,70277.38869421002,1659063.2224278867
absolute_HGB_original_price,8,1318801.7335253225,54178.12680117995,1372979.8603265027
absolute_HGB_original_price,9,1046110.5174516689,74691.68770722723,1120802.205158896
absolute_HGB_original_price,10,1069558.250685704,12891.448669999629,1082449.6993557038
absolute_HGB_original_price,11,1256841.3097648376,13811.93309307119,1270653.242857909
absolute_HGB_original_price,12,1794390.781418611,56232.32851876039,1850623.1099373712
absolute_HGB_linked_price,2,1205372.267721924,24392.59033470147,1229764.8580566254
absolute_HGB_linked_price,3,1052295.2688697618,72478.6237182495,1124773.8925880115
absolute_HGB_linked_price,4,866096.4649099646,45665.04364982324,911761.508559788
absolute_HGB_linked_price,5,884322.6559729868,28862.917455099807,913185.5734280865
absolute_HGB_linked_price,6,1320450.4128881013,146031.4977961266,1466481.9106842277
absolute_HGB_linked_price,7,1587212.3386730643,72132.86547974494,1659345.204152809
absolute_HGB_linked_price,8,1318443.568638902,52663.468544056836,1371107.0371829588
absolute_HGB_linked_price,9,1046559.8377164267,73930.04856197826,1120489.8862784049
absolute_HGB_linked_price,10,1069585.3739701794,11875.96195058813,1081461.3359207676
absolute_HGB_linked_price,11,1257269.7609257696,12827.081262163078,1270096.8421879327
absolute_HGB_linked_price,12,1792848.7322655474,53214.476631710684,1846063.208897258
