date,interval,original_kwh,final_kwh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,447.57733449692194,500.65716941929344
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,611.9552385489189,611.9552385489189
2025-03-20,18:00-18:10,673.7367468677849,706.8097426917669
2025-03-20,20:00-20:10,0.0,0.0
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,96.93982756025457,96.93982756025457
2025-06-21,18:00-18:10,114.95681648006547,136.83726294721873
2025-06-21,20:00-20:10,0.0,0.0
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,294.97850704787004,168.08944448554792
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,528.3145182226608,528.3145182226608
2025-09-23,18:00-18:10,742.1825410180251,782.7903089425237
2025-09-23,20:00-20:10,0.36026749432107863,26.364875791066424
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,977.8658070957001,942.1100163145013
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,839.579177979523,868.044828974595
2025-12-21,18:00-18:10,675.9807250337337,675.9807250337337
2025-12-21,20:00-20:10,0.0,0.0
