scenario,mode,target,samples,unit,mae,rmse,bias_prediction_minus_actual
3,midnight,load,48096,kW,144.7735784301409,192.85525876759698,-3.22756038304155
3,midnight,pv,48096,kW,198.885683959325,379.47244570886824,-8.265290878681117
3,midnight,net,48096,kW,288.1253873671698,428.9431962141498,5.037730495639569
3,successive_nonoverlap_6h,load,48096,kW,139.60788155843318,184.08523698665627,-0.8941561751957067
3,successive_nonoverlap_6h,pv,48096,kW,91.24038741285842,171.73551060980412,4.371019132720028
3,successive_nonoverlap_6h,net,48096,kW,187.21210908110106,251.80106564114342,-5.265175307915737
4-3,midnight,load,48096,kW,144.7735784301409,192.85525876759698,-3.22756038304155
4-3,midnight,pv,48096,kW,198.885683959325,379.47244570886824,-8.265290878681117
4-3,midnight,price,48096,yuan/kWh,0.046318006975575025,0.061947789175901255,2.1122205309000837e-05
4-3,midnight,net,48096,kW,288.1253873671698,428.9431962141498,5.037730495639569
4-3,successive_nonoverlap_6h,load,48096,kW,139.60788155843318,184.08523698665627,-0.8941561751957067
4-3,successive_nonoverlap_6h,pv,48096,kW,91.24038741285842,171.73551060980412,4.371019132720028
4-3,successive_nonoverlap_6h,price,48096,yuan/kWh,0.045889097985803505,0.06132675029364407,-4.848653878922565e-05
4-3,successive_nonoverlap_6h,net,48096,kW,187.21210908110106,251.80106564114342,-5.265175307915737
