day,date,total_cost,planned_cost,emergency_cost,emergency_kwh,initial_soc,final_soc,mip_gap,mip_seconds,refinement_seconds
0,2025-01-01,260055.66542425295,36030.255059231036,224025.41036502193,35572.535424999995,6000.0,1200.0,0.0,0.030701000010594726,0.04239816695917398
1,2025-01-02,109209.82959897845,109179.90223990347,29.927359075000144,12.33355000000006,1200.0,1401.536259493789,0.00042490767021479813,0.01415433397050947,0.09764708403963596
2,2025-01-03,84948.33527216106,84948.33527216106,0.0,0.0,1401.536259493789,8638.126061091327,0.0006899085912896962,0.2731888750568032,0.08135912497527897
3,2025-01-04,44296.27649944261,43986.83058157594,309.44591786666723,118.9187999999998,8638.126061091327,2299.1558445367987,0.001207655046984991,0.9338103330228478,0.22339866601396352
4,2025-01-05,131962.8178581586,61867.097811518404,70095.7200466402,11660.557111666698,2299.1558445367987,1200.0,0.001927188643810896,4.6782169580692425,0.30096124997362494
5,2025-01-06,119066.76033704159,119066.7603370416,0.0,0.0,1200.0,8309.539336109265,0.00029305640012037995,0.9338380000554025,0.35977708303835243
6,2025-01-07,111545.67067326725,111545.67067326725,0.0,0.0,8309.539336109265,7851.156086367534,6.431530297462054e-05,0.6616057499777526,1.8166308329673484
7,2025-01-08,109256.86297089883,109158.00547287683,98.85749802199243,41.34414034474844,7851.156086367534,6537.364103704401,0.0005077963836399177,0.906296500004828,2.3607638750690967
8,2025-01-09,105055.1986687138,105055.1986687138,0.0,0.0,6537.364103704401,2092.9419646075526,0.0018276080737337332,0.3089064999949187,0.31145908404141665
9,2025-01-10,49320.221649878265,49320.221649878265,0.0,0.0,2092.9419646075526,7528.145444743539,0.0007071857779162208,1.1132898749783635,1.980277125025168
10,2025-01-11,46396.711827393774,46391.47917117315,5.232656220621593,3.347828676021493,7528.145444743539,7034.995331371764,0.00110433877071916,1.8267526660347357,1.9789398330030963
11,2025-01-12,98330.02084463605,98291.96287786981,38.057966766241115,16.99016373492907,7034.995331371764,5610.646842077163,0.0006449935702777941,1.0732072910759598,2.1405658340081573
12,2025-01-13,93801.90151409045,93722.62715727702,79.27435681343724,21.080447111785134,5610.646842077163,7778.70718781454,0.0005833201296605404,2.1431732500204816,2.10583058395423
13,2025-01-14,85035.60843467516,84752.40572064059,283.2027140345883,96.94951211025435,7778.70718781454,5270.0238943532595,0.0019870252738365965,0.38112637493759394,2.077043875004165
14,2025-01-15,80155.22709286965,79964.84357472275,190.38351814689986,31.709446726665533,5270.0238943532595,4012.136833057461,0.000503672555029111,1.6802814170951024,2.2872615000233054
15,2025-01-16,77361.0340109458,76725.23824940796,635.7957615378382,97.26724520896096,4012.136833057461,5421.428095529209,0.0005252359952468375,1.8419355840887874,2.389810457942076
16,2025-01-17,33052.102046874,32980.986826379,71.11522049501396,23.3061471259295,5421.428095529209,10252.877386386528,0.0006404335937722341,1.3288472079439089,2.165769958985038
