day,date,total_cost,planned_cost,emergency_cost,initial_soc,final_soc
31,2025-02-01,21224.875869580763,21224.875869580766,0.0,1390.382746315672,6828.799842011026
32,2025-02-02,65027.153362685574,53535.10059794219,11492.052764743385,6828.799842011026,3842.735982956454
33,2025-02-03,58895.334565381185,58895.334565381185,0.0,3842.735982956454,2796.1905961717775
34,2025-02-04,61408.88290548322,59778.003756125414,1630.8791493578094,2796.1905961717775,2746.447506508465
35,2025-02-05,60643.36155465193,59158.72729704053,1484.6342576113852,2746.447506508465,2411.1823343373126
36,2025-02-06,61476.25016761125,61389.276163715374,86.97400389587683,2411.1823343373126,2916.2877957941814
37,2025-02-07,18528.81328238469,18478.750584962654,50.06269742203604,2916.2877957941814,6427.932822742226
38,2025-02-08,15700.420340403083,14982.054317192864,718.3660232102195,6427.932822742226,5856.835099897582
39,2025-02-09,58003.32220335472,57402.169241522424,601.1529618322959,5856.835099897582,4406.036693900141
40,2025-02-10,56828.184669389564,56809.924692762506,18.25997662704875,4406.036693900141,3350.3434720158584
41,2025-02-11,55844.014087750606,55844.01408775061,0.0,3350.3434720158584,2955.3889270597997
42,2025-02-12,55949.833031220034,55943.92333691189,5.909694308147812,2955.3889270597997,3043.815011482662
43,2025-02-13,54513.24157546925,54507.67521576185,5.566359707394987,3043.815011482662,3248.509533197807
44,2025-02-14,15473.351152688414,15473.351152688414,0.0,3248.509533197807,5905.093124534153
45,2025-02-15,14956.69519732122,14956.69519732122,0.0,5905.093124534153,5739.212961798604
46,2025-02-16,53382.78125795294,53209.35825168135,173.42300627159722,5739.212961798604,4970.76726160466
47,2025-02-17,52596.60902821101,52596.609028211016,0.0,4970.76726160466,3243.0739409935964
48,2025-02-18,51094.53967963823,50960.94946545891,133.590214179321,3243.0739409935964,2978.8808987385146
49,2025-02-19,52689.37409886907,51206.332298553665,1483.041800315403,2978.8808987385146,2429.0986345236643
50,2025-02-20,51968.23098874317,51709.036527417025,259.19446132614564,2429.0986345236643,2695.557380476679
51,2025-02-21,16132.055201613286,16132.055201613284,0.0,2695.557380476679,6356.762653783138
52,2025-02-22,14531.047269659115,14531.047269659117,0.0,6356.762653783138,6200.059467946196
53,2025-02-23,49306.35398638836,49210.07485709555,96.27912929281744,6200.059467946196,2236.842834646537
54,2025-02-24,49932.5283157967,49932.5283157967,0.0,2236.842834646537,2363.705412000664
55,2025-02-25,48234.8349074641,48169.454215560094,65.38069190400994,2363.705412000664,2688.5913848466694
56,2025-02-26,48260.30113430549,48260.30113430549,0.0,2688.5913848466694,2597.534911382802
57,2025-02-27,48080.121979761476,46193.4356153541,1886.686364407372,2597.534911382802,2047.3247834727035
58,2025-02-28,15081.830147707678,15081.83014770768,0.0,2047.3247834727035,6265.521228250326
59,2025-03-01,13376.175626858694,12952.684323779375,423.4913030793199,6265.521228250326,5632.340229104655
60,2025-03-02,68933.21007814303,44777.35472930637,24155.855348836663,5632.340229104655,2182.259945561856
61,2025-03-03,62557.958283145934,46739.43931460816,15818.518968537777,2182.259945561856,1759.506700490156
62,2025-03-04,48854.68444929915,48854.68444929915,0.0,1759.506700490156,2306.8913250023666
63,2025-03-05,47669.51583718063,47280.839744297715,388.6760928829161,2306.8913250023666,2606.5732434158112
64,2025-03-06,45453.60597799401,45098.2808713384,355.3251066556006,2606.5732434158112,2068.065556195858
65,2025-03-07,14610.987225410883,14610.987225410885,0.0,2068.065556195858,6475.4789545597005
66,2025-03-08,12505.343422256192,12253.07375688275,252.26966537344148,6475.4789545597005,6113.462056381582
67,2025-03-09,43333.523761412216,43208.49415628817,125.02960512404754,6113.462056381582,4802.3394640889455
68,2025-03-10,55222.31739297287,43175.71230946771,12046.60508350516,4802.3394640889455,2149.992339056694
69,2025-03-11,45421.9016102154,45282.19086507698,139.71074513841765,2149.992339056694,2086.3555767490075
70,2025-03-12,43627.20121254984,43581.554803207415,45.64640934242095,2086.3555767490075,2055.3037855174025
71,2025-03-13,52706.59178218944,43561.8339014161,9144.757880773332,2055.3037855174025,1636.9851634668414
72,2025-03-14,13666.68689356113,13666.686893561131,0.0,1636.9851634668414,6525.881673239521
73,2025-03-15,12514.39497296471,12483.189401477073,31.20557148763738,6525.881673239521,5994.587664837335
74,2025-03-16,41651.229939318386,41372.49758369672,278.7323556216579,5994.587664837335,2326.859880129264
75,2025-03-17,43072.82853751975,43072.82853751976,0.0,2326.859880129264,2476.9935868833404
76,2025-03-18,44344.78689521133,41826.16725508106,2518.619640130265,2476.9935868833404,3008.190662802843
77,2025-03-19,40448.544662158296,40448.544662158296,0.0,3008.190662802843,2752.980293694153
78,2025-03-20,41523.77124230841,41364.39412576989,159.37711653852097,2752.980293694153,1902.2945764942076
79,2025-03-21,13380.298284363278,13380.298284363278,0.0,1902.2945764942076,6285.19681123579
80,2025-03-22,12008.117583298135,11976.932204833949,31.185378464188936,6285.19681123579,6373.928896412258
81,2025-03-23,38567.7908803802,38480.17575600253,87.61512437767743,6373.928896412258,2702.198533175367
82,2025-03-24,40241.3085955018,39529.76720728674,711.5413882150575,2702.198533175367,2467.395988851513
83,2025-03-25,40738.503707661905,39851.02245665288,887.4812510090228,2467.395988851513,2227.0996974521904
84,2025-03-26,39645.165591470985,39645.165591470985,0.0,2227.0996974521904,2497.3039123370518
85,2025-03-27,39485.854433197106,39406.064534234574,79.78989896253651,2497.3039123370518,2843.5046498971237
86,2025-03-28,13125.739385046214,13125.739385046214,0.0,2843.5046498971237,6492.80765216937
87,2025-03-29,11242.998758628197,11238.152074290128,4.846684338067383,6492.80765216937,5748.198411568234
88,2025-03-30,37170.3254778394,37131.01048941673,39.31498842266377,5748.198411568234,2575.016074181195
89,2025-03-31,37966.32802569227,37833.17727732357,133.150748368701,2575.016074181195,2408.822179970366
90,2025-04-01,52662.019438616815,37141.63725135302,15520.382187263793,2408.822179970366,2052.2349827005946
91,2025-04-02,45506.75200636337,37859.42374971799,7647.328256645371,2052.2349827005946,1962.472758434423
92,2025-04-03,39734.394970660636,39734.394970660636,0.0,1962.472758434423,2000.4284306807533
93,2025-04-04,12056.713255460942,12056.713255460942,0.0,2000.4284306807533,6218.989377438153
94,2025-04-05,20245.571288707608,10978.996511520043,9266.574777187565,6218.989377438153,5688.380666341534
95,2025-04-06,36316.78576964467,36241.243027913864,75.54274173082146,5688.380666341534,2012.3301857007277
