day,date,scenario,planned_cost,up_cost,down_refund,emergency_cost,total_cost,planned_kwh,final_regular_kwh,up_kwh,down_kwh,emergency_kwh,initial_soc,final_soc,seconds
0,2025-01-01,4-3,52728.51142891323,24735.982867049624,0.0,22938.63306104654,100403.12735700939,70978.41938526226,86400.9675467587,15422.548161496436,0.0,3546.668021984133,6000.0,1565.0827921772093,0.03586399997584522
1,2025-01-02,4-3,91837.02155988246,0.0,-6359.696238084652,2668.122599624474,88145.44792142224,115109.37778582831,101961.2809188089,0.0,13148.096867019414,497.0590757901982,1565.0827921772093,1636.6727011897651,0.02859520900528878
2,2025-01-03,4-3,55556.087484260315,3713.8460375655995,-5404.525286208214,0.0,53865.40823561771,95633.26586220907,83709.12488444884,2546.8852251166277,14471.026202876845,0.0,1636.6727011897651,4548.327675442744,0.053012916003353894
3,2025-01-04,4-3,18800.68579119947,7314.096445850819,-131.43661885225708,2906.796939742288,28890.142557940326,41244.93149595393,46526.61050765125,5685.477476109027,403.79846441171895,677.895224396491,4548.327675442744,1200.0,0.08047799998894334
4,2025-01-05,4-3,27242.644618014754,61612.154571360385,0.0,62844.53397672444,151699.33316609956,45361.471950203995,82913.01988852042,37551.547938316435,0.0,10153.64735115257,1200.0,1284.1148920733324,0.1144129999447614
5,2025-01-06,4-3,72209.7034618154,10486.605186414905,-351.34153817888625,0.0,82344.96711005141,96448.39028509986,101043.9251847386,5598.398567839051,1002.8636682003066,0.0,1284.1148920733324,2768.0686738661,0.14057529193814844
6,2025-01-07,4-3,68687.18344232673,11690.03854994472,0.0,0.0,80377.2219922714,91539.38997694923,98410.16132775295,6870.771350803738,0.0,0.0,2768.0686738661,2175.7335471104225,0.17578641697764397
7,2025-01-08,4-3,76056.76865603778,1337.9324572697337,-1761.6096989475056,0.0,75633.09141436001,99589.06258786391,96744.3573523856,837.1991358645973,3681.904371342894,0.0,2175.7335471104225,3333.753349218055,0.23176229104865342
8,2025-01-09,4-3,68242.1819477952,6567.1696132839725,0.0,188.05485189461055,74997.40641297377,91425.90313063824,95798.72854165023,4372.825411012,0.0,25.383660915787345,3333.753349218055,3402.9904997594904,0.21797250001691282
9,2025-01-10,4-3,23047.404208405147,68.11692370926262,-647.425782757633,0.0,22468.095349356787,49582.76091292033,47375.50288750479,145.0032092093104,2352.2612346248548,0.0,3402.9904997594904,1520.2505213736365,0.2026288330089301
10,2025-01-11,4-3,20777.50022641977,3605.423941748092,0.0,0.0,24382.92416816786,45561.52476939904,48489.857466099245,2928.332696700206,0.0,0.0,1520.2505213736365,2324.6686214538317,0.21470449992921203
11,2025-01-12,4-3,72039.4102273517,4702.632911102096,-1326.2715299409006,0.0,75415.77160851294,94026.46519930611,93705.05071792749,2573.765789920209,2895.1802712988388,0.0,2324.6686214538317,1610.5420360447397,0.2405385000165552
12,2025-01-13,4-3,68010.93923262465,2512.2722191665175,-111.90069225571683,0.0,70411.31075953545,90799.04289520794,92162.22045216856,1623.5713364244532,260.39377946382433,0.0,1610.5420360447397,1323.930957303249,0.24468812497798353
13,2025-01-14,4-3,69944.66185717139,1033.248543035153,0.0,1344.7675944491016,72322.67799465562,94760.68553674719,95348.35379782142,587.6682610742218,0.0,194.57533362559923,1323.930957303249,2025.5344468317637,0.20572187495417893
14,2025-01-15,4-3,66872.35990095769,9023.948923118638,-195.1515229700297,0.0,75701.15730110629,90384.25175194337,95151.4454731089,5265.722637663798,498.52891649827643,0.0,2025.5344468317637,2660.0896884837557,0.21398979192599654
15,2025-01-16,4-3,61106.05973758846,13084.960691418391,0.0,158.90317302230494,74349.92360202916,83335.15114778669,91093.01528027625,7757.864132489565,0.0,22.459812441315187,2660.0896884837557,1533.5305101858403,0.21121662494260818
16,2025-01-17,4-3,18823.602131038122,1987.7908349094791,-18.160439899436415,1193.911520175803,21987.144046223963,42008.78000768811,44539.873580891755,2577.0606224862877,45.96704928263546,276.95372327857234,1533.5305101858403,1207.4285011810389,0.226939040934667
17,2025-01-18,4-3,22090.438221323937,1212.0502691398176,-511.519426522013,0.0,22790.96906394174,48239.223833436445,47231.894410680005,895.2037799493717,1902.533202705809,0.0,1207.4285011810389,1580.6860730271305,0.22312774998135865
18,2025-01-19,4-3,62749.49528063172,9016.564933739162,0.0,1239.5608224369016,73005.62103680779,85441.807127421,91575.56782603756,6133.760698616568,0.0,210.3146524641958,1580.6860730271305,1496.7508881781807,0.22481833293568343
19,2025-01-20,4-3,65756.30201927078,3577.571060381216,0.0,692.4716852932067,70026.34476494521,88926.63207977943,91255.94909061067,2329.3170108312243,0.0,99.43946637736045,1496.7508881781807,1923.1156818415502,0.23440912505611777
20,2025-01-21,4-3,64601.87030010206,559.1948459158218,-463.9956114560442,0.0,64697.06953456183,89173.83476757983,88145.04314058762,337.5769515765538,1366.3685785687637,0.0,1923.1156818415502,2192.202119923607,0.23217141698114574
21,2025-01-22,4-3,67608.72506080827,1380.8707125384929,-56.20404434176186,0.0,68933.39172900499,90954.64236509717,91648.01514518671,831.4438812438809,138.07110115433775,0.0,2192.202119923607,1521.1488431072983,0.2567360830726102
22,2025-01-23,4-3,64674.28952380333,8593.700639018018,0.0,0.0,73267.99016282136,87215.51771876372,92576.60554571924,5361.087826955528,0.0,0.0,1521.1488431072983,1791.4268840356597,0.2407301670173183
23,2025-01-24,4-3,18140.53913151803,1065.1144780077339,0.0,0.0,19205.65360952577,40482.47614061805,42005.119880023776,1522.64373940573,0.0,0.0,1791.4268840356597,1710.071805193106,0.2286920000333339
24,2025-01-25,4-3,17922.406955128485,761.2551589606936,0.0,164.9981223758983,18848.660236465068,40958.93696417495,41973.03137051631,1014.0944063413563,0.0,51.49754131582344,1710.071805193106,1711.116111488151,0.22114450007211417
25,2025-01-26,4-3,70263.973012997,2120.3958833364673,-590.5373349276495,0.0,71793.8315614058,94312.46772553065,94004.63802532111,1180.8951554513785,1488.7248556609122,0.0,1711.116111488151,1995.6494213907508,0.2519633329939097
26,2025-01-27,4-3,59072.30150194114,10051.558586275352,-227.68011046255862,0.0,68896.1799777539,83259.09617849771,88779.51623628674,6126.630513663462,606.21045587444,0.0,1995.6494213907508,3133.774147000499,0.2367302499478683
27,2025-01-28,4-3,63896.66752955797,2633.2793422682043,-76.09972185875479,160.72698748443406,66614.57413745185,87917.94880544732,89254.78195095538,1533.3009574863133,196.46781197825646,22.598134233629708,3133.774147000499,1499.3761951393653,0.2457799999974668
28,2025-01-29,4-3,58989.23084994538,7474.975612520632,-632.0383014691901,0.0,65832.1681609968,84508.24392189359,87155.86818900745,4584.755877531222,1937.1316104173604,0.0,1499.3761951393653,3262.541127960478,0.22589470795355737
29,2025-01-30,4-3,59336.56341528233,4489.4256162299935,0.0,1080.8626571857624,64906.8516886981,82127.07038683529,85639.94689609084,3512.876509255562,0.0,162.07920794420193,3262.541127960478,1390.1532967191129,0.262669250019826
30,2025-01-31,4-3,17232.645121816717,2226.4147297991835,0.0,0.0,19459.059851615908,39504.6729241118,41702.25234339439,2197.5794192825942,0.0,0.0,1390.1532967191129,1790.8118674455059,0.2190767499851063
31,2025-02-01,4-3,17112.121123302306,0.0,-195.6190947436749,0.0,16916.502028558636,40283.67426011201,39718.3061132601,0.0,565.3681468519161,0.0,1790.8118674455059,2255.8097728088223,0.23453412496019155
32,2025-02-02,4-3,48966.05714557588,8372.310159375189,-10.72011016143942,7343.0683077021595,64670.71550249181,73020.36878642268,78430.73340574231,5445.773102805072,35.408483485446254,1351.2531924760979,2255.8097728088223,1200.0,0.23689729196485132
33,2025-02-03,4-3,61250.39853125903,0.0,-694.774621749932,0.0,60555.62390950909,86780.57297941495,85135.48158172067,0.0,1645.091397694292,0.0,1200.0,2110.5589837571342,0.2810370830120519
34,2025-02-04,4-3,62392.810637475915,1056.9093345317087,-2045.7381241836113,317.32922453714076,61721.31107236115,87509.21822382814,83344.09461180159,614.0660280553865,4779.189640081937,142.59328281832816,2110.5589837571342,1260.8526691646107,0.26765379100106657
35,2025-02-05,4-3,52920.48572816921,8892.674746998939,0.0,1208.754342669548,63021.914817837715,76564.81849109184,83443.84137516512,6879.02288407329,0.0,241.08986311419238,1260.8526691646107,1551.0620983636043,0.2548901659902185
36,2025-02-06,4-3,60281.63343979099,748.1348313153593,-1370.7018018962763,544.6460172531088,60203.71248646317,85680.00987191783,82839.33779211198,434.4517692954336,3275.1238491012855,93.25614657562167,1551.0620983636043,1518.0013054847368,0.2430037499871105
37,2025-02-07,4-3,16196.105354451325,0.0,-280.96936360706917,70.89368743251208,15986.029678276767,38482.59274541648,37651.26148717941,0.0,831.3312582370766,16.735997977458,1518.0013054847368,1559.232151906851,0.24011399992741644
38,2025-02-08,4-3,12792.524678290725,3460.5245916492095,0.0,152.33790766630187,16405.387177606237,32387.67978826314,35329.62872734712,2941.9489390839753,0.0,31.53288070729797,1559.232151906851,1426.2285168765359,0.22692883294075727
39,2025-02-09,4-3,55524.06367794165,3823.34148476083,0.0,26.786971296117766,59374.1921339986,79929.40083047241,82897.01371048867,2967.6128800162583,0.0,5.223673475109166,1426.2285168765359,1272.2316746231172,0.2701286250958219
40,2025-02-10,4-3,50701.07276776214,3708.5428983215315,-604.2969704154176,0.0,53805.31869566823,75855.30681050898,77113.8724706691,3115.3579248013693,1856.7922646412535,0.0,1272.2316746231172,1256.8774350770047,0.29572266596369445
41,2025-02-11,4-3,51311.32343807904,1585.2191047063236,-3.3068327490451237,4333.369128720143,57226.604838756444,76221.20099554028,77323.58153839916,1110.8574276295685,8.47688477068732,789.1490052490484,1256.8774350770047,1546.6619335426672,0.25165504205506295
42,2025-02-12,4-3,53633.69062045486,1139.5845100994725,-585.0364972922017,0.0,54188.23863326211,78727.32456615526,78309.70290581766,799.0314068417023,1216.6530671793128,0.0,1546.6619335426672,1774.5871754772616,0.28523937496356666
43,2025-02-13,4-3,46706.433533631556,3775.3936194194407,-44.929651940098864,726.5435679036194,51163.4410690145,71050.03357850562,73674.22902446504,2791.7791149095597,167.58366895014865,125.45797674920854,1774.5871754772616,1271.124859806574,0.25236504105851054
44,2025-02-14,4-3,13672.995399948948,1873.8175683613358,0.0,0.0,15546.812968310282,34370.99038018257,35923.06949114296,1552.0791109603913,0.0,0.0,1271.124859806574,1955.14073073566,0.22839033289346844
45,2025-02-15,4-3,14325.261249354831,790.3521984425336,-38.51152081984363,0.0,15077.101926977524,33731.4964016792,34395.11749616667,781.8587085819388,118.23761409447549,0.0,1955.14073073566,1298.978727175085,0.2292949160328135
46,2025-02-16,4-3,51975.43778755312,1512.0469317533668,-224.7029668761284,1933.5838967341099,55196.365649164465,77258.90070783431,77633.63517131156,871.9093452876826,497.1748818104455,372.49971473996914,1298.978727175085,1434.6425795434984,0.2820297080324963
47,2025-02-17,4-3,52372.632631167624,1951.527746467946,-1745.0942744860768,0.0,52579.0661031495,78717.34537780305,74683.08367857043,1208.767171688888,5243.028870921513,0.0,1434.6425795434984,1877.1425502996626,0.2788244999246672
48,2025-02-18,4-3,43761.070988492145,8965.285172918942,0.0,0.0,52726.35616141111,67198.76246218762,74257.71626126516,7058.953799077541,0.0,0.0,1877.1425502996626,1589.4136285566726,0.25782441592309624
49,2025-02-19,4-3,45270.43361798861,6310.166375716843,0.0,3184.1209152538186,54764.7209089593,69069.51532869037,74483.47751015742,5413.962181467052,0.0,714.018735944952,1589.4136285566726,1200.0,0.27072612510528415
50,2025-02-20,4-3,48608.780649227156,1421.8746597311392,-48.87189926463773,20.338056123526883,50002.1214658172,73786.84639297152,74477.01615548223,861.700807524832,171.53104501413077,3.6249988634750707,1200.0,1513.4680279013128,0.25887979206163436
51,2025-02-21,4-3,13637.412399155632,1811.1475486031388,0.0,0.0,15448.559947758775,33555.726649867574,34931.59930086519,1375.8726509976198,0.0,0.0,1513.4680279013128,2024.2191828173875,0.21750966599211097
52,2025-02-22,4-3,13342.337929203939,1900.2600526069425,0.0,0.0,15242.597981810883,31941.56034009966,33415.02886116936,1473.468521069704,0.0,0.0,2024.2191828173875,1806.0108786758894,0.24305720801930875
53,2025-02-23,4-3,45126.42981034253,5011.415243235742,0.0,778.3320043759419,50916.177057954206,69194.49746325376,73151.91782712634,3957.4203638725794,0.0,224.53226651750697,1806.0108786758894,1200.0,0.2583954589208588
54,2025-02-24,4-3,47192.73898509093,989.4151759608487,-0.05795128115026928,0.0,48182.09620977065,71055.61460016629,72074.92560687999,1019.4643981407776,0.1533914270785317,0.0,1200.0,1618.6214784243657,0.2922945839818567
55,2025-02-25,4-3,45116.79382677738,599.9119122912425,-518.6016634382263,563.6853717549802,45761.78944738538,70018.49581370034,68375.4069906873,317.78900331170973,1960.877826324737,159.31845260890685,1618.6214784243657,1261.4133486196124,0.2500363748986274
56,2025-02-26,4-3,41437.89583558184,9788.27662226877,0.0,0.0,51226.17245785059,64128.701288104035,72695.01131977738,8566.310031673336,0.0,0.0,1261.4133486196124,2066.2917671763853,0.2556294579990208
57,2025-02-27,4-3,41141.784448157,5233.652342757919,0.0,554.8175998129058,46930.25439072784,64616.27952516826,68657.61593761065,4041.336412442385,0.0,110.36928749623075,2066.2917671763853,1353.2396269409298,0.2454076249850914
58,2025-02-28,4-3,13223.14840849454,553.5631384880078,0.0,0.0,13776.711546982544,32510.85020743662,33019.375081016085,508.52487357947234,0.0,0.0,1353.2396269409298,1561.198636685967,0.23698170797433704
59,2025-03-01,4-3,12925.423501431213,508.89329129887113,-6.878136433470256,224.05090533934418,13651.489561635955,31987.294618488657,32455.36289357317,490.2968663644557,22.22859127994393,58.98114045556315,1561.198636685967,1200.0,0.2332472080597654
60,2025-03-02,4-3,45902.38059484027,7027.155738135223,-282.34100253069226,0.0,52647.19533044478,70988.72902466681,75441.40743763302,5231.478421772843,778.8000088066282,0.0,1200.0,1546.1270513747832,0.26640279206912965
61,2025-03-03,4-3,46309.60762193138,4457.250525918295,-124.23303824621368,1043.3949354262518,51686.02004502973,71585.51364669763,74143.83402506413,2962.24089893015,403.9205205636216,285.087757449619,1546.1270513747832,1200.0,0.2652643339242786
62,2025-03-04,4-3,41887.7896563108,7714.436104117301,0.0,12.31665108070646,49614.542411508795,65095.58605856563,71673.78605934815,6578.200000782512,0.0,6.183488152838418,1200.0,1200.0,0.24708720901980996
63,2025-03-05,4-3,45080.08180044476,2399.501503056467,-1425.7927453632824,70.9545848888734,46124.74514302683,71072.35954812182,68553.28015617991,1296.7842492466934,3815.8636411885927,30.69633782776266,1200.0,1200.0,0.2876612499821931
64,2025-03-06,4-3,39605.41632759268,6543.118777820065,0.0,0.0,46148.53510541274,62886.78802130892,68435.65122578418,5548.863204475276,0.0,0.0,1200.0,1351.7914983784121,0.2666957500623539
65,2025-03-07,4-3,12740.580534762597,256.32971273243425,-54.57873158547407,0.0,12942.331515909558,31398.055806552075,31451.902793408564,223.52773540694426,169.68074855045614,0.0,1351.7914983784121,1781.872022787648,0.2216813750565052
66,2025-03-08,4-3,11193.502448088939,1429.3895852705948,0.0,409.13719574394054,13032.029229103475,28029.585213063227,29470.651169361427,1441.0659562981987,0.0,117.24094192149583,1781.872022787648,1212.3487444843618,0.22542437491938472
67,2025-03-09,4-3,42825.32553584843,1208.1820136444155,-996.9734321729737,110.72881042629723,43147.26292774618,69068.6977425534,66668.25290759129,952.8861644911783,3353.3309994532888,21.827957621847712,1212.3487444843618,1415.5096605225342,0.2683663750067353
68,2025-03-10,4-3,41562.03178001415,6666.417020167497,0.0,0.0,48228.44880018165,65287.48905487667,70681.32825890201,5393.839204025343,0.0,0.0,1415.5096605225342,1457.1898962577177,0.2496071670902893
69,2025-03-11,4-3,36642.31509141663,9078.34304622589,0.0,0.0,45720.658137642546,57696.99254129732,67300.61234097702,9603.619799679702,0.0,0.0,1457.1898962577177,1781.3125479153912,0.2517963749123737
70,2025-03-12,4-3,40873.725206189934,873.6452247480516,-211.2550474717977,0.0,41536.11538346618,65025.19275743335,65133.965088200544,751.5360137751261,642.7636830079446,0.0,1781.3125479153912,1555.9979236885547,0.2680133340181783
71,2025-03-13,4-3,40745.65889534507,6436.124510072954,0.0,0.0,47181.78340541804,64315.45911225669,70602.25947105011,6286.800358793416,0.0,0.0,1555.9979236885547,1409.8056315716233,0.250369832967408
72,2025-03-14,4-3,11717.44355742941,833.8653005341819,0.0,0.0,12551.308857963593,29589.22660338811,30373.20994958377,783.9833461956591,0.0,0.0,1409.8056315716233,2044.290136440247,0.21988645906094462
73,2025-03-15,4-3,11558.629402705066,555.8329047002456,0.0,134.55981670294935,12249.022124108265,29134.33845941107,29814.904910906564,680.5664514954929,0.0,36.3575877179681,2044.290136440247,1216.4615607117544,0.2457601249916479
74,2025-03-16,4-3,38942.265963775266,4039.0885936371506,0.0,8.081099999999934,42989.43565741241,62082.6236869171,66657.37815097661,4574.754464059523,0.0,1.6399999999999864,1216.4615607117544,1757.5217462550613,0.2537949160905555
