date,start_hour,end_hour,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh
2025-03-20,0,4,7383.997446824078,310.98326511089317,1947.9534471359686,8625.223353803474
2025-03-20,4,8,2543.51545724787,6656.029822262949,8625.223353803474,4022.1425156423015
2025-03-20,8,12,2464.969939787544,2677.319469308112,4022.1425156423015,3538.475812073023
2025-03-20,12,16,6123.812142917084,254.7227833333333,3538.475812073023,9079.532723367089
2025-03-20,16,20,549.2050465124199,6628.098956126784,9079.532723367089,2613.924625416782
2025-03-20,20,24,313.22537772617915,1410.7145740095593,2613.924625416782,1424.0525823697103
2025-06-21,0,4,901.4644907014958,2485.0043089295555,3317.7840112252957,1553.5637801560538
2025-06-21,4,8,1613.5322776751798,1485.095902937313,1553.5637801560538,1518.8663704964824
2025-06-21,8,12,9783.173845872147,0.0,1518.8663704964824,10800.0
2025-06-21,12,16,0.0,0.0,10800.0,10800.0
2025-06-21,16,20,25.87264024764356,6420.290087473377,10800.0,4056.9649698735593
2025-06-21,20,24,2751.3905602544937,4539.558597672574,4056.9649698735593,1882.048327319084
2025-09-23,0,4,9446.831740259846,6.294731772328191,1731.7495176064565,10687.165779197647
2025-09-23,4,8,793.1483261431465,7126.943602381516,10687.165779197647,3927.1541693893646
2025-09-23,8,12,4906.25077539385,1896.6157166666667,3927.1541693893646,6582.423832473146
2025-09-23,12,16,4744.637839611791,443.0756111290956,6582.423832473146,10616.53980393166
2025-09-23,16,20,0.0,6359.8539895446775,10616.53980393166,3912.6650729083685
2025-09-23,20,24,1186.5005858012942,2706.0787485048977,3912.6650729083685,2185.820904100726
2025-12-21,0,4,10107.050688796164,150.74017001179618,1210.4470017106505,10639.943092015414
2025-12-21,4,8,1792.0682646999503,2520.6359850033787,10639.943092015414,9683.064702105054
2025-12-21,8,12,4308.28387653394,7911.519909566046,9683.064702105054,5430.787436367104
2025-12-21,12,16,9238.448879583828,3404.258831385206,5430.787436367104,10606.745704348315
2025-12-21,16,20,228.16585814864604,6181.96285014057,10606.745704348315,4306.841837495844
2025-12-21,20,24,1139.8273987357834,3708.629371628367,4306.841837495844,1478.938449421952
