date,interval,original_kwh,final_kwh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,447.57733449692194,500.65716941929344
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,642.1416860038856,642.1416860038856
2025-03-20,18:00-18:10,632.4041239214653,678.6307978017988
2025-03-20,20:00-20:10,114.68488634984169,719.6935454096448
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,96.93982756025457,96.93982756025457
2025-06-21,18:00-18:10,0.0,0.0
2025-06-21,20:00-20:10,0.0,0.0
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,294.97850704787004,294.97850704787004
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,524.6989687740505,524.6989687740505
2025-09-23,18:00-18:10,723.2164003050378,725.6931260321892
2025-09-23,20:00-20:10,0.36026749432107863,2.0019328224913124
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,977.8658070957001,942.1100163145013
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,865.8054891342452,1412.125850917268
2025-12-21,18:00-18:10,680.6722816137585,705.7613609363947
2025-12-21,20:00-20:10,0.0,0.0
