day,date,scenario,planned_cost,up_cost,down_cost,emergency_cost,total_cost,emergency_kwh,throughput_kwh,initial_soc,final_soc,seconds
31,2025-02-01,3,21161.26796983644,0.0,0.0,0.0,21161.26796983644,0.0,35420.57709043928,1507.622628752613,2462.180862779886,0.3032317499164492
32,2025-02-02,3,44220.72144630694,7747.768505342606,0.0,6808.671327088108,58777.16127873765,1318.2626413340151,40951.918756535946,2462.180862779886,1696.7095705482568,0.28406025003641844
33,2025-02-03,3,53990.04673344632,0.0,0.0,0.0,53990.04673344632,0.0,45217.70496304339,1696.7095705482568,2150.024845428461,0.25415649998467416
34,2025-02-04,3,55092.18071705496,372.63297002141235,0.0,0.0,55464.81368707638,0.0,45577.03798221775,2150.024845428461,1284.9449041812807,0.25424233404919505
35,2025-02-05,3,47183.875789152415,7085.934725440682,0.0,1463.552418056166,55733.36293264927,298.88997701538403,45438.43061396343,1284.9449041812807,1570.6620552298148,0.24968004098627716
36,2025-02-06,3,52924.18847947676,817.0338419214088,0.0,681.4521857644555,54422.67450716263,136.09489847083364,47127.48324875854,1570.6620552298148,1486.8594510041687,0.231220040936023
37,2025-02-07,3,19902.043988956342,0.0,0.0,0.0,19902.04398895634,0.0,36047.51640541229,1486.8594510041687,1844.2338633574584,0.23919908294919878
38,2025-02-08,3,15793.717625337657,3929.161988400218,0.0,198.60763196513102,19921.487245703007,36.787648953537534,32819.33442659381,1844.2338633574584,1744.5985115185144,0.24217083293478936
39,2025-02-09,3,49359.94811224056,3304.256718549649,0.0,56.26181659281105,52720.46664738302,11.727490334202383,45100.70246425805,1744.5985115185144,1351.1494666533397,0.22859387507196516
40,2025-02-10,3,46735.984915953435,1408.7308121217566,0.0,0.0,48144.715728075185,0.0,43981.12902707499,1351.1494666533397,1292.8457988291775,0.25588541699107736
41,2025-02-11,3,46964.19639677872,1692.1567840525267,0.0,4225.632704386587,52881.98588521784,793.100696086984,44795.336375341525,1292.8457988291775,1625.9357200963234,0.23795679106842726
42,2025-02-12,3,49073.67200361805,319.483814173282,0.0,56.41115922860529,49449.56697701994,12.880730500880304,43374.43021839736,1625.9357200963234,1845.1606396165791,0.244986959034577
43,2025-02-13,3,43229.47410249787,3196.4934971383605,0.0,686.360940943438,47112.32854057968,113.32511584055459,42781.54997120392,1845.1606396165791,1504.144792373859,0.23194387496914715
44,2025-02-14,3,16888.77035233309,2384.1385211640154,0.0,0.0,19272.90887349711,0.0,33741.296462490674,1504.144792373859,2277.020565424785,0.22238270891830325
45,2025-02-15,3,17223.62556030703,617.4020518121096,0.0,0.0,17841.027612119142,0.0,31572.090539558216,2277.020565424785,1523.6084205300392,0.2089556249557063
46,2025-02-16,3,47468.99998379693,981.3697902787059,0.0,1698.3059393050714,50148.67571338071,366.74563881391555,44078.94449231861,1523.6084205300392,1529.4509649027066,0.20337991695851088
47,2025-02-17,3,47815.274647894264,1711.3505751156913,0.0,0.0,49526.625223009956,0.0,39127.27372056054,1529.4509649027066,1871.0856240637095,0.21256004204042256
48,2025-02-18,3,41370.035411365025,7715.13951283284,0.0,0.0,49085.17492419787,0.0,40040.48336433731,1871.0856240637095,1643.4746740982112,0.24222512496635318
49,2025-02-19,3,42358.08455830393,5682.353545569317,0.0,3159.289386523248,51199.7274903965,650.657288058926,44594.393439643565,1643.4746740982112,1200.0,0.24033920909278095
50,2025-02-20,3,44849.13074565252,1286.3479451811932,0.0,16.97949467651723,46152.45818551023,3.6249988634750707,43304.953710921196,1200.0,1661.6770896572473,0.23035212489776313
51,2025-02-21,3,16529.98932258493,2298.595990838171,0.0,0.0,18828.5853134231,0.0,31848.68738608398,1661.6770896572473,2441.4589079630214,0.22246233304031193
52,2025-02-22,3,15917.781501393094,2175.781809904972,0.0,0.0,18093.56331129807,0.0,30535.028332805374,2441.4589079630214,1871.8206590108146,0.2298264999408275
53,2025-02-23,3,42103.555689461005,4142.051753078492,0.0,630.8406203915674,46876.448062931064,179.36926060419574,43099.66946171099,1871.8206590108146,1200.0,0.2322835000231862
54,2025-02-24,3,43952.088887328486,1004.1633328117268,0.0,0.0,44956.25222014022,0.0,40359.088970092154,1200.0,1773.541320115867,0.2430533750448376
55,2025-02-25,3,42636.09746500394,604.8159376700736,0.0,384.54357468647726,43625.45697736049,81.41675507779905,38935.54191568568,1773.541320115867,1252.706259271289,0.2175729590235278
56,2025-02-26,3,38950.8242815455,8651.9853127778,0.0,0.0,47602.809594323306,0.0,42461.885253799606,1252.706259271289,2195.174838707856,0.21457704110071063
