scenario,day,slot,matched,load_kw_sha256,pv_kw_sha256,price_sha256,errors_kwh_sha256,price_errors_sha256,representative_history_indices,representative_history_origins
3,31,0,True,2b12f3a8498f101bf42fb935a3bcbe2f766c4252906eb0b9d9f44b59bb0fd642,77aebb8e0bf69d558f047dcb4eeeb1b67d7b662feb520ca9711c20388de1e437,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,0933aebd10872886ac353631586f3500661ccbb34fd244d27b47aaea936794e7,21b8611d8eeba9f1876d3eb28af66757c3d70861b3bd21b61bde82c33b520fe1,"[0, 4, 9, 13, 18, 22, 27]","[432, 1008, 1728, 2304, 3024, 3600, 4320]"
3,31,36,True,748cb0b60704e57f43eba22569dc622580c0ccaf56473be92a0a0a3724040824,2fbb321cbcc164ffd8bb420ac3e06ac282f9ea92c195f1efbb823c9d8c8cb54a,db31a97b42b0cb1886c5019bcfb23ca87d8a0de96c01bd22ee8a6e6aae1090de,596da5aa0e6321cc5777b66950236d2223f82c943e693a6c959c79bd09fb2417,fa59311da526092083a01dfc0eb00fa7c7a2db1e7c15511bab2008db7a98aa95,"[0, 4, 9, 13, 18, 22, 27]","[468, 1044, 1764, 2340, 3060, 3636, 4356]"
3,31,72,True,0d1998801e631b3e9a506c96ada52ffaa8c3bcff1a11c18f08127111eb634b5a,e572a7e8563228a4145e3d4b4c925046e6583436235fd37260472bb17aef9aa7,ad72eee499086c7ce4fbc529c35e32618739ccb7b9c86bec691cee5d6757e342,1ae58bb450bd333cab6f4922b7d6b021ff5998aae58752b29ab642b6ff153f76,0ae12f559ad021852809b30fe1ac385a759b1ebbb16ca1c81db14adb9356aabc,"[0, 4, 9, 13, 18, 22, 27]","[504, 1080, 1800, 2376, 3096, 3672, 4392]"
3,31,108,True,338ffefda60d8e0db9714d887bed01b95ad0677b03a0b400a67e8427832d6346,2d5565fb483d8ea4525a7a9229677d1038ad34b6e22c8d5152e1d7f7b9817597,d471c344b846d8abcfcfc67d39ced73fee18e7397fad2a5e3628cd0970208ad3,ac8d586da69e1e9aa834e28c7e5640814346f40b3f1195f5d358661509e8d455,c40cf064e9d6aa46c6e1256023a9d06cb0343a43cd34ae2dbd529246b7d0eecb,"[0, 4, 9, 13, 18, 22, 27]","[540, 1116, 1836, 2412, 3132, 3708, 4428]"
3,32,0,True,290d5aff2656f6f914e7e103fe386ead0e5c63444d1878570e9b66fa88f22789,e1dab37af5d6893112c005784a2c0ba7ae4942aa2c4e2188775bab437aa87566,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,15930788d8e283c665bf59366c29260688bcd888530b0310e73b50e8ebac44f7,b9376073638570335ae2f70e86f3122833d1fc11ad22f68028e77690211d82b1,"[0, 4, 9, 13, 18, 22, 27]","[576, 1152, 1872, 2448, 3168, 3744, 4464]"
3,32,36,True,d8459a4bd85aae457f14d7cd61788fb74a8f4b9c73e7be8cfd18ef7dc5229efe,103ad9af8dc72208ad99fc22606c62a515fde4d89208bbccb22702157d3ce79e,db31a97b42b0cb1886c5019bcfb23ca87d8a0de96c01bd22ee8a6e6aae1090de,d517378a898a3730636ffe69c0702018e0709ec9e1847018a2a4d7e8838bb8da,cdec7bf591a0ecf1040dbb58d46de721c5fcb68ff48e25256a1385fccf8cf210,"[0, 4, 9, 13, 18, 22, 27]","[612, 1188, 1908, 2484, 3204, 3780, 4500]"
3,32,72,True,f4ac9c9211ba9acf34e6933a80d6d6cb8a78f8d56f4fd05e93192a109732b24c,80682da3a8a12b427cc1bd1482101b74eacb6fcdba7180cce1b9e481c567f71e,ad72eee499086c7ce4fbc529c35e32618739ccb7b9c86bec691cee5d6757e342,b476938a22cff772dced00d76a70b981bac65f794825a9c4172cfff97092ff17,815b20f7631daab1c6c2d5cc0f707e2f139dc7cf7a71603b5b1f670c84f5d69f,"[0, 4, 9, 13, 18, 22, 27]","[648, 1224, 1944, 2520, 3240, 3816, 4536]"
3,32,108,True,5591783a9f249e8c7c1e861c486703d0d6d35f9ad2213343bb159e160b4aca00,2d5565fb483d8ea4525a7a9229677d1038ad34b6e22c8d5152e1d7f7b9817597,d471c344b846d8abcfcfc67d39ced73fee18e7397fad2a5e3628cd0970208ad3,d5d9a62328e981f079300cdad0d773405ad4cb44b75051dbb31e3c8f1b9c48ca,cf4b1d4f7f6d5179fdb4f8e1d59c627c9b5e8c7fdaddf4ac5553326519211c6d,"[0, 4, 9, 13, 18, 22, 27]","[684, 1260, 1980, 2556, 3276, 3852, 4572]"
3,33,0,True,48433a3137b5e4f590b8ba75d38ed1e1a46d86bec9f2a35d528708b7c8120f48,7c2bebbe896b8d080d8f6c7bcb27aaeea4bc6ddc2f7b37e36fc1a6dd2fe2ad0a,bc833f72404c9ab5b10d56d7a47c66ab23f2c19d86a15f00ecb53e5dffd678b6,c205acd5c91115a9b5fe506ec8c762afceaa75b1fea7c28762a44a2a14fbd97e,46753e71a2dc060635584bb2887de727caf78026556618596162ab2333d3c76a,"[0, 4, 9, 13, 18, 22, 27]","[720, 1296, 2016, 2592, 3312, 3888, 4608]"
3,33,36,True,26d32c999b55e8f13d947dfd7221d8c2bda8f704a7eabe561934f17f9f86024b,c88f437d24ad6c027ad58c1c001db909b9ec750735813770cc7bf971a0aafc9b,db31a97b42b0cb1886c5019bcfb23ca87d8a0de96c01bd22ee8a6e6aae1090de,9086704ac1465b1d6dbb35cac02c7b4d7fe95cceaabb9c83e5c99ad7410d7b53,efa05b5fcdd2d88eff11d16b95be24691b14075241eb405b17a99ccd194c0bb3,"[0, 4, 9, 13, 18, 22, 27]","[756, 1332, 2052, 2628, 3348, 3924, 4644]"
