day,date,scenario,planned_cost,up_cost,down_cost,emergency_cost,total_cost,emergency_kwh,throughput_kwh,initial_soc,final_soc,seconds
31,2025-02-01,4-3,17284.99022676778,0.0,0.0,0.0,17284.99022676778,0.0,40027.5726867397,1522.7387288211346,2353.022083956879,0.49366458400618285
32,2025-02-02,4-3,48903.88345671592,8360.89795628994,0.0,7225.177955481001,64489.95936848687,1317.705215068221,45252.75310901426,2353.022083956879,1217.6980333863282,0.3532699999632314
33,2025-02-03,4-3,61357.01540719671,0.0,0.0,0.0,61357.01540719672,0.0,50684.225816460545,1217.6980333863282,2164.518518143808,0.3487232500920072
34,2025-02-04,4-3,62409.75234507983,379.352367166865,0.0,236.9705196520371,63026.07523189873,110.01416882638676,50801.34625734013,2164.518518143808,1283.9322738597164,0.3605839170049876
35,2025-02-05,4-3,52948.97248667777,8765.222967182068,0.0,1178.2730959902792,62892.46854985011,234.27833780372345,51824.26699851653,1283.9322738597164,1567.0150598840476,0.3767681249883026
36,2025-02-06,4-3,60238.9805916949,624.560224518138,0.0,439.334309469509,61302.87512568255,64.2404426304081,53726.11990919379,1567.0150598840476,1553.5272357244505,0.3784384159371257
37,2025-02-07,4-3,16181.442354528437,0.0,0.0,0.0,16181.442354528437,0.0,41097.765583535256,1553.5272357244505,1906.821871279793,0.3393499579979107
38,2025-02-08,4-3,12666.369927720123,3319.2395293097434,0.0,152.33790766630187,16137.947364696169,31.53288070729797,46339.08171179869,1906.821871279793,1437.0502652477915,0.33261033392045647
39,2025-02-09,4-3,55513.877425745704,3741.3451757529715,0.0,30.25747838057443,59285.48007987925,5.820984682680729,47367.41280217853,1437.0502652477915,1352.4341916897838,0.31993524997960776
40,2025-02-10,4-3,50713.87201305673,1508.9004125643673,0.0,0.0,52222.7724256211,0.0,46042.68965221079,1352.4341916897838,1289.6172061355396,0.31332316691987216
41,2025-02-11,4-3,51367.20647944998,1526.1405970560907,0.0,4336.547699010876,57229.89477551695,788.7074932807484,48413.82260340139,1289.6172061355396,1612.5462173456178,0.31761137500870973
42,2025-02-12,4-3,53771.31758944726,255.92245862491893,0.0,0.0,54027.24004807217,0.0,48326.97807921747,1612.5462173456178,1833.4574432605805,0.31811533391010016
43,2025-02-13,4-3,46808.409776174216,3502.246046523521,0.0,663.8706639691583,50974.52648666689,112.69667353569795,46738.75515297038,1833.4574432605805,1310.5912010129207,0.4147856249473989
44,2025-02-14,4-3,13665.65060546211,1882.8956593494706,0.0,0.0,15548.546264811579,0.0,41391.54059498789,1310.5912010129207,1990.6170985888318,0.36428266705479473
45,2025-02-15,4-3,14428.848102196644,577.48355343249,0.0,0.0,15006.331655629132,0.0,43475.68499139063,1990.6170985888318,1349.0066040484703,0.3799509999807924
46,2025-02-16,4-3,51931.43001124465,949.2800247105323,0.0,1932.1897750755552,54812.89981103074,372.2392286303737,46145.389951803736,1349.0066040484703,1470.18724868532,0.3973360420204699
47,2025-02-17,4-3,52343.87328647801,1813.321411180305,0.0,0.0,54157.19469765831,0.0,41411.739796248796,1470.18724868532,1911.6665697054113,0.37298579199705273
48,2025-02-18,4-3,43828.212886785856,8941.116923128022,0.0,0.0,52769.32980991388,0.0,42702.289329697094,1911.6665697054113,1700.6019291441228,0.3785543750273064
49,2025-02-19,4-3,45283.92255905496,6243.7192445058035,0.0,2872.9892039310134,54400.631007491786,638.4493211116817,45623.020045822064,1700.6019291441228,1200.0,0.40685904200654477
50,2025-02-20,4-3,48866.91218743891,1327.7498523488555,0.0,20.338056123526886,50215.000095911295,3.6249988634750707,49516.37964621552,1200.0,1580.7533632020115,0.3772761250147596
51,2025-02-21,4-3,13607.438654582207,1816.6875377929077,0.0,0.0,15424.126192375115,0.0,39015.876864056016,1580.7533632020115,2090.433405493532,0.3410138339968398
52,2025-02-22,4-3,13290.488315643543,1872.837870569751,0.0,0.0,15163.326186213293,0.0,39140.86122280879,2090.433405493532,1828.758170409939,0.35662141698412597
53,2025-02-23,4-3,45178.388635694806,4968.541345880651,0.0,630.0652633171429,50776.995244892605,176.15552557964526,48576.0148035272,1828.758170409939,1200.0,0.34166466700844467
54,2025-02-24,4-3,47253.274257937184,920.5762966103048,0.0,0.0,48173.85055454749,0.0,46618.79422016148,1200.0,1640.527398446584,0.3357644999632612
55,2025-02-25,4-3,45200.459372240795,610.1507899065936,0.0,428.62875376643603,46239.23891591383,95.18541790736711,41440.23579064643,1640.527398446584,1304.4649600595808,0.33418599993456155
56,2025-02-26,4-3,41409.85354820474,9699.1557438493,0.0,0.0,51109.009292054034,0.0,44517.74315332192,1304.4649600595808,2216.1372215772103,0.34700737497769296
57,2025-02-27,4-3,41127.770578978736,5200.809787618124,0.0,479.28782633912715,46807.86819293599,94.11344491539211,46132.09409533905,2216.1372215772103,1396.7660234711936,0.30753608397208154
58,2025-02-28,4-3,13269.996649025778,535.5171217652294,0.0,0.0,13805.513770791007,0.0,39628.8690240365,1396.7660234711936,1614.049499596658,0.3133109170012176
59,2025-03-01,4-3,12978.385451822991,432.5552320429715,0.0,208.83061067528604,13619.77129454125,50.35096098258856,39002.717871687404,1614.049499596658,1238.3370512109286,0.36230729101225734
60,2025-03-02,4-3,45862.96503545787,6924.815281376326,0.0,0.0,52787.7803168342,0.0,47827.952797849255,1238.3370512109286,1569.2076483111975,0.3873434169217944
61,2025-03-03,4-3,46363.57502402373,4270.74100735795,0.0,923.6888625352864,51558.004893916965,245.03808622302626,48446.32640653802,1569.2076483111975,1200.0,0.376670291996561
62,2025-03-04,4-3,42006.53659739104,7480.189671300183,0.0,0.0,49486.726268691214,0.0,43350.584487571185,1200.0,1299.572902427751,0.3850706670200452
63,2025-03-05,4-3,45081.195534754974,15.585456992378024,0.0,44.517745777303254,45141.29873752466,19.259245415229614,45058.04669847521,1299.572902427751,1200.0,0.41766041703522205
64,2025-03-06,4-3,39636.23987454576,6474.726431747608,0.0,0.0,46110.96630629337,0.0,44194.58433563313,1200.0,1423.1154351461266,0.39710733294487
65,2025-03-07,4-3,12819.826685784497,32.31186029465172,0.0,0.0,12852.13854607915,0.0,35215.07690329378,1423.1154351461266,1818.0170578972843,0.3645091661019251
66,2025-03-08,4-3,11254.681711829237,1453.7226379593603,0.0,384.51090869249424,13092.91525848109,112.59039883914588,38151.513865697576,1818.0170578972843,1218.9377362648565,0.34213262505363673
67,2025-03-09,4-3,42863.91495122086,1166.0097037566225,0.0,135.0500001405281,44164.974655118014,26.559706593487963,52243.864482145465,1218.9377362648565,1486.6894709037176,0.4332132500130683
68,2025-03-10,4-3,41658.52856084677,6467.830984714195,0.0,0.0,48126.35954556096,0.0,48015.60512362147,1486.6894709037176,1527.443662858179,0.36679850006476045
69,2025-03-11,4-3,36643.43886632071,8995.129623270059,0.0,0.0,45638.56848959076,0.0,46545.7373247282,1527.443662858179,1786.3401381519018,0.3331059580668807
70,2025-03-12,4-3,40959.168290614674,625.0784630858441,0.0,0.0,41584.246753700514,0.0,51323.197447886254,1786.3401381519018,1590.9967005136982,0.3044574169907719
71,2025-03-13,4-3,40694.055544581584,6420.50323268019,0.0,0.0,47114.55877726177,0.0,44407.117333271184,1590.9967005136982,1448.678387120623,0.31798729102592915
72,2025-03-14,4-3,11803.99038605829,813.0264802966165,0.0,0.0,12617.016866354908,0.0,34751.07455277437,1448.678387120623,2045.791785324781,0.32301379193086177
73,2025-03-15,4-3,11623.277630572284,537.2992497438215,0.0,113.93385859537895,12274.510738911482,31.51126297464799,38974.41574508262,2045.791785324781,1219.4745624354873,0.35711724997963756
74,2025-03-16,4-3,39041.9180332813,3973.552149021283,0.0,8.081099999999934,43023.551282302586,1.6399999999999864,47895.88572516588,1219.4745624354873,1788.7589200258683,0.373370666988194
75,2025-03-17,4-3,36019.04113044796,1495.4053772394727,0.0,0.0,37514.446507687426,0.0,40544.31543280832,1788.7589200258683,1704.2507733699917,0.37611512490548193
76,2025-03-18,4-3,42425.1048314136,85.02564539160768,0.0,0.0,42510.13047680521,0.0,39895.46820561385,1704.2507733699917,1673.5092658017268,0.3720377079444006
77,2025-03-19,4-3,35162.5401947441,5402.18371438482,0.0,0.0,40564.72390912892,0.0,46300.12421761746,1673.5092658017268,1972.9926918945296,0.37759062508121133
78,2025-03-20,4-3,38899.16529196635,2885.4780753744417,0.0,2202.3625984442724,43987.005965785065,424.1338634937417,41467.432237676236,1972.9926918945296,1461.805498033047,0.3798022500704974
79,2025-03-21,4-3,11561.887295022632,0.0,0.0,0.0,11561.887295022634,0.0,38144.96562045957,1461.805498033047,1506.6294300586878,0.3588624590774998
80,2025-03-22,4-3,11771.084068347707,113.89007445168524,0.0,0.0,11884.974142799392,0.0,36289.80177327468,1506.6294300586878,1811.5876020127573,0.36284791596699506
81,2025-03-23,4-3,39516.33916833222,535.6966670061369,0.0,0.0,40052.03583533835,0.0,44328.506415248135,1811.5876020127573,1512.804080329679,0.3500055829063058
82,2025-03-24,4-3,35273.15883458256,3107.37713836298,0.0,0.0,38380.53597294553,0.0,45280.64102954954,1512.804080329679,1544.1281683360585,0.35952687496319413
83,2025-03-25,4-3,40494.86053382404,491.5902337643299,0.0,309.98026471668584,41296.43103230505,60.67337340314852,44190.53065642415,1544.1281683360585,1608.9943485826225,0.3364325419533998
84,2025-03-26,4-3,35915.110645614,704.9778746475779,0.0,0.0,36620.088520261575,0.0,42703.4166928461,1608.9943485826225,1673.6217062933106,0.3854574579745531
85,2025-03-27,4-3,36455.534321013925,1413.3685318670305,0.0,0.0,37868.90285288096,0.0,39881.878987362565,1673.6217062933106,1498.5436320826527,0.2950374169740826
86,2025-03-28,4-3,11449.530701573314,119.85006693155913,0.0,0.0,11569.380768504872,0.0,38285.39819487758,1498.5436320826527,1539.2904978273673,0.3281787500018254
87,2025-03-29,4-3,10631.229688015314,1051.4088015831726,0.0,49.17050544150196,11731.808995039988,13.845638602585009,40974.824454747555,1539.2904978273673,1266.3822549963793,0.36625308298971504
88,2025-03-30,4-3,36133.19410229325,0.0,0.0,0.0,36133.19410229326,0.0,43431.15052409847,1266.3822549963793,1592.161290621418,0.40374999993946403
89,2025-03-31,4-3,32453.527456882504,5200.088864129956,0.0,0.0,37653.61632101246,0.0,45732.31126905483,1592.161290621418,1835.8527082716137,0.3916006250074133
