scenario,day,slot,matched,load_kw_sha256,pv_kw_sha256,price_sha256,errors_kwh_sha256,price_errors_sha256,representative_history_indices,representative_history_origins
4-3,31,0,True,2b12f3a8498f101bf42fb935a3bcbe2f766c4252906eb0b9d9f44b59bb0fd642,77aebb8e0bf69d558f047dcb4eeeb1b67d7b662feb520ca9711c20388de1e437,5ce8df82fc4c5bcd346958d8c3ad3699e086be3a40272574c050131e7415642f,0933aebd10872886ac353631586f3500661ccbb34fd244d27b47aaea936794e7,911217858a2dda866efb3a235cf951c6e774b7563c4fd9e3ae21b8564385a83e,"[0, 4, 9, 13, 18, 22, 27]","[432, 1008, 1728, 2304, 3024, 3600, 4320]"
4-3,31,36,True,748cb0b60704e57f43eba22569dc622580c0ccaf56473be92a0a0a3724040824,2fbb321cbcc164ffd8bb420ac3e06ac282f9ea92c195f1efbb823c9d8c8cb54a,289b63dd38484da0778bb13cec822de66502b6a0de24ab06cd91b19abab6532b,596da5aa0e6321cc5777b66950236d2223f82c943e693a6c959c79bd09fb2417,af820606fb654571a6318b1db52a34f2a512d5c8307d13f097cbd7beb5bc24e5,"[0, 4, 9, 13, 18, 22, 27]","[468, 1044, 1764, 2340, 3060, 3636, 4356]"
4-3,31,72,True,0d1998801e631b3e9a506c96ada52ffaa8c3bcff1a11c18f08127111eb634b5a,e572a7e8563228a4145e3d4b4c925046e6583436235fd37260472bb17aef9aa7,254ab2edb02d37aa0041d2c29bd4faae0e34b7dcf1bfe283a21db82b6df37a33,1ae58bb450bd333cab6f4922b7d6b021ff5998aae58752b29ab642b6ff153f76,95b5f747155b1757ac145878dbfbcc72e6f732ed1c2f5428632c22d6b45fa57f,"[0, 4, 9, 13, 18, 22, 27]","[504, 1080, 1800, 2376, 3096, 3672, 4392]"
4-3,31,108,True,338ffefda60d8e0db9714d887bed01b95ad0677b03a0b400a67e8427832d6346,2d5565fb483d8ea4525a7a9229677d1038ad34b6e22c8d5152e1d7f7b9817597,17834047feb005e9f394561aafc3855c025bb973e6ffd685e1139cbb95040c55,ac8d586da69e1e9aa834e28c7e5640814346f40b3f1195f5d358661509e8d455,647a63c8c0e314b046ef5be75e0c5a03db79fb6e2c875c42a529d2b97ef0dd7b,"[0, 4, 9, 13, 18, 22, 27]","[540, 1116, 1836, 2412, 3132, 3708, 4428]"
4-3,32,0,True,290d5aff2656f6f914e7e103fe386ead0e5c63444d1878570e9b66fa88f22789,e1dab37af5d6893112c005784a2c0ba7ae4942aa2c4e2188775bab437aa87566,561c0cbe24fc88bbd05115eccb1318dfa1613cc63017bc5132120257fa9ea62b,15930788d8e283c665bf59366c29260688bcd888530b0310e73b50e8ebac44f7,6e26968dcbbac9e878b7216f4d35056356f245863ea1bc10597ec86b67ca1a80,"[0, 4, 9, 13, 18, 22, 27]","[576, 1152, 1872, 2448, 3168, 3744, 4464]"
4-3,32,36,True,d8459a4bd85aae457f14d7cd61788fb74a8f4b9c73e7be8cfd18ef7dc5229efe,103ad9af8dc72208ad99fc22606c62a515fde4d89208bbccb22702157d3ce79e,70a52923cf69d97ea9978eecaa52c2823d6f902b5886f894d4287a6d6128cf9e,d517378a898a3730636ffe69c0702018e0709ec9e1847018a2a4d7e8838bb8da,7a4d34d00ea3ad8b6b0f274cf90da5ed09ec67c43f70e85b7ec881464b344108,"[0, 4, 9, 13, 18, 22, 27]","[612, 1188, 1908, 2484, 3204, 3780, 4500]"
4-3,32,72,True,f4ac9c9211ba9acf34e6933a80d6d6cb8a78f8d56f4fd05e93192a109732b24c,80682da3a8a12b427cc1bd1482101b74eacb6fcdba7180cce1b9e481c567f71e,0c500ba504c775bf2c82bf87f76bd721b93256d0b86e81bf25e3d02433ffca90,b476938a22cff772dced00d76a70b981bac65f794825a9c4172cfff97092ff17,6ca268ff393c079132c0dbb16c5026510697922484a4de386a2f68176b523081,"[0, 4, 9, 13, 18, 22, 27]","[648, 1224, 1944, 2520, 3240, 3816, 4536]"
4-3,32,108,True,5591783a9f249e8c7c1e861c486703d0d6d35f9ad2213343bb159e160b4aca00,2d5565fb483d8ea4525a7a9229677d1038ad34b6e22c8d5152e1d7f7b9817597,355038647f463b96885dada6946ccdd4967bd0f44321183e52917778fb62a5b2,d5d9a62328e981f079300cdad0d773405ad4cb44b75051dbb31e3c8f1b9c48ca,8bc24dcb583ae99356842edf02fdc211509f321a370f39a4a3d75269ac0b080d,"[0, 4, 9, 13, 18, 22, 27]","[684, 1260, 1980, 2556, 3276, 3852, 4572]"
4-3,33,0,True,48433a3137b5e4f590b8ba75d38ed1e1a46d86bec9f2a35d528708b7c8120f48,7c2bebbe896b8d080d8f6c7bcb27aaeea4bc6ddc2f7b37e36fc1a6dd2fe2ad0a,22023c188ff70a82963bf932df91d7785621d6f246a75564ca5896cd691b33a1,c205acd5c91115a9b5fe506ec8c762afceaa75b1fea7c28762a44a2a14fbd97e,e7c6a2529f9516eb5a61483c4bb5de0c61527872e8be85ef0f7a0efd3517b464,"[0, 4, 9, 13, 18, 22, 27]","[720, 1296, 2016, 2592, 3312, 3888, 4608]"
4-3,33,36,True,26d32c999b55e8f13d947dfd7221d8c2bda8f704a7eabe561934f17f9f86024b,c88f437d24ad6c027ad58c1c001db909b9ec750735813770cc7bf971a0aafc9b,7fc12a65336d814ca72a94488324c55a96c0789c30fc165d9623a6923a0e584c,9086704ac1465b1d6dbb35cac02c7b4d7fe95cceaabb9c83e5c99ad7410d7b53,b86f2463954e9c28a150986b2338f374c17442d8998ab4d3a61cfdcdd97f4af8,"[0, 4, 9, 13, 18, 22, 27]","[756, 1332, 2052, 2628, 3348, 3924, 4644]"
