起点/h,终点/h,电价/元每kWh,负载/kW,光伏/kW,购电量/kWh,充电功率/kW,放电功率/kW,剩余/kWh,期初储电/kWh,期末储电/kWh,区间电费/元
0.0,0.16666666666666666,0.4248,3443.6617461927904,0.0,996.5747166590719,2535.7865537616417,0.0,0.0,6000.0,6400.94305849579,423.34493963677374
0.16666666666666666,0.3333333333333333,0.4245,3410.3323572605705,0.0,991.0198185037028,2535.786553761641,-6.471168249280566e-12,0.0,6400.94305849579,6801.886116991581,420.68791295482185
0.3333333333333333,0.5,0.4269,3486.0429534153473,0.0,1003.6382511961662,2535.7865537616276,-2.2168933355715126e-11,0.0,6801.886116991581,7202.829175487373,428.45316943564336
0.5,0.6666666666666666,0.4272,3447.7159442091433,0.0,997.2504163284663,2535.786553761678,2.2972647284946042e-11,0.0,7202.829175487373,7603.772233983164,426.0253778555208
0.6666666666666666,0.8333333333333333,0.4271,3438.65273186958,0.0,995.7398809385389,2535.78655376166,6.139089236967266e-12,0.0,7603.772233983164,8004.715292478956,425.28050314884996
0.8333333333333333,1.0,0.4285,3457.2787195958836,0.0,998.8442122262564,2535.7865537616303,-2.5237556172194243e-11,0.0,8004.715292478956,8405.658350974749,428.00474493895086
1.0,1.1666666666666665,0.4311,3458.216866647748,0.0,999.0005700682335,2535.7865537616667,1.294233649856113e-11,0.0,8405.658350974749,8806.60140947054,430.66914575641545
1.1666666666666665,1.3333333333333333,0.4302,3418.43651755492,0.0,992.3705118860952,2535.7865537617704,1.166426955023779e-10,0.0,8806.60140947054,9207.54446796633,426.91779421339817
1.3333333333333333,1.5,0.4279,3432.352890046828,0.0,994.6899073014139,2535.7865537616303,-2.0060621572769783e-11,0.0,9207.54446796633,9608.487526462122,425.627811334275
1.5,1.6666666666666665,0.4312,3451.088340104732,0.0,993.0409418095072,2507.157310752375,6.343725544866174e-11,0.0,9608.487526462122,10004.903904178114,428.19925410825954
1.6666666666666665,1.8333333333333333,0.4333,3479.201776844495,0.0,831.0598479328011,1507.1573107521954,-1.1162765230008993e-10,0.0,10004.903904178114,10243.20639888569,360.0982321092827
1.8333333333333333,2.0,0.4311,3583.351997531321,0.0,848.418218047272,1507.157310752243,-6.872369340271689e-11,0.0,10243.20639888569,10481.508893593265,365.753093800179
2.0,2.1666666666666665,0.4293,3500.380382515368,0.0,834.5896155446129,1507.1573107522943,-1.2278178473934512e-11,0.0,10481.508893593265,10719.81138830084,358.28932195330236
2.1666666666666665,2.333333333333333,0.4324,3508.722486075411,0.0,669.313299471287,507.15731075219236,-1.180988205493705e-10,0.0,10719.81138830084,10799.999999999996,289.4110706913845
2.333333333333333,2.5,0.4367,3560.8225538941338,0.0,593.4704256490228,3.43002066815553e-11,3.069516500639157e-11,-3.2406090585874595e-14,10799.999999999996,10799.999999999996,259.16853488092823
2.5,2.6666666666666665,0.4348,3564.5958251951693,0.0,594.0993041991949,-1.1852446107927612e-12,-1.066720149713485e-12,1.9754076846546046e-14,10799.999999999996,10799.999999999996,258.31437746580997
2.6666666666666665,2.833333333333333,0.4335,3535.6943596771953,0.0,589.282393279533,-7.050507312597898e-11,-7.398345601923818e-11,-1.1296293601787563e-14,10799.999999999996,10799.999999999998,255.45391748667757
2.833333333333333,3.0,0.4357,3603.4236073473016,0.0,600.5706012245505,1.364242052659391e-11,1.2278178473934518e-11,0.0,10799.999999999998,10799.999999999998,261.66861095353664
3.0,3.1666666666666665,0.4374,3482.3857534608633,0.0,580.3976255768102,-1.3642420526593904e-11,-1.2278178473934513e-11,0.0,10799.999999999998,10799.999999999998,253.8659214272968
3.1666666666666665,3.333333333333333,0.4371,3614.3727977046265,0.0,602.3954662841043,-6.471168249280565e-12,-5.789047222950869e-12,0.0,10799.999999999998,10799.999999999998,263.307058312782
