variant,seed,target,population,n,absolute_error_sum,squared_error_sum,actual_abs_sum,mae,rmse,wape_pct,model_label,target_label
gru,2026,load,all,192168,38338666.357709765,16526896085.830181,887487989.598,199.50598620847262,293.2615415292175,4.319908191104174,门控循环网络,小区负载
gru,2026,price,all,192168,8563.30755035876,686.449149364637,145615.9419,0.04456156878543129,0.059767301864802946,5.880748658851864,门控循环网络,电价
gru,2026,pv,all,192168,35593967.87504224,23096923379.342365,457271934.1543,185.22317906749427,346.686181638529,7.783982618760843,门控循环网络,光伏历史预测
gru,2026,pv,generating,107413,33890099.0891601,22983760344.723633,457271934.1543,315.5120803735125,462.574959067412,7.411366532222894,门控循环网络,光伏历史预测
gru,2026,pv_corrected,all,192168,30461011.284170855,17585297774.106297,457271934.1543,158.51240208656412,302.5062334974745,6.661465313961783,门控循环网络,光伏预报修正
gru,2026,pv_corrected,generating,107413,28777984.668654233,17402300980.709427,457271934.1543,267.91901044244395,402.50836895052134,6.293407165230374,门控循环网络,光伏预报修正
gru,3407,load,all,192168,35106834.18776563,11961466629.068905,887487989.598,182.6882425157447,249.4891603331708,3.95575315939405,门控循环网络,小区负载
gru,3407,price,all,192168,8381.924372648586,659.036621167317,145615.9419,0.043617690628245005,0.058561775976384886,5.756185939040089,门控循环网络,电价
gru,3407,pv,all,192168,35754832.58719072,22996024393.04378,457271934.1543,186.06028364343032,345.9281029485433,7.819161841480032,门控循环网络,光伏历史预测
gru,3407,pv,generating,107413,33813733.762634575,22842371974.66909,457271934.1543,314.80112986914594,461.14996130877904,7.394666332446418,门控循环网络,光伏历史预测
gru,3407,pv_corrected,all,192168,31077176.689660195,18036842424.049637,457271934.1543,161.71879131624513,306.3654032931353,6.796213449473075,门控循环网络,光伏预报修正
gru,3407,pv_corrected,generating,107413,29394354.52033615,17869501791.244675,457271934.1543,273.65732751469704,407.8756688590193,6.428200010722162,门控循环网络,光伏预报修正
gru,42,load,all,192168,35335855.81992578,12356575918.56541,887487989.598,183.88002071065827,253.57622710428672,3.981558762945247,门控循环网络,小区负载
gru,42,price,all,192168,8374.098086918224,657.9777754344884,145615.9419,0.043576964358885056,0.058514712724522376,5.750811331268273,门控循环网络,电价
gru,42,pv,all,192168,35377321.96584049,23335378255.329025,457271934.1543,184.0958014125166,348.4711971739123,7.736604703559809,门控循环网络,光伏历史预测
gru,42,pv,generating,107413,33829381.75762093,23240533003.000706,457271934.1543,314.9468105128889,465.1517067315771,7.398088365118355,门控循环网络,光伏历史预测
gru,42,pv_corrected,all,192168,32592955.340787496,18552683558.179634,457271934.1543,169.60656998453175,310.71543914849593,7.127696433210236,门控循环网络,光伏预报修正
gru,42,pv_corrected,generating,107413,29961751.65027634,18223309322.65673,457271934.1543,278.93971540015025,411.89374826202754,6.552283097297235,门控循环网络,光伏预报修正
gru,mean,load,all,192168,35205017.479135156,12682729609.50502,887487989.598,183.1991667662418,256.90102182494485,3.9668162151785014,门控循环网络,小区负载
gru,mean,price,all,192168,8251.853521949613,639.0483188104598,145615.9419,0.04294083053343748,0.05766686116786495,5.666861343805663,门控循环网络,电价
gru,mean,pv,all,192168,35027041.44581877,22708919562.34298,457271934.1543,182.27301863899694,343.7618681969589,7.660002468902757,门控循环网络,光伏历史预测
gru,mean,pv,generating,107413,33296072.173097357,22638190023.8453,457271934.1543,309.9817729054896,459.084285751023,7.281459824267734,门控循环网络,光伏历史预测
gru,mean,pv_corrected,all,192168,30351902.27045764,17121609569.11058,457271934.1543,157.94462278036738,298.4913564669299,6.637604454467966,门控循环网络,光伏预报修正
gru,mean,pv_corrected,generating,107413,28352884.77951688,16980824567.761862,457271934.1543,263.96138995761106,397.6042009922433,6.200442813520586,门控循环网络,光伏预报修正
gru_no_calendar,2026,load,all,192168,38928515.414194144,18103942611.839417,887487989.598,202.57543094684934,306.93474054253625,4.386370956053992,移除日历特征,小区负载
gru_no_calendar,2026,price,all,192168,9016.709215767909,781.1956697358821,145615.9419,0.046920971315556746,0.06375868899547288,6.1921168095454995,移除日历特征,电价
gru_no_calendar,2026,pv,all,192168,33328982.29730283,22530586955.131264,457271934.1543,173.43669235930452,342.40943089655735,7.288656881805573,移除日历特征,光伏历史预测
gru_no_calendar,2026,pv,generating,107413,32903535.15471243,22522876127.92872,457271934.1543,306.32730819093064,457.91355645808716,7.1956165898451125,移除日历特征,光伏历史预测
