day,date,month,scenario,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,initial_soc,final_soc,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,max_balance_error,max_state_error,solve_execute_seconds,updates,variant,seed,model_used,known_price,corrected,update_schedule
31,2025-02-01,2,2,36301.52618302096,36301.52618302096,0.0,0,12259.705364006822,15491.44808379768,5155.0929694784945,8347.718047222224,2168.7327817198357,19520.550289451505,0.0,0.0,0.0,19520.55028945151,0,1.1368683772161605e-13,9.094947017729282e-13,0.0043185419635847,0,selected,mean,tcn,False,True,0
32,2025-02-02,2,2,74477.37542551183,74477.37542551183,7259.049460092896,330,21044.170934696605,17764.684324677815,100.66032558593815,2168.7327817198357,1369.948484415871,45111.18512743661,0.0,0.0,42985.05798322567,88096.2431106623,0,2.273736754432321e-13,9.094947017729282e-13,0.0043099590111523,0,selected,mean,tcn,False,True,0
33,2025-02-03,2,2,89391.14272368941,89391.14272368941,0.0,0,24662.626218360303,18466.635752016704,2978.2357573458085,1369.948484415871,3047.827912032697,56663.425625442185,0.0,0.0,0.0,56663.425625442185,0,2.273736754432321e-13,9.094947017729282e-13,0.0038418750045821,0,selected,mean,tcn,False,True,0
34,2025-02-04,2,2,87605.42630569424,87605.42630569424,0.0,0,23530.85010712036,19810.877560815432,2690.589809389314,3047.827912032697,2213.5068297572266,55487.28493284348,0.0,0.0,0.0,55487.28493284348,0,2.273736754432321e-13,9.094947017729282e-13,0.0037359170382842,0,selected,mean,tcn,False,True,0
35,2025-02-05,2,2,85430.85160603045,85430.85160603045,871.6079375035754,110,23211.53590350165,19705.7660476364,2048.2627043354432,2213.5068297572266,1208.593534423828,53629.32951647932,0.0,0.0,5451.178845162749,59080.50836164207,0,2.273736754432321e-13,9.094947017729282e-13,0.0043274170020595,0,selected,mean,tcn,False,True,0
36,2025-02-06,2,2,81719.55166090648,81719.55166090648,3370.384412954284,280,23405.27247621816,18922.983928820213,336.59030979614295,1208.593534423828,1247.8010643310547,50484.88718388808,0.0,0.0,19250.539238875135,69735.42642276321,0,2.273736754432321e-13,9.094947017729282e-13,0.0043372079962864,0,selected,mean,tcn,False,True,0
37,2025-02-07,2,2,50390.1712370816,50390.1712370816,0.0,0,19461.237300840607,14231.414396187083,13354.668665761412,1247.8010643310547,2950.2319726575124,27246.06911262985,0.0,0.0,0.0,27246.069112629855,0,4.547473508864641e-13,9.094947017729282e-13,0.0038182919379323,0,selected,mean,tcn,False,True,0
38,2025-02-08,2,2,36300.15351145333,36300.15351145333,26.73900963541837,10,17842.55729561884,15596.414499139402,2503.5870079426486,2950.2319726575124,1679.184095226237,19016.027418276102,0.0,0.0,163.4555659013125,19179.48298417742,0,1.1368683772161605e-13,9.094947017729282e-13,0.0040245000272989,0,selected,mean,tcn,False,True,0
39,2025-02-09,2,2,69803.37856470232,69803.37856470232,12850.2382260602,490,18398.85355075375,15309.62739218524,8.97466552734386,1679.184095226237,1227.4551884765624,41780.37133478672,0.0,0.0,75664.8827175886,117445.25405237533,0,2.273736754432321e-13,8.313350008393172e-13,0.0045161659363657,0,selected,mean,tcn,False,True,0
40,2025-02-10,2,2,88858.87676085567,88858.87676085567,0.0,0,21898.6474635702,16559.21333071289,9192.805044665023,1227.4551884765624,2537.111982675418,56080.12570716877,0.0,0.0,0.0,56080.12570716877,0,2.273736754432321e-13,9.094947017729282e-13,0.0041448749834671,0,selected,mean,tcn,False,True,0
41,2025-02-11,2,2,79476.8785791886,79476.8785791886,486.62431777662266,50,22727.36783172963,19115.47187448387,1131.009806386128,2537.111982675418,1752.3298373611117,49606.20658996797,0.0,0.0,2372.0678560786823,51978.27444604665,0,2.273736754432321e-13,9.094947017729282e-13,0.0041262080194428,0,selected,mean,tcn,False,True,0
42,2025-02-12,2,2,77210.48421719999,77210.48421719999,2419.9820898347484,220,22714.486864222246,18895.831213645022,545.0745231241872,1752.3298373611117,1200.0,47580.359410368794,0.0,0.0,14818.925883491684,62399.28529386048,0,2.273736754432321e-13,9.094947017729282e-13,0.0042837499640882,0,selected,mean,tcn,False,True,0
43,2025-02-13,2,2,73797.113738753,73797.113738753,2967.537564893063,300,22410.993270974526,18133.80248776476,1157.9815037696353,1200.0,1221.2245130273438,45039.27228616334,0.0,0.0,15679.385834764258,60718.658120927605,0,2.273736754432321e-13,9.094947017729282e-13,0.0048001250252127,0,selected,mean,tcn,False,True,0
44,2025-02-14,2,2,40807.59518868842,40807.59518868842,0.0,0,19370.13265900849,14168.2993191569,5803.960032170162,1221.2245130273438,2911.78910707176,22160.662251200087,0.0,0.0,0.0,22160.662251200087,0,1.1368683772161605e-13,9.094947017729282e-13,0.0037365830503404,0,selected,mean,tcn,False,True,0
45,2025-02-15,2,2,33932.02103185867,33932.02103185867,0.0,0,16881.415935368837,15148.249329634602,2918.7633261244364,2911.78910707176,1273.6753048652718,17901.524156151816,0.0,0.0,0.0,17901.524156151812,0,1.1368683772161605e-13,8.86402062860725e-13,0.0038284590700641,0,selected,mean,tcn,False,True,0
46,2025-02-16,2,2,67109.97828263769,67109.97828263769,11662.998188165167,460,18016.125284698646,14620.527913895785,0.0,1273.6753048652718,1243.157045654297,39842.7598374517,0.0,0.0,68656.35501163764,108499.11484908935,0,2.273736754432321e-13,8.588685318500211e-13,0.0040826660115271,0,selected,mean,tcn,False,True,0
47,2025-02-17,2,2,84007.35284509353,84007.35284509353,0.0,0,21029.25342453905,15848.078117032876,7642.3143709206915,1243.157045654297,2560.5094421473577,52522.49086846234,0.0,0.0,0.0,52522.49086846234,0,2.273736754432321e-13,9.094947017729282e-13,0.0051033330382779,0,selected,mean,tcn,False,True,0
48,2025-02-18,2,2,76669.87471321695,76669.87471321695,36.36519163869718,20,22106.13669647718,18672.38591000264,1181.1013350477751,2560.5094421473577,1708.9370134183305,47500.22460495632,0.0,0.0,252.30439953146373,47752.52900448778,0,2.273736754432321e-13,9.094947017729282e-13,0.0043376660905778,0,selected,mean,tcn,False,True,0
49,2025-02-19,2,2,73842.8931919393,73842.8931919393,4000.2783342412217,340,22571.997326232173,18741.36114632455,1133.2079629395805,1708.9370134183305,1200.0,44957.87900627819,0.0,0.0,20458.856453709555,65416.73545998775,0,2.273736754432321e-13,9.094947017729282e-13,0.0042656250298023,0,selected,mean,tcn,False,True,0
50,2025-02-20,2,2,70570.2871335583,70570.2871335583,4625.647584457836,360,21820.161296093906,17659.517216603155,42.15690519205725,1200.0,1216.459370258789,42755.58268852577,0.0,0.0,24413.180971695067,67168.76366022084,0,2.273736754432321e-13,8.810729923425242e-13,0.0041603749850764,0,selected,mean,tcn,False,True,0
