scenario,date,period,emergency_kwh
2,2025-03-20,08:50-10:00,787.914251938719
2,2025-03-20,20:00-20:50,2801.800022907654
2,2025-03-20,21:00-22:30,266.52674426269556
2,2025-03-20,22:50-23:10,33.90172843326807
2,2025-03-20,23:30-23:50,100.71756946516932
2,2025-06-21,06:10-07:20,592.6213516214186
2,2025-09-23,08:40-09:50,481.2142591474567
2,2025-09-23,20:00-20:40,2223.6160820745777
2,2025-09-23,20:50-21:10,72.57411056347658
2,2025-09-23,21:20-21:40,35.58692498925766
2,2025-12-21,07:50-08:10,111.08852304687504
2,2025-12-21,10:00-10:50,1077.464308302575
2,2025-12-21,20:20-20:50,1286.5884931190171
3,2025-03-20,08:40-10:00,910.197052216472
3,2025-03-20,20:30-20:50,459.7992091796839
3,2025-03-20,21:00-22:30,278.8774467773439
3,2025-03-20,22:50-23:10,31.360985025065062
3,2025-03-20,23:30-23:50,99.5815379710286
3,2025-06-21,06:20-07:20,112.1200900390626
3,2025-09-23,08:40-09:50,446.1460888671871
3,2025-09-23,20:20-20:40,71.12951980045375
3,2025-09-23,20:50-21:10,77.65836349316407
3,2025-09-23,21:20-21:40,39.211267030273326
3,2025-09-23,22:20-22:30,3.242870867838107
3,2025-12-21,07:50-08:10,107.32558359375004
3,2025-12-21,10:10-10:50,645.7772554337547
3,2025-12-21,20:30-20:50,252.1783730791031
4-2,2025-03-20,08:50-10:00,750.2386541841602
4-2,2025-03-20,19:40-20:50,2801.8000229076556
4-2,2025-03-20,21:00-22:30,266.52674426269556
4-2,2025-03-20,22:50-23:10,33.90172843326807
4-2,2025-03-20,23:30-23:50,100.71756946516932
4-2,2025-06-21,00:20-00:40,51.32467306673178
4-2,2025-06-21,01:30-02:30,148.0612847521161
4-2,2025-06-21,06:20-07:20,505.6646584361161
4-2,2025-09-23,08:40-09:50,453.2968457031244
4-2,2025-09-23,20:00-20:40,2231.6371638040728
4-2,2025-09-23,20:50-21:10,72.57411056347658
4-2,2025-09-23,21:20-21:40,35.58692498925766
4-2,2025-12-21,07:50-08:10,111.08852304687504
4-2,2025-12-21,10:10-10:50,991.1090696811513
4-2,2025-12-21,20:20-20:50,1286.5884931190171
4-3,2025-03-20,08:40-10:00,910.197052216472
4-3,2025-03-20,20:30-20:50,459.7992091796888
4-3,2025-03-20,21:00-22:30,278.8774467773439
4-3,2025-03-20,22:50-23:10,31.360985025065062
4-3,2025-03-20,23:30-23:50,99.5815379710286
4-3,2025-06-21,01:50-02:30,254.6361833437499
4-3,2025-06-21,06:50-07:20,112.12009003906245
4-3,2025-09-23,08:40-09:50,446.1460888671871
4-3,2025-09-23,20:10-20:20,10.234366666666688
4-3,2025-09-23,20:30-20:40,69.75130017089975
4-3,2025-09-23,20:50-21:10,77.65836349316407
4-3,2025-09-23,21:20-21:40,39.211267030273326
4-3,2025-09-23,22:20-22:30,4.817011916015211
4-3,2025-12-21,07:50-08:10,107.32558359375004
4-3,2025-12-21,10:30-10:50,451.8460219425476
4-3,2025-12-21,20:30-20:50,252.1783730791031
