n,mae,rmse,wape_pct,bias,absolute_error_sum,squared_error_sum,actual_abs_sum,variant,seed,month,target,lead,population,unit
16128,921.4045838317992,1297.1684383638433,20.41424220903446,-409.40603722118806,14860413.128039258,27137714002.35504,72794341.2049,mlp,42,2,load,all,all,千瓦
4032,917.2659103883533,1276.2920738007317,20.307436870559656,-380.7972820221189,3698416.1506858403,6567811317.230979,18212126.7901,mlp,42,2,load,0–6h,all,千瓦
4032,884.1731260549151,1230.4500034636812,19.584254265361885,-372.3054814353095,3564986.0442534178,6104477074.847853,18203328.0203,mlp,42,2,load,6–12h,all,千瓦
4032,923.1632723617796,1295.1621983295274,20.46144523242991,-454.9930649373857,3722194.3141626953,6763458723.766512,18191258.104599997,mlp,42,2,load,12–18h,all,千瓦
4032,961.016026522149,1382.103484293795,21.304683365939898,-429.528320489938,3874816.6189373047,7701966886.509699,18187628.2899,mlp,42,2,load,18–24h,all,千瓦
16128,569.1978407332015,955.108495794282,28.897746057303227,-554.8558220273746,9180022.775345074,14712481546.373173,31767262.253399998,mlp,42,2,pv,all,all,千瓦
8150,1125.5920933394036,1343.5545322511132,28.87745090382885,-1098.7928726731818,9173575.56071614,14711881066.229935,31767262.253399998,mlp,42,2,pv,all,generating,千瓦
4032,710.9208560512358,1138.3284548889476,36.15194310289856,-706.9531958895035,2866432.8915985827,5224632018.318151,7928848.7577,mlp,42,2,pv,0–6h,all,千瓦
2036,1404.7115460845605,1601.8210972214376,36.070718400962306,-1403.180486049556,2859992.707828165,5224031564.797513,7928848.7577,mlp,42,2,pv,0–6h,generating,千瓦
4032,504.99011252111296,857.9522163428932,25.679889248934476,-478.3341483637076,2036120.1336851274,2967882646.287616,7928850.914999999,mlp,42,2,pv,6–12h,all,千瓦
2036,1000.0555514865474,1207.353577837902,25.679800574565483,-947.2742225250421,2036113.1028266104,2967882619.6650133,7928850.915,mlp,42,2,pv,6–12h,generating,千瓦
4032,510.2059057922901,881.8727904210017,25.906194581482687,-488.24689213165334,2057150.2121545137,3135684861.7312136,7940765.6948,mlp,42,2,pv,12–18h,all,千瓦
