month,scenario,variant,validation_cost,selected,validation_start,decision_time,initial_soc
2,2,mlp,540664.3179122044,False,2025-01-25,2025-02-01 00:00:00,8268.323207777776
2,2,gru,474804.5668105859,False,2025-01-25,2025-02-01 00:00:00,8268.323207777776
2,2,tcn,462121.1842365297,True,2025-01-25,2025-02-01 00:00:00,8268.323207777776
2,3,mlp,568698.9998689563,False,2025-01-25,2025-02-01 00:00:00,8268.323207777776
2,3,gru,395053.38183269376,False,2025-01-25,2025-02-01 00:00:00,8268.323207777776
2,3,tcn,383471.31703954824,True,2025-01-25,2025-02-01 00:00:00,8268.323207777776
2,4-2,mlp,604424.1010394266,False,2025-01-25,2025-02-01 00:00:00,8176.942520925925
2,4-2,gru,534935.889799025,False,2025-01-25,2025-02-01 00:00:00,8176.942520925925
2,4-2,tcn,521713.0879051582,True,2025-01-25,2025-02-01 00:00:00,8176.942520925925
2,4-3,mlp,634047.2751843416,False,2025-01-25,2025-02-01 00:00:00,8176.942520925925
2,4-3,gru,444770.3588896212,False,2025-01-25,2025-02-01 00:00:00,8176.942520925925
2,4-3,tcn,431002.60345677094,True,2025-01-25,2025-02-01 00:00:00,8176.942520925925
3,2,mlp,554658.3074044215,False,2025-02-22,2025-03-01 00:00:00,8169.969185185187
3,2,gru,300680.58962270035,True,2025-02-22,2025-03-01 00:00:00,8169.969185185187
3,2,tcn,312750.68629103084,False,2025-02-22,2025-03-01 00:00:00,8169.969185185187
3,3,mlp,632448.0281536186,False,2025-02-22,2025-03-01 00:00:00,8169.969185185187
3,3,gru,284193.4082149587,True,2025-02-22,2025-03-01 00:00:00,8169.969185185187
3,3,tcn,285084.99736627424,False,2025-02-22,2025-03-01 00:00:00,8169.969185185187
3,4-2,mlp,559002.2204856846,False,2025-02-22,2025-03-01 00:00:00,9241.14222444444
3,4-2,gru,308963.6125798903,True,2025-02-22,2025-03-01 00:00:00,9241.14222444444
3,4-2,tcn,320408.4034620649,False,2025-02-22,2025-03-01 00:00:00,9241.14222444444
3,4-3,mlp,638352.6730043038,False,2025-02-22,2025-03-01 00:00:00,9241.200067777772
3,4-3,gru,294579.26245810866,True,2025-02-22,2025-03-01 00:00:00,9241.200067777772
3,4-3,tcn,295514.22806991707,False,2025-02-22,2025-03-01 00:00:00,9241.200067777772
4,2,mlp,387572.46622528246,False,2025-03-25,2025-04-01 00:00:00,1200.0
4,2,gru,284129.8274708417,True,2025-03-25,2025-04-01 00:00:00,1200.0
4,2,tcn,286625.22301623697,False,2025-03-25,2025-04-01 00:00:00,1200.0
4,3,mlp,571484.3900424538,False,2025-03-25,2025-04-01 00:00:00,1259.56016490741
4,3,gru,240233.59223280646,False,2025-03-25,2025-04-01 00:00:00,1259.56016490741
4,3,tcn,236034.79006257947,True,2025-03-25,2025-04-01 00:00:00,1259.56016490741
4,4-2,mlp,370283.75264190184,False,2025-03-25,2025-04-01 00:00:00,1200.0
4,4-2,gru,274061.34474540065,True,2025-03-25,2025-04-01 00:00:00,1200.0
4,4-2,tcn,276654.1258730561,False,2025-03-25,2025-04-01 00:00:00,1200.0
4,4-3,mlp,547086.205621443,False,2025-03-25,2025-04-01 00:00:00,1235.5707318518535
4,4-3,gru,234933.0825975792,False,2025-03-25,2025-04-01 00:00:00,1235.5707318518535
4,4-3,tcn,231452.20294740034,True,2025-03-25,2025-04-01 00:00:00,1235.5707318518535
5,2,mlp,583444.6841349298,False,2025-04-24,2025-05-01 00:00:00,1353.3839396296291
