scenario,variant,total_cost_mean,total_cost_std,emergency_mean,emergency_std,model_label
2,gru,16550984.833116382,144748.06288620376,778462.202025389,26945.28251860554,门控循环网络
2,gru_no_calendar,16469556.57033661,336689.58572702284,767557.7204816309,68190.44967786397,移除日历特征
2,gru_one_day,16399292.514695227,77605.48353458644,742863.8370405562,17873.857091879752,一天历史窗口
2,mlp,31603369.4505357,15494674.905992148,4591638.434037275,4907267.039079629,多层感知机
2,tcn,16505901.992411865,336478.94518172194,786325.257872161,71157.92663420389,因果卷积网络
3,gru,14094810.24650242,74638.27754580743,246825.2527931475,9805.900840022445,门控循环网络
3,gru_no_calendar,14041788.62923246,100425.18815039266,259930.8769340821,22098.52283822809,移除日历特征
3,gru_one_day,14040022.36455675,78695.64297756551,228211.557421405,12660.257227810545,一天历史窗口
3,mlp,28730066.71528065,9224250.717885064,3833415.8300038506,3344751.54677422,多层感知机
3,tcn,14090619.000237247,87931.9702919815,273712.182338177,24493.560507890284,因果卷积网络
4-2,gru,17335639.62930426,148882.55798105494,779035.2213598448,28783.319081009115,门控循环网络
4-2,gru_no_calendar,17282327.97030471,342226.5463738812,764857.1637431704,67176.11721658478,移除日历特征
4-2,gru_one_day,17182947.038322903,81153.76486852088,744005.9460086506,16685.023182545,一天历史窗口
4-2,mlp,32829652.244814306,15976677.106908005,4582077.3718816135,4877620.939051299,多层感知机
4-2,tcn,17281417.271597736,348055.12834284623,785134.5091546145,70609.15708829355,因果卷积网络
4-3,gru,14857017.704366304,76401.38057591129,253488.93935711123,11768.05739919777,门控循环网络
4-3,gru_no_calendar,14814897.13388705,105653.77628471042,267075.69286859845,23786.13229779315,移除日历特征
4-3,gru_one_day,14796254.925795468,78903.11053755878,233910.03367469026,10591.832063598891,一天历史窗口
4-3,mlp,29797146.705204006,9354110.162474316,3831062.836275523,3282349.0557586504,多层感知机
4-3,tcn,14888439.215313258,95281.95436334878,285579.05391723145,24162.42064986868,因果卷积网络
