variant,scenario,target,population,n,absolute_error_sum,squared_error_sum,actual_abs_sum,mae,rmse,wape_pct,model_label,target_label
selected_2,2,load,all,192168,34641491.321830474,11755808808.859766,887487989.598,180.2667006048378,247.33508256370447,3.903319450838069,正式策略问题 2,小区负载
selected_2,2,pv,all,192168,34758700.79808837,22438989232.126537,457271934.1543,180.8766329362244,341.71269213408294,7.601319521691776,正式策略问题 2,光伏历史预测
selected_2,2,pv,generating,107413,32997610.074128672,22361192000.028664,457271934.1543,307.2031325270561,456.2669926494257,7.216189669535697,正式策略问题 2,光伏历史预测
selected_3,3,load,all,192168,34459786.708946094,11512326738.785892,887487989.598,179.3211497697124,244.76032344704282,3.882845414567822,正式策略问题 3,小区负载
selected_3,3,pv_corrected,all,192168,30214963.987085823,17224857249.335526,457271934.1543,157.2320260765883,299.38999332231145,6.607657660636178,正式策略问题 3,光伏预报修正
selected_3,3,pv_corrected,generating,107413,28415578.851864405,17099077716.890759,457271934.1543,264.54506299856075,398.98624151496574,6.214153270617297,正式策略问题 3,光伏预报修正
selected_4-2,4-2,load,all,192168,34777962.883477345,11877087696.144821,887487989.598,180.976868591427,248.60762602543195,3.918696736305187,正式策略问题 4-2,小区负载
selected_4-2,4-2,price,all,192168,8200.36134883386,630.0700109691069,145615.9419,0.04267287659149213,0.057260333023336475,5.631499712075041,正式策略问题 4-2,电价
selected_4-2,4-2,pv,all,192168,34572795.266124696,22253261702.312172,457271934.1543,179.9092214423041,340.29557557457514,7.560664165856852,正式策略问题 4-2,光伏历史预测
selected_4-2,4-2,pv,generating,107413,32884721.473686554,22178945704.100674,457271934.1543,306.1521554531254,454.4038743975175,7.191502258826597,正式策略问题 4-2,光伏历史预测
selected_4-3,4-3,load,all,192168,34664304.339356646,11751814696.678238,887487989.598,180.38541452976898,247.29306214611728,3.905889966472484,正式策略问题 4-3,小区负载
selected_4-3,4-3,price,all,192168,8225.960623509585,634.6334594537535,145615.9419,0.04280608958572491,0.057467320452728766,5.649079706642742,正式策略问题 4-3,电价
selected_4-3,4-3,pv_corrected,all,192168,30398240.52183068,17389717356.32719,457271934.1543,158.18575684729342,300.8193209109912,6.647738085664629,正式策略问题 4-3,光伏预报修正
selected_4-3,4-3,pv_corrected,generating,107413,28549832.386675518,17262538698.109753,457271934.1543,265.7949446219314,400.8887872973632,6.243512941479103,正式策略问题 4-3,光伏预报修正
