scenario,date,period,charge_kwh,discharge_kwh,initial_soc,final_soc
2,2025-02-01,0:00-4:00,8707.51403527321,19.37280796652965,1421.7991105135516,1686.059176266973
2,2025-02-01,4:00-8:00,1199.5030287098987,6608.491733495549,1421.7991105135516,1686.059176266973
2,2025-02-01,8:00-12:00,4936.263866666666,677.7272833333334,1421.7991105135516,1686.059176266973
2,2025-02-01,12:00-16:00,3164.0154652421875,141.77715654712625,1421.7991105135516,1686.059176266973
2,2025-02-01,16:00-20:00,62.72219586911217,6285.881188545736,1421.7991105135516,1686.059176266973
2,2025-02-01,20:00-24:00,819.8795796665871,3016.959073674617,1421.7991105135516,1686.059176266973
2,2025-02-02,0:00-4:00,8324.682192708573,80.0699164852731,1686.059176266973,1832.5225454439014
2,2025-02-02,4:00-8:00,3471.727377649593,3068.4250527248696,1686.059176266973,1832.5225454439014
2,2025-02-02,8:00-12:00,5790.429482883575,6687.513520030122,1686.059176266973,1832.5225454439014
2,2025-02-02,12:00-16:00,4646.987925849735,1528.192353045797,1686.059176266973,1832.5225454439014
2,2025-02-02,16:00-20:00,14.307508677210983,6141.499325639831,1686.059176266973,1832.5225454439014
2,2025-02-02,20:00-24:00,507.45872297184576,2835.386369626227,1686.059176266973,1832.5225454439014
2,2025-02-03,0:00-4:00,8168.719836516733,69.06695254625038,1832.5225454439014,1721.9619873600357
2,2025-02-03,4:00-8:00,3224.6271915454877,3306.7444823027936,1832.5225454439014,1721.9619873600357
2,2025-02-03,8:00-12:00,5604.322384078569,6755.788623986652,1832.5225454439014,1721.9619873600357
2,2025-02-03,12:00-16:00,5966.324675582471,2028.6985333333334,1832.5225454439014,1721.9619873600357
2,2025-02-03,16:00-20:00,86.22423674456115,6316.075403616309,1832.5225454439014,1721.9619873600357
2,2025-02-03,20:00-24:00,583.4809727488157,2898.8423265869433,1832.5225454439014,1721.9619873600357
2,2025-02-04,0:00-4:00,8459.881873489187,7.282948560135537,1721.9619873600357,1535.6316353427778
2,2025-02-04,4:00-8:00,2846.690038861956,3360.395906958519,1721.9619873600357,1535.6316353427778
2,2025-02-04,8:00-12:00,5753.444063916655,7260.0559,1721.9619873600357,1535.6316353427778
2,2025-02-04,12:00-16:00,6596.736591855335,2485.1584070136405,1721.9619873600357,1535.6316353427778
2,2025-02-04,16:00-20:00,275.1325566537088,6133.5563443888,1721.9619873600357,1535.6316353427778
2,2025-02-04,20:00-24:00,496.5923980337009,2915.9487564870337,1721.9619873600357,1535.6316353427778
2,2025-02-05,0:00-4:00,8294.446336656521,49.315923524590744,1535.6316353427778,1570.9455128006439
2,2025-02-05,4:00-8:00,3365.3017468061444,2496.9538475347053,1535.6316353427778,1570.9455128006439
2,2025-02-05,8:00-12:00,5713.096568380186,7434.972738208673,1535.6316353427778,1570.9455128006439
2,2025-02-05,12:00-16:00,5279.4038597932595,1628.789213344198,1535.6316353427778,1570.9455128006439
2,2025-02-05,16:00-20:00,94.87401794354179,6456.387322910122,1535.6316353427778,1570.9455128006439
2,2025-02-05,20:00-24:00,1054.3997653779886,3321.4493342059004,1535.6316353427778,1570.9455128006439
2,2025-02-06,0:00-4:00,8374.091063742071,13.885684126719752,1570.9455128006439,1787.6213958608441
2,2025-02-06,4:00-8:00,3139.1570832369835,2425.9211326835857,1570.9455128006439,1787.6213958608441
2,2025-02-06,8:00-12:00,5924.056517742035,6781.72814097444,1570.9455128006439,1787.6213958608441
2,2025-02-06,12:00-16:00,4861.574410565617,2104.364342318654,1570.9455128006439,1787.6213958608441
2,2025-02-06,16:00-20:00,158.0844217285418,6035.3296833927625,1570.9455128006439,1787.6213958608441
2,2025-02-06,20:00-24:00,351.91231262896656,2961.2024538340734,1570.9455128006439,1787.6213958608441
2,2025-02-07,0:00-4:00,7952.65430828426,56.628134994824165,1787.6213958608441,1341.6088788846166
2,2025-02-07,4:00-8:00,1610.1470166595627,6288.497333333333,1787.6213958608441,1341.6088788846166
2,2025-02-07,8:00-12:00,4765.899283333334,1115.31345,1787.6213958608441,1341.6088788846166
2,2025-02-07,12:00-16:00,3460.5571425925964,25.278320391366435,1787.6213958608441,1341.6088788846166
2,2025-02-07,16:00-20:00,28.08702265707521,6283.2725666666665,1787.6213958608441,1341.6088788846166
2,2025-02-07,20:00-24:00,660.6185233305641,3284.30178736228,1787.6213958608441,1341.6088788846166
2,2025-02-08,0:00-4:00,6938.706357059484,105.5959511892587,1341.6088788846166,1361.3754181496463
2,2025-02-08,4:00-8:00,1467.7533236951926,6353.821143636457,1341.6088788846166,1361.3754181496463
2,2025-02-08,8:00-12:00,6076.8559994064835,368.93488333333335,1341.6088788846166,1361.3754181496463
2,2025-02-08,12:00-16:00,3081.4549895676737,14.289044797304008,1341.6088788846166,1361.3754181496463
2,2025-02-08,16:00-20:00,62.48627325260128,6747.15254865458,1341.6088788846166,1361.3754181496463
2,2025-02-08,20:00-24:00,769.5384648110435,2948.570109741297,1341.6088788846166,1361.3754181496463
2,2025-02-09,0:00-4:00,8390.806627763712,125.65072574411477,1361.3754181496463,1204.956550066154
2,2025-02-09,4:00-8:00,3468.761543424829,4777.6192164789645,1361.3754181496463,1204.956550066154
2,2025-02-09,8:00-12:00,4614.435605176182,5923.4355757610965,1361.3754181496463,1204.956550066154
2,2025-02-09,12:00-16:00,6467.901618801605,2195.4452163845503,1361.3754181496463,1204.956550066154
2,2025-02-09,16:00-20:00,196.294103219484,6569.73874410547,1361.3754181496463,1204.956550066154
2,2025-02-09,20:00-24:00,671.1845758642219,1984.9481560016088,1361.3754181496463,1204.956550066154
2,2025-02-10,0:00-4:00,8511.309465535262,98.24747153207431,1204.956550066154,1200.0
2,2025-02-10,4:00-8:00,3710.913695605875,3690.556628824722,1204.956550066154,1200.0
2,2025-02-10,8:00-12:00,5990.032352056154,4989.050950000001,1204.956550066154,1200.0
2,2025-02-10,12:00-16:00,3170.5334477383303,1402.4483759703037,1204.956550066154,1200.0
2,2025-02-10,16:00-20:00,132.2201009594662,6311.236648636075,1204.956550066154,1200.0
2,2025-02-10,20:00-24:00,686.6286189703593,3494.6360340794326,1204.956550066154,1200.0
2,2025-02-11,0:00-4:00,8425.161851045881,71.34019116320712,1200.0,1326.3776260517602
2,2025-02-11,4:00-8:00,3246.922220311093,5688.0273882726115,1200.0,1326.3776260517602
2,2025-02-11,8:00-12:00,5619.587288807116,4745.5080847854515,1200.0,1326.3776260517602
2,2025-02-11,12:00-16:00,5812.91837897434,1181.8954397183786,1200.0,1326.3776260517602
2,2025-02-11,16:00-20:00,65.73872668247412,6517.544160949311,1200.0,1326.3776260517602
2,2025-02-11,20:00-24:00,834.6679778246605,3280.2891913094663,1200.0,1326.3776260517602
2,2025-02-12,0:00-4:00,8600.957148047317,67.17476859352746,1326.3776260517602,1235.7003585224807
2,2025-02-12,4:00-8:00,3276.269952882703,4545.258681678418,1326.3776260517602,1235.7003585224807
2,2025-02-12,8:00-12:00,5798.220536159047,5505.224827403142,1326.3776260517602,1235.7003585224807
2,2025-02-12,12:00-16:00,4376.694256603165,1631.647793783983,1326.3776260517602,1235.7003585224807
2,2025-02-12,16:00-20:00,134.060415761198,6380.765776050994,1326.3776260517602,1235.7003585224807
2,2025-02-12,20:00-24:00,713.8831771845549,2566.029099682006,1326.3776260517602,1235.7003585224807
2,2025-02-13,0:00-4:00,8368.103847731067,123.65702278944184,1235.7003585224807,1340.8040091371017
2,2025-02-13,4:00-8:00,3404.574520290445,5048.260616160898,1235.7003585224807,1340.8040091371017
2,2025-02-13,8:00-12:00,6040.869752660876,4283.323966666667,1235.7003585224807,1340.8040091371017
2,2025-02-13,12:00-16:00,3618.979613000353,760.5420272772283,1235.7003585224807,1340.8040091371017
2,2025-02-13,16:00-20:00,26.817117023783112,6515.796757710959,1235.7003585224807,1340.8040091371017
2,2025-02-13,20:00-24:00,840.3308991680857,3238.4177063797324,1235.7003585224807,1340.8040091371017
2,2025-02-14,0:00-4:00,5947.951532479347,142.7031546024923,1340.8040091371017,1238.1639679955833
2,2025-02-14,4:00-8:00,965.8214253738942,6204.998233108555,1340.8040091371017,1238.1639679955833
2,2025-02-14,8:00-12:00,5173.872783333333,8.272686123789738,1340.8040091371017,1238.1639679955833
2,2025-02-14,12:00-16:00,4945.415729205482,61.475398501871794,1340.8040091371017,1238.1639679955833
2,2025-02-14,16:00-20:00,15.577090616999499,6709.116314576737,1340.8040091371017,1238.1639679955833
2,2025-02-14,20:00-24:00,567.9073627872792,2825.698437245434,1340.8040091371017,1238.1639679955833
2,2025-02-15,0:00-4:00,5844.232189594437,241.76593705487483,1238.1639679955833,1200.0
2,2025-02-15,4:00-8:00,983.5738233908097,5916.4568128514575,1238.1639679955833,1200.0
2,2025-02-15,8:00-12:00,5914.222597490851,23.00818080513274,1238.1639679955833,1200.0
2,2025-02-15,12:00-16:00,4205.065915047967,87.54295067249329,1238.1639679955833,1200.0
2,2025-02-15,16:00-20:00,65.86404450448327,6471.227289812596,1238.1639679955833,1200.0
2,2025-02-15,20:00-24:00,517.1198453555063,3073.274921673833,1238.1639679955833,1200.0
2,2025-02-16,0:00-4:00,8426.241034540084,78.17706760912768,1200.0,1226.8514455725685
2,2025-02-16,4:00-8:00,3442.3569129792277,5235.127758088666,1200.0,1226.8514455725685
2,2025-02-16,8:00-12:00,5583.522257656621,5368.4333270695815,1200.0,1226.8514455725685
2,2025-02-16,12:00-16:00,5271.001484473912,726.4186100749682,1200.0,1226.8514455725685
2,2025-02-16,16:00-20:00,107.3834176302413,6772.607119450584,1200.0,1226.8514455725685
