name,scenario,seed,kind,method,weight,update_hours,anticipate,raw_pv,known_price,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,solver_calls,timeout_count,fallback_count,incumbent_count,gap_certified_count,final_soc,daily_cvar90,worst_day_cost,worst_date,cache_key
weekly,2,42,weekly,deterministic,0.0,[],True,False,False,19537844.91613038,19537844.91613038,661866.344229633,37060.0,6255746.17391661,5630332.440396616,1635108.0318733463,11777415.407688968,0.0,0.0,3869538.9325844334,15646954.3402734,0.0,33.98464957496617,334.0,0.0,0.0,0.0,334.0,1252.2126194292532,91843.81915355763,149425.22764972024,2025-06-01,b87651b80904af47
new_deterministic,2,42,mlp,deterministic,0.0,[],True,False,False,19421489.42026521,19421489.42026521,628285.6174340288,39410.0,6315396.677972004,5684067.42728647,1479256.2920470352,11677852.86107377,0.0,0.0,3674449.4188399934,15352302.279913763,0.0,17.69889313308522,334.0,0.0,0.0,0.0,334.0,1200.0,84488.05931153643,138741.68016550646,2025-06-01,11dcc1f0cbd5f8d1
primary,2,42,mlp,risk,0.1,[],True,False,False,19494424.579403117,19494424.579403117,579717.6630443097,36830.0,6316145.326189278,5684741.210682016,1503548.631973502,11755724.512758028,0.0,0.0,3373172.939952124,15128897.452710154,0.0,907.7401532150107,334.0,334.0,0.0,334.0,0.0,1200.0,83083.73793737212,138575.9787136527,2025-06-01,e1adab7c9c5c9092
periodic,2,42,periodic,deterministic,0.0,[],True,False,False,19576927.8786712,19576927.8786712,549745.630304618,34290.0,6341182.544297077,5707225.173739035,1553526.6434511114,11804823.083825326,0.0,0.0,3183791.1507727597,14988614.234598085,0.0,22.656951389973983,334.0,0.0,0.0,0.0,334.0,1252.2126194292532,84837.2764247096,154222.41144912122,2025-07-03,a80ab48d42aaa1b2
primary,2,2026,mlp,risk,0.1,[],True,False,False,19457266.100142546,19457266.100142546,603801.317320886,37120.0,6290689.782403614,5661827.54488478,1493015.684977932,11740110.470633205,0.0,0.0,3515799.270938576,15255909.74157178,0.0,910.3940939969616,334.0,334.0,0.0,334.0,0.0,1203.8752554677171,84317.02300516322,138083.4717411434,2025-06-01,0d695527de9c0931
yesterday,2,42,yesterday,deterministic,0.0,[],True,False,False,19232516.30869206,19232516.30869206,2003044.1169953202,66520.0,5755117.914810361,5179816.5404409915,2721069.5563513464,11636395.951862719,0.0,0.0,10470203.08231181,22106599.034174528,0.0,29.021974864648655,334.0,0.0,0.0,0.0,334.0,1200.0,207886.28038784175,251721.6641932798,2025-12-21,c6ff6be61b39ea79
primary,2,3407,mlp,risk,0.1,[],True,False,False,19447661.401874177,19447661.401874177,600019.8212447779,38180.0,6303628.335185258,5673475.918778399,1478339.311745428,11726270.605439762,0.0,0.0,3501627.228841599,15227897.834281363,0.0,906.9132698368048,334.0,334.0,0.0,334.0,0.0,1200.0,83317.62311321107,137380.57911516452,2025-06-01,abdda68ade2cb02f
legacy_rebased,2,42,legacy,deterministic,0.0,[],True,False,False,19310623.56978458,19310623.56978458,730041.0880550798,44340.0,6276030.03677205,5648637.450206511,1474082.5763074558,11613278.032118578,0.0,0.0,4229376.15856689,15842654.19068547,0.0,19.06835708755534,334.0,0.0,0.0,0.0,334.0,1200.0,92651.63688211233,142797.63500743534,2025-07-03,b046af101c7471d7
risk_zero,2,42,mlp,risk,0.0,[],True,False,False,19489775.561203886,19489775.561203886,580555.8783183631,36880.0,6315104.8815295035,5683804.810488218,1499841.873514303,11752599.614029866,0.0,0.0,3378999.755313137,15131599.369343001,0.0,907.2648069682764,334.0,334.0,0.0,334.0,0.0,1200.0,83095.26401980534,138597.2620986671,2025-06-01,31f9cb83c4aae83d
new_deterministic,3,42,mlp,deterministic,0.0,"[6, 12, 18]",True,False,False,19384212.947043777,19959480.47899568,168559.66313869678,24540.0,6493765.673392022,5844666.606726159,1539751.5805018472,11603606.349584563,805834.542874835,4551.552803237017,843855.9128998104,13257848.358162444,0.0,66.26386450894643,1336.0,0.0,0.0,0.0,1336.0,1215.1112354245256,63898.891390192555,86054.49544994779,2025-07-06,53a8d4b1b0b9b0b6
periodic,3,42,periodic,deterministic,0.0,"[6, 12, 18]",True,False,False,19741966.897290856,20266169.520210467,155997.49948998622,21500.0,6480750.78251999,5832918.007477991,1835144.749691789,11853505.864288975,707477.488285633,13686.275496942408,770486.8644580438,13345156.492529593,0.0,59.42498088045977,1336.0,0.0,0.0,0.0,1336.0,1252.2126194292532,64954.42141266726,81679.2376298513,2025-07-06,16e3a9445cdce170
