target,hour,base,correction,prediction,actual
load,0.08333333333333333,3617.1514,-40.968294531250194,3576.18310546875,3299.0689
load,0.25,3585.3143,-41.785735546875,3543.528564453125,3421.881
load,0.4166666666666667,3514.21,-42.188271484375036,3472.021728515625,3683.11
load,0.5833333333333334,3566.7633,-42.31237226562507,3524.450927734375,3476.737
load,0.75,3529.764,-40.797691406250124,3488.96630859375,3302.6695
load,0.9166666666666666,3390.6,-38.82265624999991,3351.77734375,3426.94
load,1.0833333333333333,3352.8783,-38.926639843749854,3313.95166015625,3609.5343
load,1.25,3308.9055,-37.98118359374985,3270.92431640625,3668.9025
load,1.4166666666666667,3260.08,-36.47379882812493,3223.606201171875,3589.3
load,1.5833333333333333,3353.4584,-38.86660312499998,3314.591796875,3503.6157
load,1.75,3552.8392,-42.00008867187489,3510.839111328125,3545.9703
load,1.9166666666666667,3655.73,-42.43288085937502,3613.297119140625,3590.66
load,2.0833333333333335,3484.6496,-39.39129921875019,3445.25830078125,3395.9017
load,2.25,3416.4269,-39.46742734374993,3376.95947265625,3276.7246
load,2.4166666666666665,3529.19,-42.682919921875055,3486.507080078125,3394.28
load,2.5833333333333335,3565.0967,-42.427754687500055,3522.6689453125,3587.5594
load,2.75,3662.8512,-43.15979375000006,3619.69140625,3605.7268
load,2.9166666666666665,3749.14,-44.65611328124987,3704.48388671875,3522.79
load,3.0833333333333335,3576.3344,-41.90568906250019,3534.4287109375,3631.2618
load,3.25,3450.3953,-39.291540234375134,3411.103759765625,3731.3543
load,3.4166666666666665,3522.37,-40.62512695312489,3481.744873046875,3721.01
load,3.5833333333333335,3631.228,-42.615695312500065,3588.6123046875,3699.7385
load,3.75,3569.4386,-41.98108046874995,3527.45751953125,3674.7825
load,3.9166666666666665,3455.04,-39.839316406249964,3415.20068359375,3623.58
load,4.083333333333333,3583.9838,-41.214024609374974,3542.769775390625,3538.7697
load,4.25,3645.8233,-41.70098554687502,3604.122314453125,3488.7843
load,4.416666666666667,3577.07,-40.343681640625164,3536.726318359375,3513.51
load,4.583333333333333,3630.4401,-40.8270628906248,3589.613037109375,3598.3779
load,4.75,3717.5034,-42.140118750000056,3675.36328125,3700.4359
load,4.916666666666667,3727.07,-42.449882812500164,3684.6201171875,3753.57
load,5.083333333333333,3652.3286,-41.030748437499824,3611.2978515625,3716.9811
load,5.25,3627.5869,-39.80296445312479,3587.783935546875,3707.0664
load,5.416666666666667,3625.87,-38.80554687499989,3587.064453125,3642.69
load,5.583333333333333,3603.0838,-38.05474726562488,3565.029052734375,3457.8398
load,5.75,4178.7819,-45.62174374999995,4133.16015625,4028.7787
load,5.916666666666667,4976.26,-53.81175781250022,4922.4482421875,4962.09
load,6.083333333333333,4927.8193,-52.17183906250011,4875.6474609375,4905.1198
load,6.25,4816.9758,-50.48507734375016,4766.49072265625,4660.8239
load,6.416666666666667,4945.2,-52.21660156249982,4892.9833984375,4703.75
load,6.583333333333333,4841.0708,-51.68505781250042,4789.3857421875,4726.9008
load,6.75,4756.7742,-49.56179765624984,4707.21240234375,4819.4733
load,6.916666666666667,4785.54,-48.192343749999964,4737.34765625,4880.33
load,7.083333333333333,4770.8891,-48.802185937500326,4722.0869140625,4689.3761
load,7.25,4933.7109,-51.13521640625004,4882.57568359375,4713.3646
load,7.416666666666667,5017.07,-50.72673828124971,4966.34326171875,4827.2
load,7.583333333333333,4678.8593,-45.003342968750076,4633.85595703125,4578.156
load,7.75,5430.5741,-53.53943203124982,5377.03466796875,5187.0368
load,7.916666666666667,6755.97,-69.30544921875025,6686.66455078125,6405.59
load,8.083333333333334,6545.8122,-62.5831960937503,6483.22900390625,6658.0486
load,8.25,6234.5498,-57.95165546874978,6176.59814453125,6606.6001
load,8.416666666666666,6481.09,-61.386386718750146,6419.70361328125,6687.27
load,8.583333333333334,6510.8474,-62.42894296874965,6448.41845703125,6649.776
load,8.75,6551.7773,-63.40034687499974,6488.376953125,6705.5335
load,8.916666666666666,6666.06,-65.0497460937504,6601.01025390625,6757.81
load,9.083333333333334,6601.3223,-62.865268749999814,6538.45703125,6494.2004
load,9.25,6573.4361,-61.7339515624999,6511.7021484375,6436.4392
load,9.416666666666666,6614.79,-61.632285156249964,6553.15771484375,6570.85
load,9.583333333333334,6548.6468,-60.43293281250044,6488.2138671875,6399.3635
load,9.75,6569.7745,-60.687585937500444,6509.0869140625,6445.9301
load,9.916666666666666,6666.81,-62.0116601562504,6604.79833984375,6697.43
load,10.083333333333334,6615.2017,-61.21586015624962,6553.98583984375,6577.9956
load,10.25,6539.3464,-60.18917343750036,6479.1572265625,6445.2772
load,10.416666666666666,6477.96,-59.337441406250036,6418.62255859375,6473.61
load,10.583333333333334,6366.0057,-57.424157031249706,6308.58154296875,6454.2353
load,10.75,6413.9505,-57.99151562499992,6355.958984375,6352.336
load,10.916666666666666,6574.38,-60.02208984375011,6514.35791015625,6279.9
load,11.083333333333334,6549.5232,-58.72730156249963,6490.7958984375,6362.0436
load,11.25,6360.3078,-55.46697968749959,6304.8408203125,6393.8373
load,11.416666666666666,6232.56,-53.4511132812504,6179.10888671875,6360.1
load,11.583333333333334,6357.7494,-54.785532812499696,6302.9638671875,6424.0276
load,11.75,6325.6393,-54.71644843749982,6270.9228515625,6379.6216
load,11.916666666666666,6078.6,-52.181542968750364,6026.41845703125,6168.32
load,12.083333333333334,5973.117,-51.02178515625019,5922.09521484375,5958.8116
load,12.25,6003.5669,-50.988774999999805,5952.578125,5855.2299
load,12.416666666666666,6043.44,-51.2168554687496,5992.22314453125,5883.66
load,12.583333333333334,6007.2071,-51.09918984374963,5956.10791015625,6006.2794
load,12.75,6064.0725,-51.71263671875022,6012.35986328125,6168.3548
load,12.916666666666666,6254.85,-52.986718750000364,6201.86328125,6351.38
load,13.083333333333334,6422.854,-53.82177343750027,6369.0322265625,6510.6216
load,13.25,6403.1925,-53.49279296875011,6349.69970703125,6358.8315
load,13.416666666666666,6313.29,-52.929648437499964,6260.3603515625,6039.3
load,13.583333333333334,6396.8916,-53.498045312499926,6343.3935546875,6028.9848
load,13.75,6299.9773,-52.53198749999956,6247.4453125,6177.7813
load,13.916666666666666,6106.75,-50.95556640625,6055.79443359375,6280.02
load,14.083333333333334,6255.132,-52.25260546874961,6202.87939453125,6283.4823
load,14.25,6265.1371,-51.93153359374992,6213.20556640625,6314.912
load,14.416666666666666,6109.64,-50.05064453125033,6059.58935546875,6352.79
load,14.583333333333334,6254.7096,-51.26086953125014,6203.44873046875,6259.4213
load,14.75,6398.0053,-52.42668671874981,6345.57861328125,6190.1146
load,14.916666666666666,6358.98,-51.89796874999956,6307.08203125,6156.64
load,15.083333333333334,6262.9226,-51.125236718749875,6211.79736328125,6039.3659
load,15.25,6174.0028,-50.01940156250021,6123.9833984375,6054.6789
load,15.416666666666666,6169.43,-49.50177734375029,6119.92822265625,6187.68
load,15.583333333333334,6264.8243,-50.56453437500022,6214.259765625,6195.3721
load,15.75,6126.1485,-49.02838281250024,6077.1201171875,6186.1376
load,15.916666666666666,5880.11,-46.27894531249967,5833.8310546875,6200.17
load,16.083333333333332,5993.8657,-47.65427421875029,5946.21142578125,6153.3743
load,16.25,6119.1519,-48.87602109374984,6070.27587890625,6101.7592
load,16.416666666666668,6080.34,-47.841464843750146,6032.49853515625,6118.95
load,16.583333333333332,6051.7025,-47.52525390625033,6004.17724609375,6209.4949
load,16.75,6078.2733,-47.821151562499836,6030.4521484375,6190.199
load,16.916666666666668,6196.49,-49.07447265624978,6147.41552734375,6102.19
load,17.083333333333332,6367.7307,-51.55296562500007,6316.177734375,6143.2969
load,17.25,6177.7386,-49.29768203124968,6128.44091796875,6075.0134
load,17.416666666666668,5943.23,-46.07863281249956,5897.1513671875,6025.68
load,17.583333333333332,6260.5833,-49.478807812500236,6211.1044921875,6213.4416
load,17.75,5643.5605,-45.60981640624959,5597.95068359375,5394.1467
load,17.916666666666668,4339.62,-33.32800781249989,4306.2919921875,4094.12
load,18.083333333333332,4184.4013,-32.09710078125045,4152.30419921875,4187.9837
load,18.25,4355.2005,-34.43926953124992,4320.76123046875,4441.4267
