scenario,month,total_cost,emergency_kwh,final_soc
2,2,1200473.179567465,17909.64186755392,1320.0027798287438
2,3,1258602.5401821486,46737.89784990702,1415.7177856764397
2,4,1073053.0155289394,42889.27173879693,1200.0
2,5,1224927.6034232401,72821.640300016,1316.237828715971
2,6,1763859.220380998,119571.86194344536,1200.0
2,7,1659152.772769542,71015.82986340958,1461.900629814882
2,8,1292934.0310740327,18890.32986303104,1712.144908323548
2,9,1230341.8946729433,42643.152109844166,1314.3471786780483
2,10,1155926.7459903157,26328.415896609193,1721.5794768006222
2,11,1369311.8358234004,42757.85648947254,1239.3089865253007
2,12,1900314.6132971272,78151.76512222404,1200.0
3,2,1205698.1844664845,13228.957740132304,1200.0
3,3,1134782.6204517914,22289.84785969276,1316.899382453778
3,4,967111.757230518,20033.893831342877,1200.0
3,5,1063082.1854422055,37337.17650984445,1338.6453890407038
3,6,1435166.7372773471,51141.885524446654,1200.0
3,7,1595259.4939798848,53925.38591937681,1351.1011462853794
3,8,1239125.7714164208,9697.547592485174,1472.6602492498987
3,9,1170748.3978933776,32816.56499846586,1221.0337506532665
3,10,1134732.302938243,20974.264867194233,1492.6002098799015
3,11,1305079.0993598858,27120.853919885652,1200.0
3,12,1754276.2254195984,41211.75617555361,1200.0
4-2,2,1266415.3626478962,17307.474031658832,1309.1317551514146
4-2,3,1249109.612738494,45824.636472283,1411.8266609298507
4-2,4,1053970.2551023292,44148.95362691655,1200.0
4-2,5,1186373.5209860178,72204.86991625019,1308.5441788244038
4-2,6,1839689.2949279968,118455.39752982106,1200.0
4-2,7,1885705.313799051,70092.824585213,1437.5724464355412
4-2,8,1446214.6917588077,20993.97132959296,1629.4450794380225
4-2,9,1238159.146428469,43268.12005344143,1311.956441373749
4-2,10,1150815.814392452,25736.516419340674,1723.0201500830783
4-2,11,1415676.2687679871,42863.815504984086,1210.988224049995
4-2,12,2169267.9195629167,78641.93986503124,1200.0
4-3,2,1265662.5743905231,12878.681753999483,1212.18218403102
4-3,3,1128484.7603669025,21800.395341880398,1413.269727247212
4-3,4,949330.1330351655,20807.37141623706,1200.0
4-3,5,1037686.15987862,37871.35562870826,1381.4410506144754
4-3,6,1503581.0260899486,50190.948355623994,1200.0
4-3,7,1823848.1814153471,54868.597644730675,1399.86793105449
4-3,8,1379937.0679264048,9586.40030964401,1389.5007481175755
4-3,9,1176431.1708407917,33510.33112066244,1221.0337506532665
4-3,10,1126239.6445573943,20537.27811930822,1472.0925099423227
4-3,11,1344256.9270993206,25941.247752510517,1200.0
4-3,12,1999467.4793247983,41090.543700778784,1200.0
