name,scenario,seed,kind,method,weight,update_hours,anticipate,raw_pv,known_price,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,solver_calls,timeout_count,fallback_count,incumbent_count,gap_certified_count,final_soc,daily_cvar90,worst_day_cost,worst_date,cache_key
primary,2,42,mlp,risk,0.1,[],True,False,False,19494424.579403117,19494424.579403117,579717.6630443097,36830.0,6316145.326189278,5684741.210682016,1503548.631973502,11755724.512758028,0.0,0.0,3373172.939952124,15128897.452710154,0.0,907.7401532150108,334.0,334.0,0.0,334.0,0.0,1200.0,83083.73793737212,138575.9787136527,2025-06-01,e1adab7c9c5c9092
primary,2,2026,mlp,risk,0.1,[],True,False,False,19457266.100142542,19457266.100142542,603801.317320886,37120.0,6290689.782403614,5661827.54488478,1493015.684977932,11740110.470633203,0.0,0.0,3515799.270938576,15255909.74157178,0.0,910.3940939969616,334.0,334.0,0.0,334.0,0.0,1203.8752554677171,84317.02300516322,138083.4717411434,2025-06-01,0d695527de9c0931
primary,2,3407,mlp,risk,0.1,[],True,False,False,19447661.401874177,19447661.401874177,600019.8212447779,38180.0,6303628.335185258,5673475.918778399,1478339.311745428,11726270.605439762,0.0,0.0,3501627.228841599,15227897.834281364,0.0,906.9132698368048,334.0,334.0,0.0,334.0,0.0,1200.0,83317.62311321107,137380.57911516452,2025-06-01,abdda68ade2cb02f
primary,4-2,42,mlp,risk,0.0,[],True,False,False,19573922.336412143,19573922.336412143,579538.519334533,34410.0,7050499.228816824,6345629.918866808,1509402.050829993,12432922.19044825,0.0,0.0,3468475.010664167,15901397.20111242,0.0,927.9434407065856,334.0,334.0,0.0,334.0,0.0,1200.0,93158.98810154504,161116.90876955137,2025-07-06,9b2de8e15a33b1f3
primary,4-2,2026,mlp,risk,0.0,[],True,False,False,19535866.889595143,19535866.889595143,595813.3317985246,34420.0,6992830.767051341,6293728.303277873,1493388.262653533,12417757.338561442,0.0,0.0,3584528.263508677,16002285.60207012,0.0,941.3173938643886,334.0,334.0,0.0,334.0,0.0,1200.0,94378.57503302804,158216.63163592404,2025-07-06,ccd9bb3c90d0467c
primary,4-2,3407,mlp,risk,0.0,[],True,False,False,19525998.81946609,19525998.81946609,596076.2335893125,35090.0,7008502.220456,6307832.611342067,1482215.9489748075,12401291.456647769,0.0,0.0,3594641.450380124,15995932.907027893,0.0,945.679658833542,334.0,334.0,0.0,334.0,0.0,1200.0,93845.57375660316,155657.99366419978,2025-07-06,8f9151cfa5f3f9f4
primary,3,2026,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19447454.18432691,19729988.389890477,333372.48997697176,38170.0,6346808.227244349,5712419.240969915,1489782.3986263457,11700359.903286124,538587.6742867739,1073.7249297323533,1772858.422890112,14012879.725392744,0.0,3345.7313452486414,1336.0,1335.0,0.0,1336.0,0.0,1200.0,69198.95109717114,106463.7718575101,2025-07-06,7e31a46ae0df9f6d
primary,3,3407,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19356461.01612015,19666696.752901956,344396.0536167985,39350.0,6327250.476093165,5694817.264933848,1439470.1003927724,11647744.68362566,592653.6327131909,1216.6939055712576,1843868.167730628,14085483.17797505,0.0,3348.517455877736,1336.0,1335.0,0.0,1336.0,0.0,1200.0,69225.44887977635,104919.67268596248,2025-07-06,a61a1d24c26e30a1
primary,3,42,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19422206.04017596,19722263.38135165,329778.1349384204,38150.0,6329181.639486106,5696555.311987494,1480225.6938247918,11689414.734288473,572139.8932243899,1101.8064224510772,1742406.3419404435,14005062.775875758,0.0,3355.8206974655623,1336.0,1336.0,0.0,1336.0,0.0,1200.0,69501.19787399146,110828.22604086946,2025-07-06,3c81861a0e254915
primary,4-3,2026,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19523097.87749981,19809720.37548725,327072.8232481195,33120.0,7030946.838033216,6328158.331071562,1494815.1968070422,12392258.188150072,555832.7352295851,964.5883029379036,1783638.868766313,14732694.380448911,0.0,3355.828125376953,1336.0,1334.0,0.0,1336.0,0.0,1200.0,79845.28277248295,124776.03990888892,2025-07-06,64a5879e1400da2f
primary,4-3,42,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19499877.06884769,19797632.484700862,329083.1511440838,33540.0,7051688.563505234,6346825.883996377,1482663.461369427,12374774.038644567,582179.8409206001,905.352234418932,1777065.893125631,14734925.124925217,0.0,3356.185959791299,1336.0,1335.0,0.0,1336.0,0.0,1200.0,80214.86419805605,126344.46669884544,2025-07-06,6b53bb95cd240737
primary,4-3,3407,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19428617.8189987,19742538.176068462,340073.351422983,35210.0,7019186.587817708,6317574.105877604,1441809.5505846809,12333767.45299782,615765.8151441739,1373.909792205488,1848875.0941499944,14799782.272084195,0.0,3340.465535456082,1336.0,1336.0,0.0,1336.0,0.0,1200.0,79669.46243724613,121148.50223223824,2025-07-06,a1a575ec5994fe84
