variant,seed,target,population,n,absolute_error_sum,squared_error_sum,actual_abs_sum,mae,rmse,wape_pct
mlp,2026,load,all,192168,31637760.5877375,9574544857.585327,887487989.598,164.63594660785094,223.2125114910263,3.5648663371848293
mlp,2026,price,all,192168,7941.217430632573,600.3687886655824,145615.9419,0.0413243486461459,0.0558944282605892,5.453535737238241
mlp,2026,pv,all,192168,33208348.139102627,22808133127.22117,457271934.1543,172.8089387364318,344.5119846877115,7.262275608609063
mlp,2026,pv,generating,107413,33075425.122920297,22804756256.172665,457271934.1543,307.92757974286445,460.7701050842478,7.2332069065405316
mlp,2026,pv_corrected,all,192168,30376171.682561178,17040396759.262775,457271934.1543,158.07091546230996,297.7825990345001,6.642911889779609
mlp,2026,pv_corrected,generating,107413,29757690.12976994,16910129103.41994,457271934.1543,277.03993119799225,396.7756743625736,6.507657240063334
mlp,3407,load,all,192168,31098851.546667576,9195576164.768955,887487989.598,161.83158250420246,218.7504413070888,3.504143369957517
mlp,3407,price,all,192168,7925.584400477123,599.0960864362632,145615.9419,0.0412429977960801,0.055835152441257,5.442799941451413
mlp,3407,pv,all,192168,32669585.165015537,22209885538.756668,457271934.1543,170.005334733231,339.96376092478584,7.144454475526951
mlp,3407,pv,generating,107413,32562267.93012917,22207271510.431835,457271934.1543,303.1501580826266,454.69395241290295,7.12098545701287
mlp,3407,pv_corrected,all,192168,30354456.253463738,16898385179.536448,457271934.1543,157.95791314612077,296.53916986753734,6.6381629805473805
mlp,3407,pv_corrected,generating,107413,29703412.621256836,16762018937.401695,457271934.1543,276.53461518863486,395.0342400917743,6.495787386599992
mlp,42,load,all,192168,31460700.03239785,9423414106.215391,887487989.598,163.71456242661552,221.4438396092041,3.5449155820856135
mlp,42,price,all,192168,8000.073520502192,610.3391790047577,145615.9419,0.0416306227910067,0.0563566396148199,5.493954450396747
mlp,42,pv,all,192168,33154319.800736062,22757772015.138466,457271934.1543,172.52778714841216,344.1314275743097,7.2504602457295375
mlp,42,pv,generating,107413,33018859.708403893,22754448280.53084,457271934.1543,307.4009636487566,460.26158814914953,7.220836714912432
mlp,42,pv_corrected,all,192168,30408966.449215785,17140688815.633492,457271934.1543,158.24157221397832,298.65762017305246,6.650083719976286
mlp,42,pv_corrected,generating,107413,29755862.449941732,17009711641.112854,457271934.1543,277.02291575453376,397.9422511589976,6.507257547956362
