scenario,seed,calls,timed_out,fallback,gap_known,gap_met,mean_solver_seconds,max_solver_seconds,max_constraint_residual,max_controller_error
2,42,334,334,0,0,0,2.1038870716563003,2.715303749893792,2.3283064365386963e-10,1.5376144801848568e-11
2,2026,334,334,0,0,0,2.1103499144365214,2.7641062488546595,2.3283064365386963e-10,9.094947017729282e-12
2,3407,334,334,0,0,0,2.098023946614501,2.665692625916563,2.9103830456733704e-10,2.1110224679432577e-11
3,42,1336,1336,0,0,0,2.096671324519111,2.9513510830001906,2.9103830456733704e-10,9.094947017729282e-12
3,2026,1336,1335,0,0,0,2.0927420679561224,2.620221374905668,5.238689482212067e-10,9.094947017729282e-12
3,3407,1336,1335,0,0,0,2.0943101831384365,2.4878817499848083,2.9103830456733704e-10,9.094947017729282e-12
4-2,42,334,334,0,0,0,2.088239436484678,2.598308000015095,4.656612873077393e-10,9.094947017729282e-12
4-2,2026,334,334,0,0,0,2.0888035917925802,2.602327417000197,3.4924596548080444e-10,8.640199666842818e-12
4-2,3407,334,334,0,0,0,2.089867399696297,2.5254229590063915,5.238689482212067e-10,9.549694368615746e-12
4-3,42,1336,1335,0,0,0,2.1031010676207424,3.069598708068952,4.074536263942718e-10,1.8189894035458565e-11
4-3,2026,1336,1334,0,0,0,2.09578890542773,3.0547156671527773,4.656612873077393e-10,1.318767317570746e-11
4-3,3407,1336,1336,0,0,0,2.0977319347851493,3.171630583005026,2.9103830456733704e-10,9.586915924860111e-12
