scenario,date,planned_kwh,final_kwh,total_cost,emergency_kwh,initial_soc,final_soc,plan_10,grid_10,plan_12,grid_12,plan_14,grid_14,plan_16,grid_16,plan_18,grid_18,plan_20,grid_20
2,2025-03-20,62291.17768489754,62291.17768489754,51096.02229749523,2045.073454393356,1375.649367602043,1292.116020852463,0.0,0.0,513.2740926617806,513.2740926617806,0.0,0.0,418.33254736179924,418.33254736179924,0.0,0.0,0.0,0.0
2,2025-06-21,32910.22575188806,32910.22575188806,20028.79106039617,361.47946137706157,1372.5643068208756,1976.0868129918254,0.0,0.0,0.0,0.0,0.0,0.0,121.6611187451975,121.6611187451975,0.0,0.0,0.0,0.0
2,2025-09-23,62943.60541463063,62943.60541463063,55193.932218044254,2611.0616807356646,1220.2641064039508,1477.651303327081,0.0,0.0,572.5261871190613,572.5261871190613,0.0,0.0,476.7551160160671,476.7551160160671,749.3904495843773,749.3904495843773,3.585868115688868,3.585868115688868
2,2025-12-21,89008.75750595686,89008.75750595686,71715.0909494047,2688.6082528150378,1299.041493057046,1298.500091461765,0.0,0.0,880.8340686168674,880.8340686168674,0.0,0.0,772.7295776422784,772.7295776422784,0.0,0.0,0.0,0.0
3,2025-03-20,63759.830276503635,63992.25650316207,42221.04117697382,607.6313572119234,1350.988565304243,1217.4461945052649,0.0,0.0,555.5433197387532,555.5433197387532,0.0,0.0,460.0078367597837,460.0078367597837,0.0,4.836316007044282,0.0,0.0
3,2025-06-21,33011.70979663967,33192.89954805274,18726.428850829107,0.0,1303.4124497112145,2227.151722377946,0.0,0.0,0.0,0.0,0.0,0.0,147.08170112745566,147.08170112745566,0.0,0.0,0.0,0.0
3,2025-09-23,63192.86921204012,63889.67915502873,46309.3314654344,1090.5751309465932,1200.0,1349.4030650338998,0.0,0.0,424.77578082614315,404.5281047744816,0.0,0.0,499.8626282914934,499.8626282914934,734.7065603807627,738.4845117840123,12.339992729175833,12.339992729175833
3,2025-12-21,88837.68733489091,89991.66594400936,67573.18004151009,1631.8062704248978,1266.7890031609402,1200.0,0.0,0.0,905.6010614906293,916.8348726514537,0.0,0.0,749.1520729334816,749.1520729334816,0.0,11.930881329126352,0.0,0.0
4-2,2025-03-20,62455.2353044305,62455.2353044305,52357.21966554677,2220.5798102875406,1395.9082972167462,1302.3554396252212,0.0,0.0,513.2740926617806,513.2740926617806,0.0,0.0,418.33254736179924,418.33254736179924,0.0,0.0,744.493158772926,744.493158772926
4-2,2025-06-21,33396.53322710071,33396.53322710071,17149.209978171693,388.3439235918954,1347.5982997988995,2002.8054033602766,0.0,0.0,0.0,0.0,0.0,0.0,121.6611187451975,121.6611187451975,0.0,0.0,47.50631358747564,47.50631358747564
4-2,2025-09-23,62846.98995898903,62846.98995898903,56912.838824267266,2678.545465604004,1218.9419294843485,1455.7498068101406,0.0,0.0,572.5261871190613,572.5261871190613,0.0,0.0,476.7551160160671,476.7551160160671,749.3904495843773,749.3904495843773,3.585868115688868,3.585868115688868
4-2,2025-12-21,88916.90387038844,88916.90387038844,84416.3636264528,2702.198798021751,1397.6653890074936,1271.0017821528343,25.091749482350693,25.091749482350693,880.8340686168674,880.8340686168674,0.0,0.0,772.7295776422784,772.7295776422784,721.4907048000678,721.4907048000678,0.0,0.0
4-3,2025-03-20,64274.17689889509,64475.666484596644,43267.07779327601,589.2333395295411,1240.233414542772,1229.7347472606862,0.0,0.0,513.2863387201191,513.2863387201191,0.0,0.0,501.55475538490595,509.36805895316434,0.0,0.0,728.3676011031631,728.3676011031631
4-3,2025-06-21,33433.23814099099,33766.73093306842,16835.687210749955,182.62894313747393,1383.9948164410237,2407.3057683911975,0.0,0.0,0.0,0.0,0.0,0.0,113.76144864713638,113.76144864713638,0.0,0.0,0.0,0.0
4-3,2025-09-23,63248.950172375306,63372.43607518121,51158.27467875987,1681.4572311956003,1200.0,1257.2526346364466,0.0,0.0,424.77578082614315,424.77578082614315,0.0,0.0,499.8626282914934,503.7568426775676,734.7065603807627,738.4845117840123,12.339992729175833,12.339992729175833
4-3,2025-12-21,88937.73836071836,90142.04139477623,78942.96952461707,1566.3225683314447,1254.871946792396,1200.0,0.0,0.0,919.0079549324265,919.0079549324265,0.0,0.0,741.4485818022544,741.4485818022544,701.590363739898,702.8099663886296,0.0,0.0
