scenario,date,period,original,final
2,2025-03-20,10:00-10:10,0.0,0.0
2,2025-03-20,12:00-12:10,513.2740926617806,513.2740926617806
2,2025-03-20,14:00-14:10,0.0,0.0
2,2025-03-20,16:00-16:10,418.33254736179924,418.33254736179924
2,2025-03-20,18:00-18:10,0.0,0.0
2,2025-03-20,20:00-20:10,0.0,0.0
2,2025-06-21,10:00-10:10,0.0,0.0
2,2025-06-21,12:00-12:10,0.0,0.0
2,2025-06-21,14:00-14:10,0.0,0.0
2,2025-06-21,16:00-16:10,121.6611187451975,121.6611187451975
2,2025-06-21,18:00-18:10,0.0,0.0
2,2025-06-21,20:00-20:10,0.0,0.0
2,2025-09-23,10:00-10:10,0.0,0.0
2,2025-09-23,12:00-12:10,572.5261871190613,572.5261871190613
2,2025-09-23,14:00-14:10,0.0,0.0
2,2025-09-23,16:00-16:10,476.7551160160671,476.7551160160671
2,2025-09-23,18:00-18:10,749.3904495843773,749.3904495843773
2,2025-09-23,20:00-20:10,3.585868115688868,3.585868115688868
2,2025-12-21,10:00-10:10,0.0,0.0
2,2025-12-21,12:00-12:10,880.8340686168674,880.8340686168674
2,2025-12-21,14:00-14:10,0.0,0.0
2,2025-12-21,16:00-16:10,772.7295776422784,772.7295776422784
2,2025-12-21,18:00-18:10,0.0,0.0
2,2025-12-21,20:00-20:10,0.0,0.0
3,2025-03-20,10:00-10:10,0.0,0.0
3,2025-03-20,12:00-12:10,555.5433197387532,555.5433197387532
3,2025-03-20,14:00-14:10,0.0,0.0
3,2025-03-20,16:00-16:10,460.0078367597837,460.0078367597837
3,2025-03-20,18:00-18:10,0.0,4.836316007044282
3,2025-03-20,20:00-20:10,0.0,0.0
3,2025-06-21,10:00-10:10,0.0,0.0
3,2025-06-21,12:00-12:10,0.0,0.0
3,2025-06-21,14:00-14:10,0.0,0.0
3,2025-06-21,16:00-16:10,147.08170112745566,147.08170112745566
3,2025-06-21,18:00-18:10,0.0,0.0
3,2025-06-21,20:00-20:10,0.0,0.0
3,2025-09-23,10:00-10:10,0.0,0.0
