predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,policy_label,experiment,name,seed,order,case_id,alpha_load,alpha_pv,target_label,month_label
exp001_selected,2,0,2,monthly,load,all,kW,4032,1059476.1950023435,466000380.5501326,202772.4906617187,18212126.7901,262.7669134430416,339.9639557480619,5.817421585150991,50.29079629506913,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,2月
exp001_selected,2,0,3,monthly,load,all,kW,4464,612186.611664453,136427719.08046943,32214.408865234374,19443840.3155,137.13857788182193,174.81923528887455,3.1484861104132693,7.216489441136733,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,3月
exp001_selected,2,0,4,monthly,load,all,kW,4320,534256.3317886719,103010445.60413326,-135911.95769101562,18977659.7719,123.67044717330369,154.4182973501273,2.8151855297761164,-31.46110131736473,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,4月
exp001_selected,2,0,5,monthly,load,all,kW,4464,691090.61075625,181709823.78262493,-209814.65889843748,19649089.488,154.81420491851478,201.75630271709457,3.517163536652982,-47.00149168871808,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,5月
exp001_selected,2,0,6,monthly,load,all,kW,4320,862252.2107515625,317064757.1737976,-369083.534590625,20737609.7592,199.5954191554543,270.91441400589383,4.157915115405402,-85.43600337745949,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,6月
exp001_selected,2,0,7,monthly,load,all,kW,4464,1257312.0221683593,626577963.9046826,-544746.8855730469,23825522.6407,281.6559189445249,374.6497659298135,5.277164497623877,-122.0311123595535,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,7月
exp001_selected,2,0,8,monthly,load,all,kW,4464,823657.1834585937,245191809.96686903,282233.07308125,22521670.3527,184.51101779986416,234.36399195982565,3.6571762687213383,63.224254722502245,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,8月
exp001_selected,2,0,9,monthly,load,all,kW,4320,922676.6469332032,388859168.570214,402821.3034910156,19595133.0698,213.5825571604637,300.02282651206775,4.708703144023204,93.24567210440176,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,9月
exp001_selected,2,0,10,monthly,load,all,kW,4464,590546.1389679688,133152510.4658586,103120.562965625,19405095.0093,132.29080174013637,172.70805233375236,3.0432530151743458,23.100484535310255,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,10月
exp001_selected,2,0,11,monthly,load,all,kW,4320,532416.3404535155,101916414.58716032,24972.67072773438,18738740.217699997,123.2445232531286,153.5961022810043,2.841260054134336,5.780710816605181,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,11月
exp001_selected,2,0,12,monthly,load,all,kW,4464,783656.027114453,245117756.93258393,-308387.7229925781,20941989.5206,175.55018528549576,234.32859788334224,3.7420323715833894,-69.0832712796994,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,12月
exp001_selected,2,0,2,monthly,load,pv_generating,kW,2036,650954.0369710937,337424125.382458,69083.77695468749,11041710.0541,319.7220220879635,407.0981966797576,5.89540962207554,33.931128170278726,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,2月
exp001_selected,2,0,3,monthly,load,pv_generating,kW,2426,349980.04700546875,83035764.48532814,54632.625169531246,12447297.5511,144.26217930975628,185.00658895747077,2.8116950331483004,22.519631149848,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,3月
exp001_selected,2,0,4,monthly,load,pv_generating,kW,2526,316807.64828125003,62497968.99760599,-80389.91871640625,12832349.4944,125.41870478275932,157.2954930342946,2.4688202921803524,-31.824987615362726,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,4月
exp001_selected,2,0,5,monthly,load,pv_generating,kW,2747,392475.1472660157,93070654.7992001,-106251.57945664064,13593091.3839,142.87409802184771,184.0674750839054,2.887313387231937,-38.679133402490216,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,5月
exp001_selected,2,0,6,monthly,load,pv_generating,kW,2765,504797.8429562499,173024079.3348421,-195579.9011429687,14541332.1321,182.56703181057864,250.15299429568415,3.471469039909407,-70.73414146219484,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,6月
exp001_selected,2,0,7,monthly,load,pv_generating,kW,2784,777623.046096875,377664523.1074783,-331639.6158609375,16157122.530900002,279.3186228796246,368.3142141047427,4.812880787465062,-119.12342523740573,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,7月
exp001_selected,2,0,8,monthly,load,pv_generating,kW,2668,497913.6974363281,151611727.45908278,168272.93551210937,14745514.2869,186.6243243764348,238.38201443220012,3.376712997244711,63.07081540933635,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,8月
exp001_selected,2,0,9,monthly,load,pv_generating,kW,2415,464089.5746011719,180233828.42980817,162378.90835820316,12617957.8663,192.1695961081457,273.18672159726833,3.678008593138996,67.23764321250648,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,9月
exp001_selected,2,0,10,monthly,load,pv_generating,kW,2321,289687.88835664064,58658894.08906002,16750.228616796885,11964408.5436,124.81167098519632,158.97519457418795,2.4212470453593835,7.216815431622957,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,10月
exp001_selected,2,0,11,monthly,load,pv_generating,kW,2095,266282.4573136719,52011254.58680354,-5238.457644140613,10922633.644900002,127.10379824041615,157.56387436351275,2.437896078644042,-2.5004571093749943,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,11月
exp001_selected,2,0,12,monthly,load,pv_generating,kW,2097,406717.07201054686,142521137.80731165,-193639.30647773435,11943412.0743,193.95187029592125,260.6996362431235,3.405367490298073,-92.34110943144223,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,负载,12月
exp001_selected,2,0,2,monthly,net_load,all,kW,4032,1283212.7107831412,772941612.5935806,132689.7343857185,11949435.2218,318.2571207299457,437.8376283940128,10.738689209696766,32.90916031391828,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,2月
exp001_selected,2,0,3,monthly,net_load,all,kW,4464,1155919.116861092,696520050.8487236,10709.634285284412,12562015.0946,258.9424544939722,395.0069332817639,9.20170138434226,2.3991116230475833,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,3月
