month,seed,epochs,best_epoch,training_seconds,prediction_seconds,parameters,device
2,42,60,60,5.107242792029865,0.11440558300819248,2178,/job:localhost/replica:0/task:0/device:GPU:0
3,42,60,60,5.764855209039524,0.13764708302915096,2178,/job:localhost/replica:0/task:0/device:GPU:0
4,42,60,60,7.569183833897114,0.04518983408343047,2178,/job:localhost/replica:0/task:0/device:GPU:0
5,42,60,57,9.23770225001499,0.033958334010094404,2178,/job:localhost/replica:0/task:0/device:GPU:0
6,42,60,57,12.556083375005983,0.027521457988768816,2178,/job:localhost/replica:0/task:0/device:GPU:0
7,42,49,43,12.316126834019087,0.03837720793671906,2178,/job:localhost/replica:0/task:0/device:GPU:0
8,42,36,30,10.660229875007644,0.039931584033183753,2178,/job:localhost/replica:0/task:0/device:GPU:0
9,42,40,34,13.439095083042048,0.03602783300448209,2178,/job:localhost/replica:0/task:0/device:GPU:0
10,42,48,42,19.04382008302491,0.04107162496075034,2178,/job:localhost/replica:0/task:0/device:GPU:0
11,42,30,24,13.256015666993335,0.048639583052136004,2178,/job:localhost/replica:0/task:0/device:GPU:0
12,42,33,27,15.708524957997724,0.04031870898324996,2178,/job:localhost/replica:0/task:0/device:GPU:0
2,2026,60,60,4.159099624957889,0.02144758403301239,2178,/job:localhost/replica:0/task:0/device:GPU:0
3,2026,60,60,5.5111679579131305,0.04053558292798698,2178,/job:localhost/replica:0/task:0/device:GPU:0
4,2026,60,60,7.883224165998399,0.04037845798302442,2178,/job:localhost/replica:0/task:0/device:GPU:0
5,2026,60,60,9.692058457992971,0.026091999956406653,2178,/job:localhost/replica:0/task:0/device:GPU:0
6,2026,60,57,13.118502291967161,0.038238000008277595,2178,/job:localhost/replica:0/task:0/device:GPU:0
7,2026,52,46,13.062398750102147,0.02978679200168699,2178,/job:localhost/replica:0/task:0/device:GPU:0
8,2026,47,41,14.983732375083491,0.035306291887536645,2178,/job:localhost/replica:0/task:0/device:GPU:0
9,2026,39,33,14.100955750094727,0.035206208005547523,2178,/job:localhost/replica:0/task:0/device:GPU:0
10,2026,51,45,19.31848620797973,0.048752917093224823,2178,/job:localhost/replica:0/task:0/device:GPU:0
11,2026,44,38,19.664998459047638,0.04882224998436868,2178,/job:localhost/replica:0/task:0/device:GPU:0
12,2026,38,32,18.125818166066892,0.03994075010996312,2178,/job:localhost/replica:0/task:0/device:GPU:0
2,3407,60,60,4.1259582919301465,0.039234458934515715,2178,/job:localhost/replica:0/task:0/device:GPU:0
3,3407,60,60,4.966362250037491,0.023903542081825435,2178,/job:localhost/replica:0/task:0/device:GPU:0
4,3407,60,60,7.261202333960682,0.029518416966311634,2178,/job:localhost/replica:0/task:0/device:GPU:0
5,3407,60,59,9.44571162504144,0.04199416597839445,2178,/job:localhost/replica:0/task:0/device:GPU:0
6,3407,60,59,12.010172709007747,0.03740666597150266,2178,/job:localhost/replica:0/task:0/device:GPU:0
7,3407,51,45,13.963713542092592,0.027124458109028637,2178,/job:localhost/replica:0/task:0/device:GPU:0
8,3407,32,26,9.591655917000026,0.04569399997126311,2178,/job:localhost/replica:0/task:0/device:GPU:0
9,3407,60,58,19.8561463750666,0.03695620794314891,2178,/job:localhost/replica:0/task:0/device:GPU:0
10,3407,47,41,17.79291437496431,0.04349895811174065,2178,/job:localhost/replica:0/task:0/device:GPU:0
11,3407,31,25,14.815781167009845,0.03953870898112655,2178,/job:localhost/replica:0/task:0/device:GPU:0
12,3407,25,19,12.296675457968377,0.03868245903868228,2178,/job:localhost/replica:0/task:0/device:GPU:0
