previous_experiment,current_experiment,task,scenario,metric,population,previous,current,unit,absolute_change,absolute_change_unit,relative_change_pct,comparable,comparison,seed,period,n,previous_source,current_source
exp002/new_deterministic,exp003/primary,dispatch,2,total_cost,all,15352302.279913764,14988622.648176515,元,-363679.631737249,元,-2.368893115223965,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/new_deterministic,exp003/primary,dispatch,2,planned_cost,all,11677852.86107377,11804823.080143536,元,126970.21906976588,元,1.0872736673451378,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/new_deterministic,exp003/primary,dispatch,2,emergency_cost,all,3674449.4188399934,3183799.5680329795,元,-490649.8508070139,元,-13.353016870808085,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/new_deterministic,exp003/primary,dispatch,2,emergency_kwh,all,628285.6174340288,549746.4200630353,kWh,-78539.19737099344,kWh,-12.500556306183503,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/new_deterministic,exp003/primary,dispatch,2,daily_cvar90,all,84488.05931153643,84837.27708831233,元,349.2177767758985,元,0.4133338836535621,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/new_deterministic,exp003/primary,dispatch,2,worst_day_cost,all,138741.68016550646,154222.41305861215,元,15480.732893105684,元,11.157954029847808,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/new_deterministic,exp003/primary,dispatch,2,final_soc,all,1200.0,1252.2126616066805,kWh,52.21266160668051,kWh,4.351055133890043,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/primary,exp003/primary,dispatch,2,total_cost,all,15128897.452710154,14988622.648176515,元,-140274.80453363806,元,-0.9271978012416865,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/primary,exp003/primary,dispatch,2,planned_cost,all,11755724.512758028,11804823.080143536,元,49098.56738550775,元,0.41765666873379853,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/primary,exp003/primary,dispatch,2,emergency_cost,all,3373172.939952124,3183799.5680329795,元,-189373.3719191444,元,-5.614102072152642,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/primary,exp003/primary,dispatch,2,emergency_kwh,all,579717.6630443097,549746.4200630353,kWh,-29971.24298127438,kWh,-5.169972366183291,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/primary,exp003/primary,dispatch,2,daily_cvar90,all,83083.73793737212,84837.27708831233,元,1753.5391509402107,元,2.110568439111412,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/primary,exp003/primary,dispatch,2,worst_day_cost,all,138575.9787136527,154222.41305861215,元,15646.434344959445,元,11.290870531963225,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/primary,exp003/primary,dispatch,2,final_soc,all,1200.0,1252.2126616066805,kWh,52.21266160668051,kWh,4.351055133890043,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/periodic,exp003/primary,dispatch,2,total_cost,all,14988614.234598083,14988622.648176515,元,8.413578432053328,元,5.613313079091955e-05,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/periodic,exp003/primary,dispatch,2,planned_cost,all,11804823.083825326,11804823.080143536,元,-0.0036817900836467743,元,-3.1188862869884696e-08,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/periodic,exp003/primary,dispatch,2,emergency_cost,all,3183791.1507727597,3183799.5680329795,元,8.417260219808668,元,0.0002643785292815346,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/periodic,exp003/primary,dispatch,2,emergency_kwh,all,549745.630304618,549746.4200630353,kWh,0.7897584172897041,kWh,0.00014365888035382715,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/periodic,exp003/primary,dispatch,2,daily_cvar90,all,84837.2764247096,84837.27708831233,元,0.0006636027246713638,元,7.822065401407484e-07,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/periodic,exp003/primary,dispatch,2,worst_day_cost,all,154222.41144912122,154222.41305861215,元,0.0016094909224193543,元,1.0436167527767737e-06,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp002/periodic,exp003/primary,dispatch,2,final_soc,all,1252.2126194292532,1252.2126616066805,kWh,4.217742730361351e-05,kWh,3.3682320916744625e-06,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp001/legacy_rebased,exp003/primary,dispatch,2,total_cost,all,15842654.19068547,14988622.648176515,元,-854031.5425089542,元,-5.390709992338742,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp001/legacy_rebased,exp003/primary,dispatch,2,planned_cost,all,11613278.032118578,11804823.080143536,元,191545.048024958,元,1.6493624581725008,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp001/legacy_rebased,exp003/primary,dispatch,2,emergency_cost,all,4229376.15856689,3183799.5680329795,元,-1045576.5905339108,元,-24.72176868014031,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp001/legacy_rebased,exp003/primary,dispatch,2,emergency_kwh,all,730041.0880550798,549746.4200630353,kWh,-180294.66799204447,kWh,-24.696509681718307,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp001/legacy_rebased,exp003/primary,dispatch,2,daily_cvar90,all,92651.63688211232,84837.27708831233,元,-7814.3597937999875,元,-8.43413031519647,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp001/legacy_rebased,exp003/primary,dispatch,2,worst_day_cost,all,142797.63500743534,154222.41305861215,元,11424.778051176807,元,8.000677357564031,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp001/legacy_rebased,exp003/primary,dispatch,2,final_soc,all,1200.0,1252.2126616066805,kWh,52.21266160668051,kWh,4.351055133890043,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp003/
exp003/uncalibrated,exp003/primary,dispatch,2,total_cost,all,15258030.09119114,14988622.648176515,元,-269407.4430146236,元,-1.7656764431875094,True,同v2物理/计费与334天；旧模型保留历史四任务训练边界,42,2025-02-01/2025-12-31,334,data/results/exp003/dispatch_metrics.csv,data/results/exp003/
