previous_experiment,previous_label,current_experiment,current_label,task,metric,population,previous,current,unit,absolute_change_unit,absolute_change,relative_change_pct,comparable,seed,same_dispatch,previous_source,current_source,period
exp001,exp001 同口径重算,exp004,exp004 无季节,dispatch,total_cost,all,15842654.19068547,13611587.832913524,元,元,-2231066.357771946,-14.082655159409333,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 无季节,dispatch,planned_cost,all,11613278.032118578,12729841.366488617,元,元,1116563.3343700394,9.614540625669907,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 无季节,dispatch,emergency_cost,all,4229376.15856689,881746.4664249112,元,元,-3347629.692141979,-79.15185518226195,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 无季节,dispatch,planned_kwh,all,19310623.56978458,20997147.61167249,kWh,kWh,1686524.0418879092,8.73365914773887,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 无季节,dispatch,emergency_kwh,all,730041.0880550798,160912.16542074122,kWh,kWh,-569128.9226343386,-77.95847822080381,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 无季节,dispatch,charge_kwh,all,6276030.03677205,6313399.087586548,kWh,kWh,37369.050814498216,0.5954249835572526,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 无季节,dispatch,discharge_kwh,all,5648637.450206511,5682140.768243726,kWh,kWh,33503.31803721562,0.5931221171928951,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 无季节,dispatch,daily_cvar90,all,92651.63688211232,67487.16166572644,元,元,-25164.47521638588,-27.160313690307,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 无季节,dispatch,final_soc,all,1200.0,1335.7963148486438,kWh,kWh,135.79631484864376,11.316359570720314,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 无季节,dispatch,total_cost,all,15128897.452710154,13611587.832913524,元,元,-1517309.61979663,-10.029214782765436,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 无季节,dispatch,planned_cost,all,11755724.512758028,12729841.366488617,元,元,974116.8537305892,8.286319168788093,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 无季节,dispatch,emergency_cost,all,3373172.939952124,881746.4664249112,元,元,-2491426.4735272126,-73.86002786926703,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 无季节,dispatch,planned_kwh,all,19494424.579403117,20997147.61167249,kWh,kWh,1502723.0322693735,7.708475960132105,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 无季节,dispatch,emergency_kwh,all,579717.6630443097,160912.16542074122,kWh,kWh,-418805.4976235685,-72.24301143840736,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
