date,variant,label,load_shift_kw,pv_shift_kw,shift_rms_kw
2025-02-01,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-02,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-03,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-04,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-05,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-06,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-07,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-08,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-09,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-10,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-11,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-12,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-13,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-14,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-15,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-16,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-17,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-18,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-19,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-20,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-21,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-22,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-23,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-24,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-25,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-26,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-27,no_season,exp004 无季节,0.0,0.0,0.0
2025-02-28,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-01,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-02,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-03,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-04,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-05,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-06,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-07,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-08,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-09,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-10,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-11,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-12,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-13,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-14,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-15,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-16,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-17,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-18,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-19,no_season,exp004 无季节,0.0,0.0,0.0
2025-03-20,no_season,exp004 无季节,0.0,0.0,0.0
