name,metric,n,mean,sample_std,min,max
no_season,total_cost,3,13580922.760792792,29892.586912331535,13551867.733479597,13611587.832913524
no_season,planned_cost,3,12709229.64748848,25197.121700325715,12681140.011058984,12729841.366488617
no_season,emergency_cost,3,871693.1133043133,32687.113156375013,835160.1685617607,898172.704926268
no_season,emergency_kwh,3,158225.483294619,6394.2438121635605,150926.24949458946,162838.03496852636
causal_season,total_cost,3,13596383.274831688,31416.32416157947,13563539.829524623,13626145.40599084
causal_season,planned_cost,3,12717044.517456276,15096.266723104676,12699816.176908571,12727957.705010273
causal_season,emergency_cost,3,879338.7573754104,33920.20467042122,840180.1590746403,899648.4120710248
causal_season,emergency_kwh,3,159048.76661278433,6507.655405016405,151536.04512749123,162942.3890899056
oracle_season,total_cost,3,13538596.050497914,29964.40862814128,13517698.26828978,13572926.478581838
oracle_season,planned_cost,3,12757192.868474772,15498.807427470896,12744546.480856417,12774482.58825294
oracle_season,emergency_cost,3,781403.182023141,14760.136988455346,772613.8683071595,798443.8903288965
oracle_season,emergency_kwh,3,142016.13464296414,3140.9790391237034,139806.01928500962,145611.63242413514
